#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2011.3110     0.65     3.61
2011.3137     1.71     1.04
2011.3164     -0.18     4.21
2011.3192     0.75     0.76
2011.3219     1.65     2.25
2011.3247     1.74     3.25
2011.3274     2.08     0.79
2011.3301     0.50     1.22
2011.3329     1.36     2.42
2011.3356     2.04     3.32
2011.3384     2.10     1.92
2011.3411     1.72     1.50
2011.3438     3.07     1.13
2011.3466     1.84     0.42
2011.3493     2.64     2.81
2011.3521     1.78     1.61
2011.3548     0.81     3.92
2011.3575     1.32     0.87
2011.3603     1.51     3.99
2011.3630     2.24     2.59
2011.3658     2.19     2.95
2011.3685     2.06     3.16
2011.3712     1.80     3.83
2011.3740     1.19     2.39
2011.3767     2.41     3.32
2011.3795     2.40     5.90
2011.3822     0.65     0.65
2011.3849     1.54     2.75
2011.3877     1.07     0.90
2011.3904     1.00     2.09
2011.3932     1.11     1.19
2011.3959     1.25     1.21
2011.4041     3.33     0.74
2011.4068     1.49     4.43
2011.4096     1.44     1.75
2011.4123     1.27     2.34
2011.4151     0.35     3.42
2011.4178     2.99     1.93
2011.4205     1.65     4.47
2011.4233     2.50     2.20
2011.4260     0.97     1.42
2011.4288     2.59     1.49
2011.4315     1.59     3.10
2011.4342     0.93     3.53
2011.4370     3.36     2.32
2011.4397     -0.78     2.88
2011.4425     0.69     -0.54
2011.4534     4.49     1.17
2011.4562     2.49     1.57
2011.4589     0.63     1.75
2011.4616     3.67     0.92
2011.4644     1.55     0.45
2011.4671     2.57     1.28
2011.4699     2.65     3.99
2011.4726     2.68     2.10
2011.4753     1.76     3.40
2011.4781     2.00     -2.03
2011.4808     3.05     4.45
2011.4836     1.71     4.63
2011.4863     0.76     2.85
2011.4890     2.17     1.72
2011.4918     1.58     -0.77
2011.4973     1.94     1.99
2011.5000     0.90     2.45
2011.5027     1.51     2.16
2011.5055     2.66     1.23
2011.5082     1.92     1.96
2011.5110     1.47     2.75
2011.5137     3.14     -0.78
2011.5164     1.56     -1.43
2011.5219     0.45     2.15
2011.5274     1.63     2.58
2011.5301     0.59     3.68
2011.5329     2.65     2.11
2011.5356     2.32     3.07
2011.5384     4.29     1.77
2011.5411     1.62     1.72
2011.5438     3.70     2.54
2011.5466     1.93     1.36
2011.5493     2.74     0.32
2011.5521     -0.04     1.15
2011.5548     1.43     2.50
2011.5575     3.40     0.33
2011.5603     3.93     2.93
2011.5630     1.54     1.16
2011.5658     1.26     2.01
2011.5685     3.70     0.62
2011.5740     1.96     2.30
2011.5767     3.36     2.65
2011.5795     2.63     1.89
2011.5822     3.17     1.26
2011.5849     2.63     1.89
2011.5877     3.22     1.79
2011.5904     4.56     2.91
2011.5932     3.66     2.51
2011.5959     2.91     -3.26
2011.5986     5.45     -0.38
2011.6014     3.31     -0.01
2011.6041     3.43     0.63
2011.6068     2.38     2.14
2011.6096     3.63     -2.93
2011.6123     1.08     -4.96
2011.6151     1.14     2.07
2011.6178     1.04     -0.49
2011.6205     1.21     -2.80
2011.6233     2.46     2.73
2011.6260     2.06     3.36
2011.6288     4.12     0.70
2011.6315     1.58     -1.32
2011.6342     3.27     -0.27
2011.6370     2.21     -0.06
2011.6397     2.52     -1.05
2011.6425     -0.29     -2.21
2011.6452     2.56     0.10
2011.6479     1.91     0.53
2011.6507     1.72     3.68
2011.6534     1.83     -1.75
2011.6562     2.22     -1.11
2011.6589     1.62     0.29
2011.6616     1.61     -0.80
2011.6644     4.16     -2.02
2011.6699     1.90     0.33
2011.6726     1.78     1.43
2011.6753     2.24     5.00
2011.6781     1.95     1.28
2011.6808     1.05     0.44
2011.6836     1.39     1.23
2011.6863     2.81     -0.33
2011.6890     2.74     2.37
2011.6918     2.56     2.95
2011.6945     0.37     4.31
2011.6973     1.13     -0.70
2011.7000     -0.13     -1.91
2011.7027     1.53     1.04
