#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2011.1192     -1.18     0.01
2011.1219     2.49     0.28
2011.1247     16.41     6.81
2011.1274     7.24     8.22
2011.1301     3.01     3.94
2011.1329     6.50     7.03
2011.1356     3.66     4.89
2011.1384     0.82     -1.85
2011.1411     -0.36     3.15
2011.1438     1.27     -0.30
2011.1466     0.71     -0.91
2011.1493     2.18     1.30
2011.1521     2.17     1.73
2011.1548     1.11     5.04
2011.1575     9.23     6.33
2011.1603     0.88     0.82
2011.1630     -2.93     1.93
2011.1658     1.73     1.79
2011.1685     12.43     9.61
2011.1712     7.77     7.51
2011.1740     7.40     4.97
2011.1767     0.38     0.83
2011.1795     -2.18     3.83
2011.1822     4.82     3.78
2011.1849     -0.85     7.41
2011.1877     0.83     7.56
2011.1932     0.06     8.26
2011.1959     0.68     -0.01
2011.1986     -7.66     -4.76
2011.2014     1.06     2.66
2011.2041     0.75     3.44
2011.2068     1.24     1.31
2011.2096     -4.73     1.12
2011.2123     2.75     4.28
2011.2151     3.44     11.07
2011.2178     0.32     5.15
2011.2205     10.93     10.81
2011.2233     7.81     8.76
2011.2260     4.43     8.27
2011.2288     2.06     2.06
2011.2315     1.84     2.62
2011.2342     -0.81     1.09
2011.2370     -1.24     1.63
2011.2397     0.03     3.09
2011.2425     -1.26     1.60
2011.2452     -0.38     0.96
2011.2479     -1.73     0.62
2011.2507     -1.90     3.60
2011.2534     -5.29     -1.95
2011.2562     -2.77     7.34
2011.2589     9.39     5.48
2011.2616     6.53     3.19
2011.2644     2.20     11.00
2011.2671     -5.08     -0.92
2011.2699     3.86     9.79
2011.2726     -2.70     1.27
2011.2753     -3.56     2.66
2011.2781     -2.86     1.72
2011.2808     -5.14     1.52
2011.2836     1.64     0.70
2011.2863     -0.84     0.80
2011.2890     -1.47     -1.20
2011.2918     1.12     0.42
2011.2945     -0.23     2.75
2011.2973     -0.52     1.47
2011.3000     -2.83     -0.24
2011.3027     -6.41     1.05
2011.3055     -1.39     5.06
2011.3082     -0.41     1.69
2011.3110     -1.82     3.96
2011.3137     -1.94     3.71
2011.3164     -0.81     2.53
2011.3192     0.53     -0.11
2011.3219     -0.60     2.10
2011.3247     -2.41     2.72
2011.3274     0.44     3.22
2011.3301     -4.42     -1.73
2011.3329     -1.51     1.93
2011.3356     0.19     -1.31
2011.3384     -1.16     0.57
2011.3411     -1.80     -0.99
2011.3438     -1.11     3.87
2011.3466     -1.68     -0.16
2011.3493     -2.40     -0.15
2011.3521     -1.49     -1.81
2011.3548     -0.66     0.49
2011.3603     2.58     4.26
2011.3630     3.13     3.35
2011.3658     -0.02     0.83
2011.3685     0.28     -1.17
2011.3712     0.57     2.18
2011.3740     -1.23     0.58
2011.3767     0.51     2.41
2011.3822     0.32     1.06
2011.3849     -3.17     -0.70
2011.3877     -0.56     2.42
2011.3904     -2.26     -0.72
2011.3932     -2.11     -0.17
2011.3959     1.66     1.21
2011.4014     -1.30     2.54
2011.4041     0.39     1.21
2011.4068     -1.01     -0.95
2011.4096     -0.51     0.78
2011.4123     3.21     2.27
2011.4151     -3.98     -0.38
2011.4178     -3.07     -3.52
2011.4205     -3.42     -0.83
2011.4233     -0.73     2.65
2011.4260     -3.33     -3.74
2011.4288     -1.86     0.55
2011.4315     -1.49     -4.37
2011.4342     -1.45     -0.33
2011.4370     1.25     1.09
2011.4397     1.43     0.93
2011.4425     0.71     4.80
2011.4452     -0.09     -2.23
2011.4479     0.59     -2.44
2011.4507     0.04     -0.06
2011.4534     -0.35     -0.53
2011.4562     0.17     1.22
