#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2011.1411     4.89     9.12
2011.1438     6.54     5.68
2011.1466     5.99     5.10
2011.1493     7.48     7.33
2011.1521     7.48     7.78
2011.1548     6.44     11.11
2011.1575     14.57     12.42
2011.1603     6.24     6.93
2011.1630     2.44     8.05
2011.1658     7.13     7.94
2011.1685     17.84     15.78
2011.1712     13.20     13.70
2011.1740     12.84     11.18
2011.1767     5.84     7.06
2011.1795     3.30     10.08
2011.1822     10.32     10.05
2011.1849     4.67     13.69
2011.1877     6.36     13.86
2011.1932     5.62     14.61
2011.1959     6.26     6.35
2011.1986     -2.07     1.62
2011.2014     6.67     9.06
2011.2041     6.38     9.86
2011.2068     6.89     7.74
2011.2096     0.93     7.58
2011.2123     8.43     10.76
2011.2151     9.13     17.57
2011.2178     6.03     11.67
2011.2205     16.66     17.35
2011.2233     13.56     15.31
2011.2260     10.20     14.85
2011.2288     7.84     8.66
2011.2315     7.63     9.23
2011.2342     5.00     7.72
2011.2370     4.59     8.28
2011.2397     5.88     9.76
2011.2425     4.60     8.29
2011.2452     5.50     7.67
2011.2479     4.17     7.35
2011.2507     4.01     10.35
2011.2534     0.64     4.83
2011.2562     3.17     14.13
2011.2589     15.35     12.30
2011.2616     12.51     10.02
2011.2644     8.19     17.85
2011.2671     0.93     5.95
2011.2699     9.89     16.68
2011.2726     3.34     8.18
2011.2753     2.50     9.59
2011.2781     3.22     8.67
2011.2808     0.95     8.49
2011.2836     7.75     7.69
2011.2863     5.29     7.81
2011.2890     4.67     5.83
2011.2918     7.28     7.47
2011.2945     5.95     9.82
2011.2973     5.67     8.56
2011.3000     3.38     6.87
2011.3027     -0.18     8.18
2011.3055     4.85     12.21
2011.3082     5.85     8.85
2011.3110     4.46     11.15
2011.3137     4.35     10.92
2011.3164     5.50     9.75
2011.3192     6.86     7.13
2011.3219     5.74     9.36
2011.3247     3.95     10.00
2011.3274     6.82     10.52
2011.3301     1.97     5.59
2011.3329     4.90     9.28
2011.3356     6.62     6.05
2011.3384     5.28     7.95
2011.3411     4.66     6.41
2011.3438     5.37     11.28
2011.3466     4.82     7.28
2011.3493     4.11     7.30
2011.3521     5.03     5.67
2011.3548     5.89     7.99
2011.3603     9.16     11.79
2011.3630     9.72     10.91
2011.3658     6.59     8.40
2011.3685     6.91     6.43
2011.3712     7.21     9.79
2011.3740     5.43     8.21
2011.3767     7.19     10.07
2011.3822     7.03     8.75
2011.3849     3.56     7.01
2011.3877     6.19     10.16
2011.3904     4.50     7.03
2011.3932     4.67     7.61
2011.3959     8.45     9.00
2011.4014     5.52     10.37
2011.4041     7.23     9.06
2011.4068     5.85     6.92
2011.4096     6.37     8.67
2011.4123     10.11     10.18
2011.4151     2.93     7.55
2011.4178     3.86     4.43
2011.4205     3.52     7.13
2011.4233     6.23     10.64
2011.4260     3.65     4.26
2011.4288     5.14     8.58
2011.4315     5.52     3.68
2011.4342     5.58     7.74
2011.4370     8.29     9.17
2011.4397     8.49     9.03
2011.4425     7.79     12.92
2011.4452     7.00     5.91
2011.4479     7.70     5.72
2011.4507     7.17     8.12
2011.4534     6.79     7.67
2011.4562     7.33     9.44
2011.4589     6.06     12.14
2011.4616     8.03     9.70
2011.4644     7.52     9.29
2011.4671     4.97     6.81
2011.4699     7.15     10.04
2011.4726     5.67     8.26
2011.4753     8.31     8.89
2011.4781     7.05     13.23
2011.4808     3.81     11.82
2011.4836     6.06     10.36
2011.4863     7.65     9.55
2011.4890     6.84     7.41
2011.4918     5.92     7.13
2011.4945     8.42     7.34
2011.4973     10.39     9.07
2011.5000     6.02     8.54
2011.5027     7.75     8.00
2011.5055     8.59     10.45
2011.5082     6.00     7.63
2011.5110     5.57     10.85
2011.5137     7.03     6.98
2011.5192     7.62     11.90
2011.5247     9.51     8.22
2011.5301     8.41     10.16
2011.5329     6.18     9.42
2011.5356     5.14     12.15
2011.5384     7.42     11.60
2011.5411     9.47     9.23
2011.5438     7.23     9.66
2011.5466     6.98     12.73
2011.5493     8.95     12.07
2011.5521     5.29     9.15
2011.5548     6.76     8.24
2011.5575     6.43     7.08
2011.5603     7.89     10.33
2011.5630     8.83     10.79
2011.5658     8.40     8.37
2011.5685     6.48     7.87
2011.5712     8.51     10.98
2011.5740     6.69     11.75
2011.5767     5.14     5.46
2011.5795     6.89     9.68
2011.5822     9.10     10.27
2011.5849     8.76     14.15
2011.5877     7.68     11.21
2011.5904     8.70     12.47
2011.5932     8.39     9.84
2011.5959     8.35     8.03
2011.6014     9.18     9.88
2011.6041     9.41     13.19
2011.6068     9.48     13.99
2011.6096     7.81     16.81
2011.6123     7.29     16.39
2011.6151     8.05     10.02
2011.6178     9.78     10.96
2011.6205     9.33     11.94
2011.6233     8.22     16.40
2011.6260     9.41     14.53
