# Time(a)    BL_length(m)   Sig_bl(m)         Up(mm)  Sig_u(mm)
2010.7767    163961.22255    0.00867         18.3571    0.0000
2010.7795    163961.22082    0.00856         18.3748    0.0000
2010.7822    163961.22058    0.00883         18.9485    0.0000
2010.7849    163961.22182    0.00946         20.2204    0.0000
2010.7877    163961.22059    0.00900         19.1933    0.0000
2010.7904    163961.22064    0.00828         17.7206    0.0000
2010.7931    163961.22233    0.00843         18.0000    0.0000
2010.7959    163961.22095    0.00843         18.0108    0.0000
2010.7986    163961.22221    0.00832         17.8046    0.0000
2010.8014    163961.22227    0.00852         18.2391    0.0000
2010.8041    163961.22197    0.00845         18.0166    0.0000
2010.8068    163961.22129    0.00829         17.5746    0.0000
2010.8096    163961.22219    0.00845         17.9420    0.0000
2010.8123    163961.22451    0.00909         19.3428    0.0000
2010.8151    163961.22288    0.00935         19.9953    0.0000
2010.8178    163961.21984    0.00940         20.1993    0.0000
2010.8205    163961.22216    0.00878         18.6245    0.0000
2010.8233    163961.22238    0.00879         18.8043    0.0000
2010.8260    163961.22347    0.00784         16.6847    0.0000
2010.8288    163961.22259    0.00796         16.8933    0.0000
2010.8315    163961.22389    0.00832         17.7985    0.0000
2010.8342    163961.22581    0.00834         17.9431    0.0000
2010.8370    163961.22340    0.00860         18.4148    0.0000
2010.8397    163961.22320    0.00910         19.7630    0.0000
2010.8425    163961.22396    0.00802         17.0990    0.0000
2010.8452    163961.22349    0.00842         18.1337    0.0000
2010.8479    163961.22449    0.00814         17.4441    0.0000
2010.8507    163961.22421    0.00858         18.3397    0.0000
2010.8534    163961.22449    0.00830         17.6810    0.0000
2010.8562    163961.22303    0.00812         17.4559    0.0000
2010.8589    163961.22423    0.00792         16.9924    0.0000
2010.8616    163961.22459    0.00871         18.4368    0.0000
2010.8644    163961.22370    0.00772         16.5278    0.0000
2010.8671    163961.22626    0.00850         18.2434    0.0000
2010.8699    163961.22474    0.00792         16.7666    0.0000
2010.8726    163961.22480    0.00816         17.4794    0.0000
2010.8753    163961.22838    0.00844         18.2844    0.0000
2010.8781    163961.22489    0.00813         17.3355    0.0000
2010.8808    163961.22476    0.00814         17.4039    0.0000
2010.8836    163961.22790    0.00827         17.6647    0.0000
2010.8863    163961.22743    0.00921         19.8602    0.0000
2010.8890    163961.22489    0.00842         18.1247    0.0000
2010.8918    163961.22601    0.00785         16.7798    0.0000
2010.8945    163961.22471    0.00815         17.3144    0.0000
2010.8973    163961.22425    0.00775         16.6562    0.0000
2010.9000    163961.22296    0.00768         16.5070    0.0000
2010.9027    163961.22526    0.00787         16.7523    0.0000
2010.9055    163961.22543    0.00802         17.1065    0.0000
2010.9082    163961.22406    0.00801         17.0265    0.0000
2010.9110    163961.22740    0.00816         17.3731    0.0000
2010.9137    163961.22759    0.00843         17.8977    0.0000
2010.9164    163961.22397    0.00807         17.2905    0.0000
2010.9192    163961.22442    0.00765         16.2349    0.0000
2010.9219    163961.22482    0.00850         18.1831    0.0000
2010.9247    163961.22420    0.00849         18.1885    0.0000
2010.9274    163961.22346    0.00819         17.4919    0.0000
2010.9301    163961.22246    0.00797         17.0134    0.0000
2010.9329    163961.22222    0.00781         16.7663    0.0000
2010.9356    163961.22122    0.00803         17.1601    0.0000
2010.9384    163961.22574    0.00821         17.5429    0.0000
2010.9411    163961.23119    0.00930         19.8342    0.0000
2010.9438    163961.22520    0.00968         20.8852    0.0000
2010.9466    163961.22664    0.00856         18.3089    0.0000
2010.9493    163961.22544    0.00794         17.0544    0.0000
2010.9521    163961.22531    0.00886         18.7742    0.0000
2010.9548    163961.22433    0.00804         17.3421    0.0000
2010.9575    163961.22355    0.00810         17.4426    0.0000
2010.9603    163961.21641    0.00886         19.3153    0.0000
2010.9630    163961.22760    0.00783         16.7850    0.0000
2010.9658    163961.22518    0.00805         17.2447    0.0000
2010.9685    163961.22592    0.00766         16.4595    0.0000
2010.9712    163961.22473    0.00758         16.2905    0.0000
2010.9740    163961.22801    0.00773         16.4289    0.0000
2010.9767    163961.23019    0.00834         17.9183    0.0000
