# Time(a)    BL_length(m)   Sig_bl(m)         Up(mm)  Sig_u(mm)
2010.8288    247799.10872    0.00371          8.9404    0.0000
2010.8315    247799.11028    0.00372          9.1539    0.0000
2010.8342    247799.11020    0.00384          9.3836    0.0000
2010.8370    247799.10931    0.00374          9.0485    0.0000
2010.8397    247799.11025    0.00384          9.1999    0.0000
2010.8425    247799.10980    0.00396          9.6268    0.0000
2010.8452    247799.11014    0.00374          9.0118    0.0000
2010.8479    247799.10862    0.00368          9.1500    0.0000
2010.8507    247799.11013    0.00426         10.2721    0.0000
2010.8534    247799.11061    0.00401          9.7361    0.0000
2010.8562    247799.10857    0.00369          9.0535    0.0000
2010.8589    247799.10920    0.00371          9.0700    0.0000
2010.8616    247799.10817    0.00381          9.2092    0.0000
2010.8644    247799.10846    0.00372          9.0080    0.0000
2010.8671    247799.10818    0.00381          9.2047    0.0000
2010.8699    247799.10662    0.00381          9.0894    0.0000
2010.8726    247799.10872    0.00414          9.9823    0.0000
2010.8753    247799.10921    0.00381          9.2359    0.0000
2010.8781    247799.10918    0.00362          8.7900    0.0000
2010.8808    247799.10809    0.00375          9.3081    0.0000
2010.8836    247799.10875    0.00388          9.3945    0.0000
2010.8863    247799.10791    0.00385          9.4755    0.0000
2010.8890    247799.10766    0.00367          8.9676    0.0000
2010.8918    247799.10951    0.00373          9.0254    0.0000
2010.8945    247799.10865    0.00380          9.1661    0.0000
2010.8973    247799.10879    0.00385          9.5337    0.0000
2010.9000    247799.10827    0.00359          8.6298    0.0000
2010.9027    247799.10790    0.00340          8.3215    0.0000
2010.9055    247799.10895    0.00374          9.1394    0.0000
2010.9082    247799.10888    0.00372          8.9096    0.0000
2010.9110    247799.10781    0.00366          8.8577    0.0000
2010.9137    247799.10816    0.00364          8.7499    0.0000
2010.9164    247799.10729    0.00378          9.2130    0.0000
2010.9192    247799.10879    0.00383          9.2447    0.0000
2010.9219    247799.10774    0.00337          8.2226    0.0000
2010.9247    247799.10774    0.00355          8.5861    0.0000
2010.9274    247799.10842    0.00347          8.5225    0.0000
2010.9301    247799.10790    0.00358          8.6361    0.0000
2010.9329    247799.10782    0.00366          8.6797    0.0000
2010.9356    247799.10875    0.00364          8.8953    0.0000
2010.9384    247799.10807    0.00399          9.8425    0.0000
2010.9411    247799.10768    0.00382          9.1440    0.0000
2010.9438    247799.10765    0.00377          8.7937    0.0000
2010.9466    247799.10864    0.00391          9.6760    0.0000
2010.9493    247799.10915    0.00355          8.7768    0.0000
2010.9521    247799.10868    0.00365          8.7768    0.0000
2010.9548    247799.10899    0.00364          8.8463    0.0000
2010.9575    247799.10834    0.00346          8.4734    0.0000
2010.9603    247799.10822    0.00357          8.7741    0.0000
2010.9630    247799.10889    0.00359          8.8396    0.0000
2010.9658    247799.10765    0.00366          8.9490    0.0000
2010.9685    247799.10729    0.00350          8.5603    0.0000
2010.9712    247799.10767    0.00337          8.2805    0.0000
2010.9740    247799.10743    0.00344          8.4469    0.0000
2010.9767    247799.10718    0.00333          8.2252    0.0000
2010.9795    247799.10704    0.00341          8.3456    0.0000
2010.9822    247799.10781    0.00357          8.8999    0.0000
2010.9849    247799.10788    0.00389          9.6969    0.0000
2010.9877    247799.10763    0.00358          8.7060    0.0000
2010.9904    247799.10686    0.00356          8.5707    0.0000
2010.9931    247799.10616    0.00356          8.6785    0.0000
2010.9959    247799.10672    0.00373          9.0780    0.0000
2011.0041    247799.10834    0.00357          8.5419    0.0000
2011.0068    247799.10639    0.00333          7.9708    0.0000
2011.0096    247799.10789    0.00342          8.1079    0.0000
2011.0123    247799.10592    0.00368          8.7803    0.0000
2011.0151    247799.10810    0.00341          8.0066    0.0000
2011.0178    247799.10652    0.00349          8.0628    0.0000
2011.0205    247799.10555    0.00331          7.8777    0.0000
2011.0233    247799.10667    0.00351          8.4468    0.0000
2011.0260    247799.10531    0.00331          8.0903    0.0000
2011.0288    247799.10721    0.00315          7.6059    0.0000
2011.0315    247799.10570    0.00316          7.5898    0.0000
2011.0342    247799.10687    0.00332          7.8329    0.0000
2011.0370    247799.10647    0.00318          7.5132    0.0000
2011.0397    247799.10733    0.00329          7.7720    0.0000
2011.0425    247799.10531    0.00327          7.7945    0.0000
2011.0452    247799.10462    0.00327          7.8561    0.0000
2011.0479    247799.10513    0.00348          8.3526    0.0000
2011.0507    247799.10667    0.00334          8.0701    0.0000
2011.0534    247799.10488    0.00365          8.6364    0.0000
2011.0562    247799.10574    0.00328          7.6792    0.0000
2011.0589    247799.10625    0.00335          7.7629    0.0000
2011.0616    247799.10490    0.00332          7.7252    0.0000
2011.0644    247799.10530    0.00343          8.0277    0.0000
2011.0671    247799.10583    0.00338          7.9473    0.0000
2011.0699    247799.10420    0.00364          8.6633    0.0000
2011.0726    247799.10651    0.00360          8.4614    0.0000
2011.0753    247799.10576    0.00342          8.0492    0.0000
2011.0781    247799.10594    0.00343          8.2174    0.0000
2011.0808    247799.10511    0.00346          7.9800    0.0000
2011.0836    247799.10539    0.00324          7.6403    0.0000
2011.0863    247799.10716    0.00467         11.1996    0.0000
2011.0890    247799.10520    0.00328          7.8014    0.0000
2011.0918    247799.10512    0.00337          7.7093    0.0000
2011.0945    247799.10576    0.00359          8.3726    0.0000
2011.0973    247799.10450    0.00337          7.7556    0.0000
2011.1000    247799.10419    0.00360          8.2538    0.0000
2011.1027    247799.10491    0.00337          7.8204    0.0000
2011.1055    247799.10460    0.00353          7.9158    0.0000
2011.1082    247799.10460    0.00351          8.0984    0.0000
2011.1110    247799.10611    0.00369          8.4811    0.0000
2011.1137    247799.10512    0.00347          8.0373    0.0000
2011.1164    247799.10573    0.00362          8.3470    0.0000
2011.1192    247799.10470    0.00336          7.8541    0.0000
2011.1219    247799.10357    0.00370          8.5748    0.0000
2011.1247    247799.10546    0.00376          8.8178    0.0000
2011.1274    247799.10477    0.00370          8.5143    0.0000
2011.1301    247799.10482    0.00384          9.0018    0.0000
2011.1329    247799.10510    0.00355          7.9933    0.0000
2011.1356    247799.10446    0.00346          8.1079    0.0000
2011.1384    247799.10560    0.00337          7.8286    0.0000
2011.1411    247799.10319    0.00361          8.1603    0.0000
2011.1438    247799.10547    0.00400          9.0164    0.0000
2011.1466    247799.10429    0.00354          8.1959    0.0000
2011.1493    247799.10449    0.00369          8.3299    0.0000
2011.1521    247799.10547    0.00377          8.7148    0.0000
2011.1548    247799.10512    0.00454         11.1287    0.0000
2011.1575    247799.10581    0.00401          9.2436    0.0000
2011.1603    247799.10416    0.00366          8.4928    0.0000
2011.1630    247799.10635    0.00416          9.5242    0.0000
2011.1658    247799.10419    0.00418          9.2101    0.0000
2011.1685    247799.10294    0.00381          8.6533    0.0000
2011.1712    247799.10271    0.00370          8.4146    0.0000
2011.1740    247799.10382    0.00377          8.8945    0.0000
2011.1767    247799.10415    0.00376          8.4857    0.0000
2011.1795    247799.10552    0.00359          8.0948    0.0000
2011.1822    247799.10430    0.00405          8.9522    0.0000
2011.1849    247799.10553    0.00398          8.8876    0.0000
2011.1877    247799.10357    0.00375          8.5366    0.0000
2011.1931    247799.10353    0.00390          9.0328    0.0000
2011.1959    247799.10486    0.00398          9.2103    0.0000
2011.1986    247799.10532    0.00470         10.3928    0.0000
2011.2014    247799.10454    0.00343          7.9801    0.0000
2011.2041    247799.10445    0.00401          9.0578    0.0000
2011.2068    247799.10465    0.00371          8.4011    0.0000
2011.2096    247799.10173    0.00395          9.3822    0.0000
2011.2123    247799.10512    0.00436         10.4734    0.0000
2011.2151    247799.10504    0.00433         10.0843    0.0000
2011.2178    247799.10460    0.00424          9.5888    0.0000
2011.2205    247799.10331    0.00394          8.7756    0.0000
2011.2233    247799.10403    0.00373          8.4895    0.0000
2011.2260    247799.10322    0.00394          9.0320    0.0000
2011.2288    247799.10455    0.00361          8.2678    0.0000
2011.2315    247799.10436    0.00407          8.8900    0.0000
2011.2342    247799.10291    0.00371          8.5098    0.0000
2011.2370    247799.10391    0.00366          8.5189    0.0000
2011.2397    247799.10231    0.00347          7.9896    0.0000
2011.2425    247799.10277    0.00406          9.1946    0.0000
2011.2452    247799.10118    0.00378          8.5330    0.0000
2011.2479    247799.10462    0.00379          8.7040    0.0000
2011.2507    247799.10374    0.00361          8.3361    0.0000
2011.2534    247799.10428    0.00391          8.9096    0.0000
2011.2562    247799.10166    0.00392          9.2422    0.0000
2011.2589    247799.10127    0.00428          9.7752    0.0000
2011.2616    247799.10139    0.00395          8.7718    0.0000
2011.2644    247799.10277    0.00456          9.9708    0.0000
2011.2671    247799.10144    0.00402          8.9946    0.0000
2011.2699    247799.10147    0.00395          9.1932    0.0000
2011.2726    247799.10373    0.00391          8.9675    0.0000
2011.2753    247799.10320    0.00412          9.3975    0.0000
2011.2781    247799.10402    0.00409          9.6604    0.0000
2011.2808    247799.10304    0.00424          9.7940    0.0000
2011.2836    247799.10168    0.00409          9.2050    0.0000
2011.2863    247799.10347    0.00412          9.2332    0.0000
2011.2890    247799.10232    0.00400          9.1957    0.0000
2011.2918    247799.10215    0.00447         10.1771    0.0000
2011.2945    247799.10317    0.00473         10.8666    0.0000
2011.2973    247799.10287    0.00450         10.1126    0.0000
2011.3000    247799.10152    0.00447         10.5324    0.0000
2011.3027    247799.10127    0.00448         10.4127    0.0000
2011.3055    247799.10079    0.00374          8.5455    0.0000
2011.3082    247799.10246    0.00454         10.1560    0.0000
2011.3110    247799.10189    0.00432         10.0595    0.0000
2011.3137    247799.10294    0.00426          9.9061    0.0000
2011.3164    247799.10303    0.00419          9.6781    0.0000
2011.3192    247799.10216    0.00449         10.1262    0.0000
2011.3219    247799.10194    0.00438         10.3030    0.0000
2011.3247    247799.10231    0.00472         10.9158    0.0000
2011.3274    247799.09839    0.00547         13.2762    0.0000
2011.3301    247799.10219    0.00438          9.9728    0.0000
2011.3329    247799.10265    0.00408          9.1636    0.0000
2011.3356    247799.10282    0.00421          9.5543    0.0000
2011.3384    247799.10081    0.00460         10.2636    0.0000
2011.3411    247799.10085    0.00426          9.6905    0.0000
2011.3438    247799.10032    0.00422          9.9593    0.0000
2011.3466    247799.10045    0.00476         11.3319    0.0000
2011.3493    247799.10116    0.00486         11.2259    0.0000
2011.3521    247799.10017    0.00542         12.9725    0.0000
2011.3548    247799.10109    0.00466         10.8526    0.0000
2011.3575    247799.10082    0.00440         10.3700    0.0000
2011.3603    247799.10113    0.00447         10.3525    0.0000
2011.3630    247799.10297    0.00477         11.1759    0.0000
2011.3658    247799.10273    0.00398          9.4718    0.0000
2011.3685    247799.10098    0.00439         10.2950    0.0000
2011.3712    247799.10082    0.00488         11.3216    0.0000
2011.3740    247799.10113    0.00448         10.4838    0.0000
2011.3767    247799.10109    0.00430          9.9256    0.0000
2011.3795    247799.09943    0.00431         10.3263    0.0000
2011.3822    247799.10382    0.00473         10.9238    0.0000
2011.3849    247799.10104    0.00421          9.7953    0.0000
2011.3877    247799.10128    0.00445         10.6349    0.0000
2011.3904    247799.10082    0.00475         10.8155    0.0000
2011.3931    247799.10291    0.00371          8.7246    0.0000
2011.3959    247799.09903    0.00470         11.1830    0.0000
2011.3986    247799.10057    0.00465         11.0679    0.0000
2011.4014    247799.10060    0.00443         10.3775    0.0000
2011.4041    247799.09861    0.00487         11.0845    0.0000
2011.4068    247799.10111    0.00447         10.3251    0.0000
2011.4096    247799.10183    0.00432         10.1765    0.0000
2011.4123    247799.10113    0.00476         10.9712    0.0000
2011.4151    247799.10119    0.00515         12.1139    0.0000
2011.4178    247799.10102    0.00455         10.5365    0.0000
2011.4205    247799.10026    0.00465         11.0567    0.0000
2011.4233    247799.10106    0.00490         11.1458    0.0000
2011.4260    247799.10242    0.00463         10.8184    0.0000
2011.4288    247799.10004    0.00457         10.6166    0.0000
2011.4315    247799.09970    0.00551         12.9923    0.0000
2011.4342    247799.10099    0.00522         11.9862    0.0000
2011.4370    247799.10118    0.00440          9.9500    0.0000
2011.4397    247799.10127    0.00428          9.9281    0.0000
2011.4425    247799.09975    0.00476         11.2023    0.0000
2011.4452    247799.10276    0.00521         12.1591    0.0000
2011.4479    247799.10323    0.00512         12.3303    0.0000
2011.4507    247799.10107    0.00518         12.6532    0.0000
2011.4534    247799.10014    0.00523         12.5317    0.0000
2011.4562    247799.10137    0.00486         11.2863    0.0000
2011.4589    247799.10160    0.00531         12.2903    0.0000
2011.4616    247799.10133    0.00486         11.2646    0.0000
2011.4644    247799.10180    0.00479         11.4253    0.0000
2011.4671    247799.10181    0.00534         12.9691    0.0000
2011.4699    247799.10035    0.00542         12.4186    0.0000
2011.4726    247799.10163    0.00540         12.3749    0.0000
2011.4753    247799.10044    0.00512         12.1385    0.0000
2011.4781    247799.09716    0.00726         18.1751    0.0000
2011.4808    247799.10181    0.00492         12.1664    0.0000
2011.4836    247799.10145    0.00418          9.8150    0.0000
2011.4863    247799.10172    0.00572         14.2496    0.0000
2011.4890    247799.09823    0.00443         10.4608    0.0000
2011.4918    247799.10026    0.00550         13.5793    0.0000
2011.4945    247799.10122    0.00464         11.3524    0.0000
2011.4973    247799.09944    0.00438         10.4864    0.0000
2011.5000    247799.09955    0.00501         12.3897    0.0000
2011.5027    247799.10040    0.00521         13.2733    0.0000
2011.5055    247799.09923    0.00486         12.0479    0.0000
2011.5082    247799.10369    0.00481         11.9210    0.0000
2011.5110    247799.10207    0.00535         12.3967    0.0000
2011.5137    247799.10073    0.00538         12.6736    0.0000
2011.5164    247799.09992    0.00555         13.7111    0.0000
2011.5192    247799.10042    0.00593         14.6958    0.0000
2011.5219    247799.09970    0.00469         11.2003    0.0000
2011.5247    247799.10027    0.00453         10.7017    0.0000
2011.5274    247799.10031    0.00431         10.1890    0.0000
2011.5301    247799.10133    0.00432          9.8153    0.0000
2011.5329    247799.10029    0.00482         12.0081    0.0000
2011.5356    247799.09977    0.00438         10.3021    0.0000
2011.5384    247799.10010    0.00521         12.7817    0.0000
