-116.4294 34.5943 AGMT
116.99 30.62 AHAQ
117.3 32.91 AHBB
-111.0637 42.7731 AHID
130.5996 31.8241 AIRA
-131.5996 55.0691 AIS1
-115.1585 37.358 ALAM
-123.4875 48.3898 ALBH
-78.0714 45.9558 ALGO
133.8855 -23.6701 ALIC
-118.6948 34.8245 ALPP
-62.3405 82.4943 ALRT
-104.5246 38.8031 AMC2
-119.3635 34.015 ANA1
32.7585 39.8874 ANKR
112.247 36.163 ANZE
-118.8303 34.1574 AOA1
-80.1622 25.7347 AOML
-114.9318 36.3191 APEX
-71.4928 -16.4655 AREQ
-117.5219 36.05 ARGU
-118.9104 35.2013 ARM1
-118.9106 35.2013 ARM2
58.5604 56.4298 ARTU
-14.4121 -7.9512 ASC1
-170.7222 -14.3258 ASPA
-149.1323 61.5978 ATW2
174.8344 -36.6028 AUCK
26.5392 59.3585 AV01
26.5716 59.333 AV02
-117.154 34.4683 AVRY
-116.6297 33.5401 AZRY
-117.8965 34.126 AZU1
50.6081 26.2091 BAHR
-96.0022 64.3178 BAKE
106.8489 -6.4911 BAKO
-117.2046 40.4128 BAMO
77.5116 13.0343 BAN2
111.084 39.02 BAOD
-119.0297 33.4805 BAR1
-71.1596 44.0991 BARN
-162.7072 55.1903 BAY1
-119.9815 34.5822 BBDM
-116.8842 34.2643 BBRY
-126.8426 50.5443 BCOV
-119.4058 34.9205 BCWR
-116.6211 37.0399 BEAT
-115.9982 34.0005 BEMT
-118.0741 35.8784 BEPK
-118.1597 33.9671 BGIS
166.438 68.0761 BILI
-117.0646 33.5782 BILL
115.8925 39.6086 BJFS
117.16 40.69 BJGB
116.2238 40.2505 BJSH
115.97 40.37 BJYQ
-116.0804 35.287 BKAP
-118.0947 33.9623 BKMS
-80.4145 37.206 BLKV
-89.9725 36.8798 BLMM
-118.0287 33.7995 BLSA
-109.5578 42.7671 BLWY
-122.9275 48.0161 BLYN
-114.7148 33.6104 BLYT
-116.0447 34.2595 BMHL
-116.9847 33.9627 BMRY
-74.0809 4.6401 BOGT
17.0735 52.277 BOR1
-118.277 34.1849 BRAN
11.1131 44.1222 BRAS
-47.8779 -15.9475 BRAZ
-119.6826 48.1315 BREW
321.5745 -3.8774 BRFT
-122.1526 37.9194 BRIB
-64.6963 32.3704 BRMU
-118.5768 34.6823 BRPK
4.3592 50.7978 BRUS
35.023 32.779 BSHM
-117.012 34.9186 BSRY
114.394 36.051 BTAY
-118.1882 34.2928 BTDM
112.441 34.815 BTMJ
111.193 34.792 BTSF
113.912 35.322 BTXX
26.1257 44.4639 BUCU
114.655 35.194 BUCY
112.973 34.745 BUGY
110.857 34.538 BULB
-116.8717 36.9176 BULL
113.841 36.064 BULZ
111.778 34.769 BUMC
-117.8435 42.7795 BURN
-116.4509 36.7453 BUST
112.785 34.741 BUYS
113.982 35.083 BUYY
-119.3475 35.1573 BVPP
-118.8967 37.6446 CA99
-124.5633 42.8361 CABL
-115.9899 33.6551 CACT
8.9728 39.1359 CAGL
-75.8073 45.585 CAGS
-120.4337 35.9394 CAND
-120.4308 35.8884 CARH
-120.4308 35.8884 CARR
110.5197 -66.2834 CAS1
-118.8967 37.6446 CASA
-110.6773 39.191 CAST
-118.483 33.4458 CAT1
-118.3338 33.3116 CAT2
12.5827 45.4794 CAVA
-118.6298 34.1386 CBHS
-117.6712 35.5653 CCCC
-118.2112 33.8763 CCCO
-117.8649 33.8627 CCCS
142.1844 27.0956 CCJM
-116.3359 34.8295 CDMT
-112.8605 40.6807 CEDA
133.8098 -31.8667 CEDU
-144.6776 65.4982 CENA
-117.9649 34.244 CGDM
-122.1193 37.7241 CHAB
