# YYYYMMDD	N_correlation	E_correlation	U_correlation
20120430	0.6702875159	0.9555207588	0.9179413345
20120501	0.7791105535	0.9704286312	0.9324819255
20120502	0.8601723498	0.9811672605	0.9315595028
20120503	0.9076273888	0.9871117755	0.8992682256
20120504	0.9202316558	0.990268115	0.8231170799
20120505	0.9061565107	0.992214443	0.7069607515
20120506	0.8808614165	0.9936001399	0.5728936437
20120507	0.8590885687	0.9945714976	0.4458048441
20120508	0.8489391541	0.9951268514	0.3409060144
20120509	0.8515373388	0.9953103756	0.2643056023
20120510	0.8637954081	0.9952787383	0.2185025872
20120511	0.8813134228	0.995260161	0.206341584
20120512	0.9002044822	0.9954579504	0.2318877118
20120513	0.9178036584	0.9959411307	0.2964972322
20120514	0.9326187898	0.9965410981	0.3887518175
20120515	0.9439226536	0.9968972406	0.4804232503
20120516	0.9513031674	0.9967655883	0.5465908102
20120517	0.9543829291	0.9962380753	0.583196975
20120518	0.9528209232	0.995572664	0.5973838436
20120519	0.9465725076	0.9949521615	0.5954028441
20120520	0.936179503	0.994441987	0.5800784844
20120521	0.9227530941	0.9940534998	0.5521649418
20120522	0.9075319093	0.9937891567	0.5122568084
20120523	0.8912804488	0.9936486231	0.4633199244
20120524	0.8738656663	0.9936177544	0.4149861347
20120525	0.8540521887	0.9936603737	0.3887111346
20120526	0.8292721533	0.993721298	0.4098922185
20120527	0.7951172	0.9937389389	0.4793991486
20120528	0.7447685373	0.9936599196	0.573163479
20120529	0.6701759715	0.9934480835	0.6674002679
20120530	0.5689418714	0.9930846037	0.7487509793
20120531	0.4550304284	0.9925606486	0.8125510459
20120601	0.3554226218	0.9918659935	0.858933103
20120602	0.2897380467	0.9909758972	0.889918971
20120603	0.2608729149	0.9898365066	0.9079001171
20120604	0.2619419269	0.9883492871	0.9151190812
20120605	0.2840683255	0.9863629765	0.9137360467
20120606	0.3196797255	0.983706287	0.9061926324
20120607	0.3632015474	0.9803335597	0.895588074
20120608	0.4109122453	0.976630997	0.8856772067
20120609	0.4606213582	0.9736618315	0.8801854824
20120610	0.5113169636	0.9727753817	0.8816525676
20120611	0.5627493917	0.9745444361	0.8905499293
20120612	0.6148512341	0.9782247696	0.905280982
20120613	0.6669357131	0.9824287838	0.923000054
20120614	0.7168899532	0.986060094	0.9407170595
20120615	0.7610348018	0.9886338158	0.9561721096
20120616	0.7952731248	0.9901217646	0.968222378
20120617	0.8169446032	0.9907228881	0.9767275036
20120618	0.8257640764	0.9907198772	0.9820836366
20120619	0.823202889	0.99041074	0.9846693912
20120620	0.8112976388	0.9900699854	0.9845106478
20120621	0.7919537714	0.989911367	0.9813379095
20120622	0.7669740743	0.9900459119	0.9749012413
20120623	0.738563491	0.9904440621	0.9652078522
20120624	0.7099961297	0.9909176191	0.9524893356
20120625	0.686094463	0.9911347577	0.9369820844
20120626	0.6730652049	0.9906696867	0.918694234
20120627	0.6772388291	0.9890720765	0.8972391298
20120628	0.7025027766	0.9859295949	0.8717148287
20120629	0.7466664873	0.980898839	0.8405801497
20120630	0.7983251407	0.9736965301	0.8015101117
