# YYYYMMDD	N_correlation	E_correlation	U_correlation
20120820	0.6044838295	0.5144628791	0.996300976
20120821	0.6690147263	0.5938247169	0.9953338385
20120822	0.7217335314	0.6093228928	0.9926439581
20120823	0.7637858108	0.5802838094	0.9884277631
20120824	0.7992975711	0.5338249907	0.9828274213
20120825	0.828923735	0.4759621502	0.9760959868
20120826	0.85379968	0.4663038513	0.9685659231
20120827	0.8729542204	0.4827649552	0.9606192305
20120828	0.8870706492	0.5610744717	0.9538408233
20120829	0.8944941389	0.6336399696	0.9509136194
20120830	0.8942480072	0.7045667663	0.9529151756
20120831	0.8852540663	0.7643198482	0.9576336606
20120901	0.8788159904	0.8110507983	0.9634012046
20120902	0.8696361543	0.8433282206	0.9674238639
20120903	0.8572001677	0.8738483119	0.967136222
20120904	0.8360293374	0.890784711	0.9657975923
20120905	0.806245249	0.9018970389	0.9669562954
20120906	0.7642677011	0.9001930118	0.9678537421
20120907	0.7148849503	0.8924369273	0.9661440276
20120908	0.6591046097	0.8855145263	0.9584777201
20120909	0.6031431844	0.8591282089	0.9466121101
20120910	0.5462462354	0.8386945139	0.9294513782
20120911	0.4891634404	0.8405707919	0.9044490255
20120912	0.4292874319	0.8607180454	0.8666246651
20120913	0.3648717754	0.8800959881	0.8064947278
20120914	0.3144672819	0.895247185	0.7064824343
20120915	0.2912855759	0.9054279231	0.5399837018
20120916	0.2968453727	0.9113535781	0.2920287699
20120917	0.3271498839	0.9153791992	0.03463125787
20120918	0.3723077568	0.9165779647	-0.0840810616
20120919	0.4270027333	0.9190503695	-0.04264000203
20120920	0.4841081532	0.9214116536	0.1042740864
20120921	0.541015437	0.935878955	0.1999919692
20120922	0.5984465449	0.9529163931	0.2254890686
20120923	0.6511453744	0.9719870404	0.2033294024
20120924	0.6964619891	0.9827123054	0.1658269795
20120925	0.7335479271	0.9904005831	0.1531052692
20120926	0.764921118	0.9936406058	0.1950303838
20120927	0.7902811808	0.9957946725	0.2736862622
20120928	0.7972859104	0.996603098	0.3455979374
20120929	0.7352301122	0.9971727525	0.3994163335
20120930	0.641889286	0.9973625636	0.4399916525
20121001	0.5882622585	0.9974916386	0.4681779564
20121002	0.5850042884	0.9974117087	0.5057507189
20121003	0.5983384174	0.9973696242	0.5624439173
20121004	0.6592315037	0.9973029111	0.609172938
20121005	0.7144450159	0.9973855215	0.6213646031
20121006	0.7991009904	0.9974151249	0.6150204764
20121007	0.8695343225	0.9974508675	0.6089904659
20121008	0.9235623445	0.9973022351	0.62125216
20121009	0.9466679456	0.9969645786	0.6470975902
20121010	0.9584214202	0.9966297283	0.6834407433
20121011	0.9694587713	0.9966375892	0.7235802962
20121012	0.979683392	0.9963066606	0.7609307367
20121013	0.9853878124	0.9954232472	0.7898656927
20121014	0.9881647295	0.9937544709	0.8059445989
20121015	0.9893690774	0.9910197761	0.8059983885
20121016	0.9896743908	0.9879292657	0.7880937421
20121017	0.9887438501	0.9851645218	0.752507629
20121018	0.9867416611	0.9842496786	0.7037299221
20121019	0.9827909447	0.9861885073	0.6511074244
20121020	0.9765837415	0.9890238375	0.5603244771
20121021	0.9681704134	0.9916445524	0.4577520788
20121022	0.9604900209	0.9929569422	0.3647090727
20121023	0.9535029906	0.9936369337	0.2863968791
20121024	0.9491049749	0.9941738982	0.1930955263
20121025	0.9442320884	0.9946534609	0.06049664805
20121026	0.936855618	0.9951759916	-0.04346914501
20121027	0.927112774	0.9956992987	-0.1118461432
20121028	0.9171295162	0.9962408656	-0.1441856904
20121029	0.9045509926	0.9967694865	-0.1353695786
20121030	0.8901029169	0.9972260157	-0.09148569891
20121031	0.877750378	0.9975756971	-0.01849420939
20121101	0.8623717509	0.9977366928	0.06833323711
20121102	0.8407571298	0.9965784614	0.1538464695
20121103	0.8390296079	0.9942945734	0.2293380584
20121104	0.8392623018	0.9908832327	0.2940470086
20121105	0.8555179396	0.987131277	0.3466210355
20121106	0.8795049673	0.9820809907	0.3822254596
20121107	0.9042901423	0.9762961347	0.3937730016
20121108	0.9233065205	0.9683195899	0.4264869965
20121109	0.9331152983	0.9595785755	0.4794063532
20121110	0.9361504755	0.9500774999	0.5170198564
20121111	0.9366679649	0.9447000646	0.5389032878
20121112	0.936330328	0.9449440562	0.5434442027
20121113	0.9357524264	0.9510062492	0.5041863768
20121114	0.9311121467	0.9585557294	0.4492496912
20121115	0.9238005629	0.9650375058	0.3863463418
20121116	0.91170659	0.9704524556	0.3241023872
20121117	0.9072076856	0.9745071197	0.2842938418
20121118	0.8950283228	0.9780192124	0.2819958284
20121119	0.8689513938	0.9805922682	0.334717191
20121120	0.8300943038	0.9828230975	0.4255723292
20121121	0.7923788232	0.9845658542	0.5310990307
20121122	0.7814433319	0.9860129137	0.6258276854
20121123	0.8037158907	0.9870621404	0.7053693382
20121124	0.8394504969	0.9880464238	0.7705038829
20121125	0.8715868395	0.9889837338	0.8247300799
20121126	0.8950230331	0.9899060155	0.8689542285
20121127	0.9129109771	0.9911682179	0.9051492557
20121128	0.9255376066	0.9925427228	0.9331763351
20121129	0.9340644222	0.9943951767	0.9562523454
