# YYYYMMDD	N_correlation	E_correlation	U_correlation
20130402	0.2667116233	0.4163276419	0.762977656
20130403	0.4240411947	0.3042603631	0.7835927663
20130404	0.5252237051	0.2401629105	0.8130956789
20130405	0.6330024187	0.03484807487	0.8356313975
20130406	0.6903636614	-0.06300366808	0.8483779421
20130407	0.7420592811	-0.2412725838	0.8720215346
20130408	0.791930906	-0.5108367487	0.9115959688
20130409	0.8421781582	-0.5873038479	0.9271807653
20130410	0.900809633	-0.6248618463	0.9383401044
20130411	0.9196385654	-0.7086444181	0.9377632808
20130412	0.9171110726	-0.7384431254	0.9338781194
20130413	0.9141236634	-0.7438026531	0.9265612322
20130414	0.9070115246	-0.74224908	0.9213267084
20130415	0.8972260151	-0.7652688279	0.9166861879
20130416	0.8907368922	-0.7659167393	0.8767567121
20130417	0.8877554184	-0.7602354179	0.8491679174
20130418	0.8794544915	-0.7541976239	0.795794493
20130419	0.8828200091	-0.7744815805	0.7243968274
20130420	0.8759236778	-0.7916519957	0.6149314229
20130421	0.8829154852	-0.8485168746	0.5218254955
20130422	0.8885279227	-0.876326648	0.4594648157
20130423	0.8906477344	-0.9019966626	0.4548562398
20130424	0.9009787231	-0.9173458653	0.5036665135
20130425	0.8952297254	-0.9133826878	0.5372072673
20130426	0.873414627	-0.9142925659	0.5621736175
20130427	0.8686930688	-0.9148603755	0.560809526
20130428	0.8521508179	-0.9174488354	0.5258231433
20130429	0.8291241198	-0.9163678389	0.4523081104
20130430	0.8039699745	-0.9164928724	0.3597943214
20130501	0.7888317848	-0.9156310679	0.290017928
20130502	0.7489404688	-0.9112727098	0.2291412655
20130503	0.7171026729	-0.9071361777	0.1780180668
20130504	0.6929684025	-0.9056841749	0.1608035803
20130505	0.6589935132	-0.8934483521	0.1682900184
20130506	0.6383626526	-0.87759164	0.1822287271
20130507	0.6036930445	-0.8652397836	0.1951362609
20130508	0.5722429316	-0.8414944964	0.1271956333
20130509	0.5331561065	-0.8165488163	0.1375587372
20130510	0.480030781	-0.7784808282	0.1523702485
20130511	0.421514774	-0.7348295112	0.1716400201
20130512	0.3646875415	-0.6608137362	0.2019107344
20130513	0.3105542019	-0.5845841344	0.2421465285
20130514	0.2998481326	-0.4979468961	0.3025958935
20130515	0.3149022338	-0.5529076679	0.3402834756
20130516	0.3257336859	-0.5227083281	0.2768066112
20130517	0.35786267	-0.5261351414	0.2762870967
20130518	0.410300531	-0.5093569484	0.1548001181
20130519	0.4554103386	-0.5182404536	0.1066884088
20130520	0.4528150835	-0.5424583914	0.1198727068
20130521	0.4531572471	-0.5654596031	0.09209246867
20130522	0.4347515008	-0.6377136852	0.03326996861
20130523	0.3913079604	-0.5489001078	0.003611163924
20130524	0.3350492923	-0.4598504565	-0.03190152515
20130525	0.1627674695	-0.2913135939	-0.07613694636
20130526	-0.009579571231	-0.08628275068	-0.1269699749
20130527	-0.2257486243	0.1371059028	-0.1764959982
20130528	-0.3849408291	0.2962184917	-0.1969802539
20130529	-0.5214569756	0.4675885045	-0.2242981713
20130530	-0.6220489302	0.5777386871	-0.1375912006
20130531	-0.6378329502	0.65492003	-0.03355107346
20130601	-0.6008332752	0.7009965869	0.08913317167
20130602	-0.5177206472	0.7439965082	0.1907815818
20130603	-0.4163602459	0.7816628385	0.2157214718
20130604	-0.2752125156	0.8057511609	0.2281977584
20130605	-0.09191742054	0.8310009948	0.1870874258
20130606	0.05285194314	0.8577981985	0.09273489495
20130607	0.1220845539	0.8718842769	-0.009420703376
20130608	0.07864652431	0.8829685005	-0.1035416214
20130609	0.02260103355	0.84952154	-0.1784040969
20130610	0.06791731532	0.8388928168	-0.2267555239
20130611	0.08710730411	0.8085503609	-0.2336593262
20130612	0.06148391036	0.7673407643	-0.2203645074
20130613	0.09326825359	0.6961924795	-0.1995651908
20130614	0.02494583991	0.5998233301	-0.1537208763
20130615	-0.02230054704	0.4545691155	-0.02235648617
20130616	-0.1017693744	0.2925717351	0.04134562044
20130617	-0.1220602227	0.1727480505	0.1536331966
20130618	-0.1512304148	-0.02065449162	0.2358392727
20130619	-0.158884537	-0.1175232329	0.2677520986
20130620	-0.1943249149	-0.2237070153	0.3345796702
20130621	-0.23088931	-0.3514016604	0.380622587
20130622	-0.2650511221	-0.3635227988	0.4238458762
20130623	-0.2526555969	-0.3756103966	0.3634520374
20130624	-0.2966806834	-0.3701771357	0.3835355774
20130625	-0.2329738729	-0.3558959265	0.3481596162
20130626	-0.2074609841	-0.343170836	0.3085667971
20130627	-0.2183009183	-0.2098319453	0.2841949219
20130628	-0.2565669785	-0.07384071376	0.2729474565
20130629	-0.3213040087	0.06812639794	0.3051009788
20130630	-0.4272179227	0.1582129051	0.3135133509
20130701	-0.4225584968	0.2118352623	0.3259926545
20130702	-0.3988266206	0.2592172678	0.3455347237
20130703	-0.342645421	0.2366641704	0.3119195332
20130704	-0.3218823528	0.2317970064	0.3421792541
20130705	-0.2493828953	0.2384365805	0.3686267178
20130706	-0.1772455283	0.235035651	0.3209915246
20130707	-0.05628717876	0.2228230133	0.3050564229
20130708	0.06187604071	0.2146694493	0.2957956528
20130709	0.1257552485	0.224726215	0.2951227442
20130710	0.2381095528	0.1530765102	0.3025092011
20130711	0.3304745408	0.07730660853	0.3278752447
20130712	0.3583351827	-0.01619798536	0.3607835043
20130713	0.4440176635	-0.1106165066	0.3955107372
20130714	0.5661134047	-0.2181142503	0.4020176512
20130715	0.6413417027	-0.3096994619	0.4439283902
20130716	0.80092921	-0.4197804147	0.4449564671
20130717	0.8515814179	-0.5792419522	0.4426805234
20130718	0.8382236049	-0.6203609844	0.4311935954
20130719	0.8389029994	-0.6515320411	0.414745263
20130720	0.7998084101	-0.662295384	0.3460496046
20130721	0.6970263437	-0.6903344418	0.2876658782
20130722	0.6568295389	-0.7090920728	0.1579668741
20130723	0.3799611826	-0.7175567791	0.07036637487
20130724	0.3237499581	-0.6435179196	-0.01060728651
20130725	0.3694414222	-0.5375685302	-0.0126937334
20130726	0.2823453086	-0.4049490676	-0.02512604191
20130727	0.2013595438	-0.3370601256	-0.02988725744
20130728	0.1229977863	-0.3273036578	-0.01925423998
20130729	0.05490383015	-0.2958858166	0.003924368802
20130730	-0.02815624179	-0.2782616754	0.0116597821
20130731	-0.08366331224	-0.2677514669	0.001331762638
20130801	-0.1294782181	-0.2555956226	0.01471135923
20130802	-0.1223782131	-0.2668148548	0.05594313863
20130803	-0.1060177593	-0.2745477959	0.07791384478
20130804	-0.06843687147	-0.2530780392	0.08641836346
20130805	-0.049408727	-0.2249327033	0.09959993159
20130806	-0.06682215614	-0.1393093827	0.03260254439
20130807	0.0139875155	-0.08544612418	0.02201225623
20130808	-0.03021286664	-0.1142726808	0.005788752356
20130809	-0.04381248556	-0.08381312591	-0.01479970492
20130810	-0.06315099348	0.01452483454	0.004563673967
20130811	-0.07718377119	0.1368020296	0.05784027464
20130812	-0.07167099928	0.253960021	0.04133273676
20130813	-0.07116075963	0.3584092913	0.003033224155
20130814	-0.03358237643	0.4246122011	-0.008907656709
20130815	0.02012431263	0.4393588297	-0.02151744001
20130816	0.07781201773	0.4627063636	-0.08086078745
20130817	0.1311560574	0.4545635799	-0.1061672864
20130818	0.220371983	0.3450703586	-0.121793805
20130819	0.1935127268	0.1534651147	-0.1251634425
20130820	0.2506455889	0.07074169304	-0.08167983619
20130821	0.2810391248	0.05524023584	-0.09538139379
20130822	0.3972997029	0.05350470769	-0.09827508838
20130823	0.4389864583	0.005988029256	-0.09888335098
20130824	0.4031162942	-0.06817262562	-0.1141120726
20130825	0.4891433471	-0.08500013678	-0.1284186099
20130826	0.5852516508	-0.2026234365	-0.1294271392
20130827	0.6310759532	-0.2092550909	-0.1615445624
20130828	0.6524048571	-0.3810462168	-0.2460215078
20130829	0.6677646518	-0.3638133085	-0.291174068
20130830	0.6793623521	-0.3887733817	-0.3222514638
20130831	0.7086175685	-0.4410783395	-0.3556431959
20130901	0.7416999448	-0.4314212618	-0.3926637555
20130902	0.7747191648	-0.4357874295	-0.4382243229
20130903	0.7896284544	-0.4484154911	-0.4105917383
20130904	0.8158620947	-0.472439059	-0.4216189344
20130905	0.8202623879	-0.4233462165	-0.4287961031
20130906	0.8688729822	-0.3619232717	-0.3580115562
20130907	0.8734107866	-0.3002347141	-0.3644160255
20130908	0.865473288	-0.1983630369	-0.3878817472
20130909	0.8687614397	-0.102395797	-0.3861588304
20130910	0.9002003373	0.03385685039	-0.4878911231
20130911	0.9033781803	0.1163337709	-0.4895002716
20130912	0.9013109923	0.1822963072	-0.4808907729
20130913	0.8985091355	0.2265688586	-0.4973178486
20130914	0.8931623166	0.3044599443	-0.5346423792
20130915	0.8845013565	0.4032775435	-0.4337478128
20130916	0.8769487978	0.4764266938	-0.3505945934
20130917	0.8563200316	0.4775761533	-0.2498487345
20130918	0.8520924731	0.4955053285	-0.1188870339
20130919	0.8147100313	0.5068417895	-0.0895460864
20130920	0.7275948782	0.5268601901	0.09471037555
20130921	0.6679306096	0.533205882	0.2809439832
20130922	0.5735019395	0.5258202557	0.4282280348
20130923	0.4622469697	0.517194141	0.534205274
20130924	0.4172004059	0.6764632893	0.5493060449
20130925	0.3398066883	0.6671285984	0.5595722086
20130926	0.3067843488	0.658616292	0.576434885
20130927	0.2913396067	0.7334401177	0.5845725277
20130928	0.2924273053	0.862968337	0.5923940723
20130929	0.2894094163	0.8520522478	0.5803360091
20130930	0.2485375884	0.8480334305	0.4928561217
20131001	0.1616881114	0.7942606402	0.4967941942
20131002	0.09517374333	0.7533718392	0.5247858555
20131003	0.1133219431	0.6750503244	0.5396167228
20131004	0.1186080703	0.6070560405	0.5388514671
20131005	0.09077965573	0.4717010971	0.6260601527
20131006	0.003464366519	0.3736054092	0.4634453382
20131007	-0.07527784178	0.2739262809	0.4482923487
20131008	-0.1134281877	0.1978830938	0.4297589388
20131009	-0.1888240398	0.1270244679	0.2712087457
20131010	-0.1665280852	0.1027634519	0.1797803058
20131011	-0.1451735992	0.09861374475	0.1479741535
20131012	-0.180936563	0.08017710574	0.07232206625
20131013	-0.1691065472	0.07275320871	-0.05657972694
20131014	-0.1295343061	0.07738226529	-0.06227763423
20131015	-0.07509188381	0.05740904603	-0.03032044561
20131016	0.0039573062	0.02074027039	0.06058329141
20131017	0.1472470565	0.003488968717	0.1925044752
20131018	0.2777671646	-0.01033125289	0.1725575198
20131019	0.3458067019	0.0009209731812	0.2700398437
20131020	0.4056347019	0.01852314236	0.3709486938
20131021	0.4370803066	-7.481181599e-05	0.4403622398
20131022	0.5561635849	-0.05157855937	0.5020359878
20131023	0.6043921438	-0.1452958202	0.5650976949
20131024	0.6265431265	-0.2290615319	0.6321572339
20131025	0.6367986468	-0.3087480653	0.7268162196
20131026	0.6723539795	-0.3902257577	0.7676801958
20131027	0.6961505682	-0.4345044517	0.782766609
20131028	0.6684987685	-0.4687024355	0.811058987
20131029	0.6983724952	-0.4786869827	0.8037963392
20131030	0.6893488341	-0.4010258451	0.8034133213
20131031	0.6736150715	-0.2822084883	0.8210162563
20131101	0.6641366564	-0.2055040567	0.7989048855
20131102	0.6550212445	-0.2526326648	0.7825875142
20131103	0.6390100332	-0.2947686569	0.7718154911
20131104	0.610668398	-0.3192465869	0.7851972821
20131105	0.5518418628	-0.3516897308	0.7676019665
20131106	0.4844074332	-0.3129316169	0.7548764038
20131107	0.4338150161	-0.3694349222	0.7433275102
20131108	0.3606290469	-0.2653047901	0.7292528461
20131109	0.138483909	-0.1850825675	0.7036168309
20131110	0.03941033623	-0.06476465186	0.6739460458
20131111	-0.07287063359	0.006887009102	0.6306540468
20131112	-0.2351891923	0.08242894167	0.5453490909
20131113	-0.3994744783	0.1769981906	0.4404273015
20131114	-0.4947749434	0.2827028456	0.3289446481
20131115	-0.4829809046	0.3351008487	0.2608073234
20131116	-0.4933896009	0.4068939153	0.1982244212
20131117	-0.5016632297	0.4257584836	0.1361129438
20131118	-0.516718042	0.4551799699	0.09322004612
20131119	-0.5241520712	0.4618079131	0.07534192003
20131120	-0.5322953314	0.4440717331	0.05883056647
20131121	-0.5391010959	0.4618177017	0.03604190567
20131122	-0.5269172712	0.4472721795	0.005994747046
20131123	-0.5266336681	0.4748155407	-0.05597623778
20131124	-0.4931728138	0.4874107182	-0.2017832309
20131125	-0.3667800916	0.4761095091	-0.3084443065
20131126	-0.2030753159	0.5039726683	-0.4191169321
20131127	0.05109520414	0.5190441216	-0.5026267619
20131128	0.2437097789	0.5590095827	-0.5816069635
20131129	0.4096581527	0.5515668174	-0.6190038477
20131130	0.5325551598	0.5197429187	-0.6457289111
20131201	0.6990522967	0.5393980554	-0.6283522148
20131202	0.744755918	0.4678976249	-0.5918733122
20131203	0.7831572538	0.4778059757	-0.5212413325
20131204	0.8037837987	0.5002142174	-0.4316198513
20131205	0.8194263417	0.4594103308	-0.1429524359
20131206	0.832070459	0.4981859746	0.02998014906
20131207	0.839114426	0.5107624374	0.2464505455
20131208	0.843841796	0.557749343	0.4157949655
20131209	0.8508988585	0.6351581778	0.5388349315
20131210	0.8561756061	0.6368643143	0.6405788571
20131211	0.8586603616	0.6205990562	0.7053498716
20131212	0.8452313306	0.5902051193	0.7401802629
20131213	0.8386225233	0.5455035729	0.7258608692
20131214	0.8162818514	0.4891382167	0.7086352785
20131215	0.7683015788	0.43054912	0.6847282008
20131216	0.7113055729	0.3287381476	0.6426733981
20131217	0.7065008868	0.2171687458	0.6108471745
20131218	0.6289248588	0.06793733723	0.6065512796
20131219	0.5272542963	-0.02586316815	0.6334033213
20131220	0.4087568773	-0.1023507282	0.6621910398
20131221	0.295107753	-0.1962610906	0.6963564412
20131222	0.1989065941	-0.2160742672	0.7117044864
20131223	0.07250585484	-0.2328991267	0.7211646306
20131224	-0.0202214682	-0.2545885464	0.7622095595
20131225	-0.01607020511	-0.2794352809	0.775892999
20131226	0.02992234965	-0.29443564	0.7908066898
20131227	0.09236812753	-0.2869132294	0.804293049
20131228	0.1489712832	-0.2469911682	0.8428220838
20131229	0.2228465461	-0.1942553107	0.8506316868
20131230	0.2605246266	-0.1341251721	0.8498916327
20131231	0.2169780812	-0.176157489	0.8532273977
20140101	0.2253991761	-0.1361937336	0.8549132169
20140102	0.224236881	-0.115629188	0.8567433804
20140103	0.2124135566	-0.0719137584	0.8501449032
20140104	0.1929651899	0.07037058014	0.6561956656
20140105	0.181738811	0.2028250784	0.4821310946
20140106	0.1723654327	0.2952811681	0.3064262818
