# YYYYMMDD	N_correlation	E_correlation	U_correlation
20120430	0.7312276895	0.5108063189	-0.548202976
20120501	0.7224701326	0.5703451361	-0.6629062299
20120502	0.7297923602	0.5855303922	-0.8048641581
20120503	0.7431680974	0.6069835839	-0.876513689
20120504	0.7733353665	0.5872052685	-0.8895115281
20120505	0.7685679811	0.5470106977	-0.8586737122
20120506	0.756515965	0.5172113653	-0.8128408499
20120507	0.7475717165	0.4994854456	-0.7259818842
20120508	0.7364038763	0.5049621953	-0.6122382344
20120509	0.7267534643	0.5167912528	-0.442982274
20120510	0.7304744812	0.5196699923	-0.2376917688
20120511	0.7450963033	0.5280653064	-0.0005647037954
20120512	0.7614687585	0.5440262629	0.229195169
20120513	0.7776960945	0.5695067457	0.4234150445
20120514	0.7979164359	0.6058984362	0.5667297149
20120515	0.820924995	0.6572015871	0.6643325561
20120516	0.8504893212	0.7249284173	0.7216766924
20120517	0.8787924029	0.7899841277	0.7542304682
20120518	0.902077439	0.8601083197	0.7669676397
20120519	0.9198385827	0.9082465656	0.766900217
20120520	0.933135959	0.9484651301	0.7592447545
20120521	0.9420297319	0.9621609952	0.7444996789
20120522	0.947985274	0.9696290852	0.7247492776
20120523	0.9502435168	0.9731753801	0.6969774912
20120524	0.9497423592	0.9764222868	0.6581037627
20120525	0.9440492181	0.9800597776	0.6084008858
20120526	0.9350643299	0.9831240971	0.5488317226
20120527	0.9191869199	0.9860164065	0.4864481994
20120528	0.8830153755	0.9878523788	0.4253851747
20120529	0.8252708591	0.989081014	0.3688745863
20120530	0.7492871056	0.9894383525	0.3218226412
20120531	0.6599404943	0.9888918793	0.2880291417
20120601	0.594256365	0.9876278064	0.2687896817
20120602	0.5690792662	0.9857000646	0.2680798688
20120603	0.5879097246	0.9833163024	0.2876323234
20120604	0.6316918291	0.9806957054	0.3238407258
20120605	0.6852919219	0.9780290318	0.3879963188
20120606	0.7397727218	0.9756405562	0.4636858315
20120607	0.7921340852	0.9746751351	0.5706427291
20120608	0.8415705542	0.9664612225	0.6776533946
20120609	0.8739697597	0.9523430868	0.7788951199
20120610	0.8901175794	0.9377294508	0.8362859979
20120611	0.8971483594	0.9314422366	0.846565862
20120612	0.9002578901	0.9370126499	0.797438983
20120613	0.9020531378	0.9472667578	0.7021950874
20120614	0.9059606737	0.9564939369	0.5640287283
20120615	0.9106185905	0.9639973187	0.396602932
20120616	0.9205179591	0.9688199123	0.2014701886
20120617	0.9228360308	0.9717743296	-0.005914464929
20120618	0.924586475	0.9734294355	-0.2128924236
20120619	0.9261280575	0.9755897127	-0.3815030982
20120620	0.9274957379	0.9782952521	-0.4941967534
20120621	0.9279837415	0.981527082	-0.542435303
20120622	0.9255048175	0.9839837517	-0.5307219359
20120623	0.9207960247	0.9859333215	-0.4676111789
20120624	0.9152201984	0.9868163183	-0.3655317553
20120625	0.9139033821	0.986324132	-0.2565311133
20120626	0.91330416	0.9839528755	-0.1689142523
20120627	0.9148063649	0.9794051572	-0.1187794811
20120628	0.9196124029	0.9725303623	-0.1080867509
20120629	0.9260800625	0.9625125231	-0.1444547783
20120630	0.9335081307	0.9492551929	-0.2056881019
20120701	0.9385132182	0.9315617439	-0.2899484977
20120702	0.9407718469	0.9095144922	-0.3947625528
20120703	0.9384345491	0.8816528972	-0.5119997491
20120704	0.9317737425	0.8484404463	-0.6320268777
20120705	0.9092114097	0.8100857686	-0.743229969
20120706	0.8750749587	0.7683382018	-0.8283962294
20120707	0.8269116659	0.7257650568	-0.8885891752
20120708	0.7882860408	0.7006906128	-0.920530252
20120709	0.779835633	0.7101170898	-0.9315348612
20120710	0.806917271	0.7455441887	-0.9305953821
20120711	0.8482558856	0.7912936646	-0.9257557163
20120712	0.8688859722	0.8252825615	-0.921679783
20120713	0.8676797049	0.8487250181	-0.915019082
20120714	0.8702812973	0.862060486	-0.8982563552
20120715	0.8735076101	0.8718724205	-0.8669594728
20120716	0.8807033649	0.8868351863	-0.830890414
20120717	0.8895260051	0.9029990933	-0.8193419059
20120718	0.8967402617	0.9219591011	-0.8356793136
20120719	0.9006444642	0.9372243009	-0.8664566243
20120720	0.9006860797	0.9487704526	-0.8681178794
20120721	0.8974737592	0.9579293598	-0.7872020791
20120722	0.8927629292	0.9633558329	-0.5888868472
20120723	0.8868389392	0.9637766486	-0.3042257733
20120724	0.8773285511	0.9580474623	-0.01972687097
20120725	0.8621307986	0.9442945166	0.2032229746
20120726	0.8398250825	0.9208190058	0.3595798412
20120727	0.8164710409	0.8847154113	0.463098281
20120728	0.7981623434	0.8329839458	0.5373769231
20120729	0.7865865108	0.7678943564	0.5923974574
20120730	0.7701057203	0.6877931613	0.6418882397
20120731	0.7466225871	0.6118234953	0.6869947081
20120801	0.7124095364	0.5356684723	0.7276531892
20120802	0.6741918878	0.4879632438	0.7632096227
20120803	0.6360520627	0.4465604255	0.7914185095
20120804	0.6010619584	0.4320924395	0.809413802
20120805	0.57147998	0.3632675758	0.8093064207
20120806	0.5467083504	0.3221422713	0.7903628809
20120807	0.516905397	0.3283734249	0.754199542
20120808	0.4776603165	0.3660104562	0.7099311359
20120809	0.4232314762	0.4086920435	0.6688274553
20120810	0.3632696331	0.4552177456	0.6429938936
20120811	0.3097615058	0.4870922622	0.6452763669
20120812	0.2900541753	0.5028996985	0.6734537516
20120813	0.2939197051	0.4940972131	0.7209919827
20120814	0.3093271127	0.4763200696	0.7739792649
20120815	0.3605511035	0.4455300193	0.8083227176
20120816	0.4420750074	0.413477178	0.8158289999
20120817	0.524413994	0.3645182012	0.8038701898
20120818	0.5933164954	0.3168729117	0.7781978677
20120819	0.6426579943	0.2430435134	0.7472014374
20120820	0.6769755027	0.1538000821	0.7146424886
20120821	0.7014470689	0.01280200638	0.6826925535
20120822	0.7199718202	-0.1404233821	0.6520891427
20120823	0.7371152737	-0.3416657746	0.6227724608
20120824	0.7542318704	-0.4843317366	0.5934393157
20120825	0.774075783	-0.5651242689	0.5621811786
20120826	0.7945756836	-0.5446287658	0.5285076817
20120827	0.8142613847	-0.4622361456	0.4892134177
20120828	0.8269968203	-0.3671713815	0.4492044535
20120829	0.8303870315	-0.2469000227	0.3945574785
20120830	0.8302387703	-0.1530054922	0.3183152182
20120831	0.8255372829	-0.03857882552	0.2180378246
20120901	0.8145789283	0.04761190126	0.0936377484
20120902	0.7965844529	0.153225873	-0.04501496698
20120903	0.7741972503	0.2331634179	-0.1810890435
20120904	0.7424423941	0.3569191286	-0.295757096
20120905	0.7010457802	0.45569806	-0.3784524657
20120906	0.6420970196	0.5016456994	-0.4252189277
20120907	0.5655989111	0.5021034599	-0.4311459912
20120908	0.4756354036	0.4877273186	-0.3914633581
20120909	0.4025716927	0.4570657099	-0.3032068475
20120910	0.3755114488	0.4535811607	-0.1718788934
20120911	0.4115926328	0.471047294	-0.01593386413
20120912	0.4953676559	0.5378097511	0.1453509268
20120913	0.6264189022	0.6079599968	0.2747812678
20120914	0.761034132	0.6904091168	0.3634275143
20120915	0.8513259822	0.7634597051	0.4312224735
20120916	0.9001476326	0.8397063232	0.4992861451
20120917	0.9207654547	0.891097961	0.5098633997
20120918	0.9268348718	0.9269724831	0.4565062703
20120919	0.9291427371	0.9249765682	0.3704776832
20120920	0.9331061666	0.8872602306	0.1954356596
20120921	0.939671709	0.8078354459	0.03501262124
20120922	0.9465546081	0.7209323844	-0.07398557926
20120923	0.9522570769	0.6592904865	-0.1295709441
20120924	0.955634151	0.662533795	-0.1362410008
20120925	0.9572267108	0.6937246957	-0.09432897205
20120926	0.9569245389	0.7337623775	-0.007557583816
20120927	0.9549112935	0.7677813474	0.1047833338
20120928	0.9518175912	0.794570281	0.2166902975
20120929	0.9450716699	0.813374144	0.3172946842
20120930	0.9339511749	0.8265682625	0.4080138543
20121001	0.9287997283	0.834738113	0.4897152469
20121002	0.9315635836	0.8404553569	0.5623011078
20121003	0.9216780459	0.84426783	0.6259777443
20121004	0.9097503122	0.8493773829	0.6778112959
20121005	0.8922746065	0.8556879262	0.7211249686
20121006	0.8982670389	0.8653512913	0.7556882602
20121007	0.9168713548	0.8757837689	0.7871445505
20121008	0.949540127	0.8889416854	0.813652054
20121009	0.9681440555	0.8998299304	0.8371847507
20121010	0.9747940067	0.9113757273	0.8577422264
20121011	0.9761207969	0.9151363499	0.8725592351
20121012	0.9728779943	0.9166131531	0.8779629032
20121013	0.9692802593	0.9186730585	0.8731517962
20121014	0.9665066054	0.925925332	0.8551864957
20121015	0.9654795899	0.9366842302	0.8262928164
20121016	0.9649872808	0.9481884198	0.7824876572
20121017	0.9642361374	0.9586990097	0.730690694
20121018	0.963030921	0.9646462283	0.6761973412
20121019	0.9611300881	0.9683858866	0.6305688507
20121020	0.9585814736	0.966256761	0.5691168803
20121021	0.9553142971	0.9662127417	0.518313216
20121022	0.9526047575	0.9657128663	0.4827931417
20121023	0.9498771092	0.9667876011	0.4696560349
20121024	0.9475814924	0.9684475973	0.4768672388
20121025	0.9418504797	0.9714302327	0.4889950453
20121026	0.9341722697	0.9749107888	0.4884255443
20121027	0.921309118	0.9783995689	0.5048166766
20121028	0.9059810892	0.9817839628	0.531852033
20121029	0.8873334608	0.9847073731	0.555469888
20121030	0.8677053065	0.9874785371	0.5616776975
20121031	0.8533962906	0.9895340335	0.5336806555
20121101	0.8444918685	0.9909279521	0.4583043815
