# YYYYMMDD	N_correlation	E_correlation	U_correlation
20130130	0.6183871376	0.3559284125	-0.1098481818
20130131	0.5819138684	0.3846915906	0.02013454698
20130201	0.2799227711	0.3936038289	0.09028570148
20130202	0.3367411725	0.3837106301	0.3535424153
20130203	0.368278165	0.3796963606	0.8620207887
20130204	0.3573437734	0.3727487109	0.8938170709
20130205	0.4381599012	0.4592605788	0.8910401181
20130206	0.3879862208	0.4704938527	0.896617653
20130207	0.3087659706	0.4807705565	0.8993776507
20130208	0.3734067702	0.4562508501	0.8919677878
20130209	0.3729112849	0.4458703469	0.8896695096
20130210	0.4553010283	0.4503494709	0.8838698115
20130211	0.4578542005	0.4646742078	0.8765191829
20130212	0.459794684	0.4881356298	0.8692062676
20130213	0.4615097213	0.5115708026	0.8598979389
20130214	0.4467314653	0.536468418	0.8501362368
20130215	0.3946631911	0.5240398724	0.8505073352
20130216	0.3915025522	0.5436947671	0.8343756961
20130217	0.3864339656	0.5604655417	0.8019666009
20130218	0.3861087848	0.5748008536	0.7680818998
20130219	0.3897672718	0.6193485508	0.7045194938
20130220	0.3997775795	0.6273327518	0.7487195595
20130221	0.3532118325	0.6379149966	0.753427828
20130222	0.3135265099	0.7176085004	0.7397032556
20130223	0.3307344025	0.6203241421	0.7117446754
20130224	0.3469857377	0.6824955912	0.6645226181
20130225	0.3066948796	0.5995339555	0.5985020274
20130226	0.2366212272	0.5901717745	0.5337873019
20130227	0.1608578204	0.5404427868	0.4660140367
20130228	0.1316961198	0.4976818688	0.4216970338
20130301	0.03850289524	0.5202500041	0.4143085413
20130302	0.1287383851	0.5432291608	0.3384152159
20130303	0.2651686635	0.5790807513	0.3326099677
20130304	0.3869042055	0.6096082853	0.3304128905
20130305	0.5789925756	0.6597503397	0.3834148218
20130306	0.6399851813	0.704084665	0.3748714035
20130307	0.7160436627	0.7027927545	0.1764481332
20130308	0.7571865859	0.7019203496	0.0476218743
20130309	0.794286844	0.672862747	-0.2464475415
20130310	0.8281989429	0.6794078578	-0.367859115
20130311	0.8190100588	0.6789857986	-0.48194813
20130312	0.80147497	0.6663415744	-0.4963710549
20130313	0.699418522	0.6485654633	-0.4701194342
20130314	0.6564733026	0.6322020915	-0.4656946543
20130315	0.6123589325	0.5406516583	-0.4764914507
20130316	0.5427549636	0.5417987318	-0.4811683542
20130317	0.3546537625	0.5479931987	-0.5016636238
20130318	0.2395272021	0.5553680755	-0.4624956954
20130319	0.09003296926	0.5177901535	-0.4390938777
20130320	-0.02394554185	0.517183761	-0.4147548289
20130321	-0.1256008045	0.5346686272	-0.3439979428
20130322	-0.1816995807	0.5568855712	-0.150951535
20130323	-0.3662501868	0.5879866803	-0.02763703903
20130324	-0.381131145	0.6163322806	0.1673759056
20130325	-0.4520478933	0.607909233	0.3971915584
20130326	-0.49643007	0.6490753124	0.5241087685
20130327	-0.5137361178	0.6560122166	0.6269801057
20130328	-0.5207466376	0.657898867	0.6789174943
20130329	-0.4695029638	0.6579271532	0.7291764559
