# YYYYMMDD	N_correlation	E_correlation	U_correlation
20120626	0.573637034	0.9953556206	0.007254556409
20120627	0.5582664387	0.9949187834	-0.005166954507
20120628	0.5539942609	0.9935426431	-0.03750825164
20120629	0.5628130312	0.9909800592	-0.08705955033
20120630	0.5827667836	0.9868682941	-0.1526059265
20120701	0.6078934491	0.9806763204	-0.2344834738
20120702	0.6306568176	0.9716662866	-0.3338349581
20120703	0.6451123468	0.9589576894	-0.4508265986
20120704	0.6481532974	0.9419033035	-0.5813082529
20120705	0.6388456386	0.9210388979	-0.713050585
20120706	0.6179650333	0.8993354311	-0.8269332806
20120707	0.5892013388	0.8820954779	-0.9075205541
20120708	0.5615755686	0.8739747203	-0.9533921454
20120709	0.5493318317	0.8756087095	-0.9742691149
20120710	0.5638157818	0.8838874471	-0.9811601855
20120711	0.6024060589	0.8949013875	-0.980981734
20120712	0.6509302071	0.9059774465	-0.9765566195
20120713	0.6965165083	0.915892056	-0.9686466113
20120714	0.7334265281	0.924305129	-0.9581419752
20120715	0.7609925167	0.931223995	-0.9474843279
20120716	0.7806221775	0.936699519	-0.9399893966
20120717	0.794275735	0.9407124163	-0.9355247788
20120718	0.8040159651	0.9431787973	-0.9225187701
20120719	0.8120003485	0.9440180439	-0.8705095963
20120720	0.8205257595	0.9432343403	-0.7342182829
20120721	0.8318602652	0.9409687212	-0.4834401804
20120722	0.8476732177	0.9374905282	-0.1537594376
20120723	0.8680891086	0.9331199331	0.1578132595
20120724	0.8908135695	0.9281026746	0.3866937872
20120725	0.9111102326	0.9224789886	0.5346686641
20120726	0.9231841462	0.9159832608	0.6275450511
20120727	0.922950206	0.9079777155	0.6873424669
20120728	0.9109501093	0.8973800204	0.727990896
20120729	0.8921440545	0.8825091755	0.7576233766
20120730	0.8718722527	0.860759633	0.7808895418
20120731	0.8526257543	0.828105042	0.800339507
20120801	0.8340050639	0.7790801211	0.8171018738
20120802	0.8137698779	0.7100466031	0.8311327691
20120803	0.7878407282	0.629220303	0.8412642159
20120804	0.7481560305	0.5622523011	0.8453375176
20120805	0.6776751813	0.5330831596	0.8408389913
20120806	0.5480604461	0.5444658936	0.8263618737
20120807	0.3498977397	0.5850326641	0.8034503276
20120808	0.1462825864	0.642627292	0.7773413416
20120809	0.0121026192	0.7081418674	0.7555170364
20120810	-0.04006490614	0.7724647063	0.7449832882
20120811	-0.02604552361	0.8231364622	0.7500325161
20120812	0.0386729981	0.8460466123	0.7709735907
20120813	0.1398660439	0.8314531386	0.8033010955
20120814	0.2607475805	0.7768653092	0.8375975506
20120815	0.3830847904	0.6844084757	0.8619937576
20120816	0.4924715159	0.5590843459	0.8677964545
20120817	0.5818907473	0.4121294702	0.8540229209
20120818	0.6508010945	0.2657384076	0.8261536163
20120819	0.7020956344	0.1504355939	0.7913416171
20120820	0.739626583	0.09170632859	0.7550604626
20120821	0.7669722053	0.09528668918	0.7203391224
20120822	0.7870416723	0.1429941833	0.6881837514
20120823	0.8020518785	0.2028768172	0.6581177997
20120824	0.8136174436	0.2467651058	0.6285674448
20120825	0.8228515773	0.2612604801	0.5971248039
20120826	0.830451446	0.247106678	0.5607329731
20120827	0.8367692433	0.2133511014	0.5158048477
20120828	0.8418738068	0.1721569996	0.4583054129
20120829	0.8456009163	0.1356956858	0.38393414
20120830	0.8475814137	0.1145715308	0.2887742565
20120831	0.8472286042	0.1167470835	0.1710259573
20120901	0.8436590675	0.1460126784	0.03410166997
20120902	0.8355134173	0.2000276467	-0.1105658819
20120903	0.8206564691	0.2697759322	-0.2448547209
20120904	0.7958783029	0.3425897019	-0.3504281712
20120905	0.7573027957	0.4074325159	-0.4148763528
20120906	0.7034111365	0.4581485545	-0.4334652887
20120907	0.6418404805	0.4929491877	-0.4089614164
20120908	0.5928983854	0.5121197383	-0.3510363648
20120909	0.5787678433	0.5159811626	-0.2729975615
20120910	0.6074885893	0.5035807756	-0.1863589143
20120911	0.669068242	0.4722779297	-0.09711301374
20120912	0.7429638742	0.4204436664	-0.005092077627
20120913	0.8092797845	0.3567485055	0.09482112258
20120914	0.8569169697	0.3054370381	0.2084112655
20120915	0.8843376109	0.2888849471	0.3266532762
20120916	0.8954848533	0.3113638284	0.4067351633
20120917	0.8958539146	0.3640543221	0.416865001
20120918	0.8904871604	0.431611494	0.3808793929
20120919	0.8832010645	0.4896620197	0.3257594411
20120920	0.8762433418	0.5034817429	0.2588117
20120921	0.8702058248	0.4578557383	0.1789896256
20120922	0.8643064189	0.3911118569	0.0850215636
20120923	0.8569741863	0.3515317934	-0.02167483518
20120924	0.8464210573	0.354856987	-0.136143094
20120925	0.830916277	0.3937226935	-0.2499124322
20120926	0.8087407284	0.4540893682	-0.351935035
20120927	0.7780417789	0.5234300015	-0.4306738449
20120928	0.7369831667	0.5932863166	-0.476903716
20120929	0.6848540274	0.6589635498	-0.4860662039
20120930	0.6252119011	0.7183052866	-0.4590991028
20121001	0.571835739	0.7705797985	-0.4014545193
20121002	0.5542077661	0.8157487841	-0.3208951728
20121003	0.6067543835	0.8540478344	-0.2251494797
20121004	0.7212335711	0.8857504077	-0.1203744737
20121005	0.8308287411	0.9110337099	-0.0107603962
20121006	0.8995473025	0.9299308856	0.1010075167
20121007	0.9382675321	0.9424098716	0.2129605752
20121008	0.9610471453	0.948636538	0.3231439943
20121009	0.9751826373	0.9494074461	0.4291828351
20121010	0.9841903737	0.9465484954	0.52815853
20121011	0.9899349002	0.9428881455	0.6168063615
20121012	0.9935024992	0.941507894	0.6920278711
20121013	0.9955572984	0.9444792366	0.7516213375
20121014	0.9965048568	0.9518709625	0.794981575
20121015	0.9965794628	0.9618444326	0.8234403872
20121016	0.9959012398	0.9718700267	0.8400251853
20121017	0.9945262752	0.9801042485	0.8486457001
20121018	0.9925018742	0.9859312522	0.8529468257
20121019	0.9899259825	0.9896334379	0.8553087968
20121020	0.9869921636	0.9918176583	0.856661425
20121021	0.9839890058	0.9930450043	0.8572883232
20121022	0.9812326063	0.9937111778	0.8576398373
20121023	0.9789458828	0.9940599703	0.858256097
20121024	0.9771318647	0.9942326608	0.8593790337
20121025	0.9754867858	0.9943112646	0.8610524511
20121026	0.9733654821	0.9943464649	0.8635100611
20121027	0.9697835506	0.9943727945	0.8672635194
20121028	0.9634477692	0.9944155623	0.8726164637
20121029	0.9528450911	0.9944930526	0.8787396572
20121030	0.9364570409	0.9946163449	0.8827495796
20121031	0.9131416329	0.9947883103	0.8793814958
20121101	0.8825963965	0.9950028521	0.861671473
20121102	0.8457053141	0.9952450717	0.8224384144
20121103	0.8048735738	0.9954926846	0.7557093975
20121104	0.7653857241	0.9957187929	0.657453252
20121105	0.7387115638	0.9958962742	0.5261004738
20121106	0.7414678847	0.9960048636	0.363911907
20121107	0.7777528788	0.9960435143	0.1790474654
20121108	0.8287059823	0.9960511033	-0.01408814817
20121109	0.8741402139	0.9961277306	-0.1986321331
20121110	0.9071549477	0.996393198	-0.3613078798
20121111	0.9291189288	0.9967187292	-0.4957354478
20121112	0.943176579	0.9964083751	-0.6012545218
20121113	0.9518643906	0.9951450486	-0.679965708
20121114	0.9568038498	0.9941315704	-0.7339483226
20121115	0.95890483	0.9941815781	-0.7583767647
20121116	0.9586025005	0.9948077497	-0.7269163778
20121117	0.9561066955	0.9954174171	-0.6002085041
20121118	0.9518175757	0.9957979568	-0.3806505855
20121119	0.9470219915	0.9959663069	-0.1152501112
20121120	0.9443367399	0.9960055073	0.1511022365
20121121	0.9464711501	0.9959930316	0.3859168836
20121122	0.953603366	0.9959801889	0.5706790907
20121123	0.9630026653	0.9959914592	0.7040539292
20121124	0.9716573167	0.996030101	0.7957850695
20121125	0.9781537093	0.9960844402	0.8578908788
20121126	0.9824524637	0.9961324819	0.9001596373
20121127	0.9850494239	0.9961440013	0.929366145
20121128	0.986474681	0.9960802227	0.9498715974
20121129	0.9871378711	0.9958919351	0.9643798256
20121130	0.9873270047	0.9955174878	0.9745057357
20121201	0.9872480334	0.9948824868	0.98114655
20121202	0.9870626082	0.9939029313	0.9847379327
20121203	0.9869090365	0.9924926896	0.9855005275
20121204	0.9869008283	0.9905744115	0.9837521639
20121205	0.9871073708	0.9880903498	0.9802203496
20121206	0.9875342087	0.9850066535	0.9761159623
20121207	0.9881226261	0.9813021404	0.9728111797
20121208	0.9887720424	0.9769304995	0.9713335449
20121209	0.9893702223	0.9717422068	0.9720612009
20121210	0.9898149236	0.9653461574	0.9747567195
20121211	0.9900233275	0.9568752978	0.9787932698
20121212	0.9899375807	0.9445851919	0.9833946161
20121213	0.989539545	0.9251485809	0.9878200981
20121214	0.9888847096	0.8924521475	0.9915024676
20121215	0.9881467298	0.836093172	0.9941442388
20121216	0.9876231438	0.7431335719	0.9957438584
20121217	0.9876295926	0.6193933702	0.9965249446
20121218	0.988301091	0.5374224104	0.9967978618
20121219	0.9894806627	0.5754917499	0.9968309828
20121220	0.9908285458	0.6786247851	0.9967898179
20121221	0.9920280444	0.7705878913	0.9967427958
20121222	0.9928947604	0.8333041633	0.9966969329
20121223	0.993360287	0.8723762189	0.9966316169
20121224	0.9934071982	0.8953166395	0.9965185813
20121225	0.9930097318	0.907480987	0.9963287074
20121226	0.9920877668	0.9123402696	0.9960271671
20121227	0.9904622682	0.9121578561	0.9955489497
20121228	0.9878116139	0.9084671414	0.994720731
20121229	0.9837077359	0.9023671263	0.9930276054
20121230	0.9780851977	0.894704416	0.9889678763
20121231	0.9727351465	0.8861813069	0.9785420407
20130101	0.972096847	0.8774060081	0.9530566235
20130102	0.9780764484	0.86889264	0.9006273657
20130103	0.9862208199	0.8610217909	0.8188282333
20130104	0.9924026119	0.8539791711	0.723861278
20130105	0.9960568711	0.8476918031	0.6345692607
20130106	0.9978874231	0.8417737795	0.5595003895
20130107	0.9983940091	0.8354784755	0.5013793311
20130108	0.9976047155	0.8276351703	0.4620373831
20130109	0.9950845502	0.8165247657	0.4430153448
20130110	0.9899972926	0.7996116511	0.4447966866
20130111	0.9814029598	0.7729793396	0.4662704368
20130112	0.9690674691	0.7302364672	0.504633395
20130113	0.9545760488	0.6609745582	0.5556535918
20130114	0.9415226292	0.5521396423	0.6142468887
20130115	0.9337537578	0.4076468965	0.675232864
20130116	0.9329953186	0.2903897686	0.7339671399
20130117	0.9381953041	0.2898084466	0.7865585723
20130118	0.9467546074	0.4174486085	0.8297327279
20130119	0.9560765342	0.6014826933	0.8609674203
20130120	0.9643783334	0.7602348707	0.8797026252
20130121	0.9707750361	0.8643159946	0.8891062271
20130122	0.9750387544	0.9243870682	0.895700016
20130123	0.9773252131	0.9576035026	0.9055363014
20130124	0.9779721189	0.9757293616	0.9204724898
20130125	0.9773734156	0.9853219954	0.9382769084
20130126	0.975906179	0.9897433344	0.9554819326
20130127	0.9738893446	0.9905785557	0.9697376035
20130128	0.9715611945	0.9885317082	0.980335869
20130129	0.9690683232	0.9841805038	0.9876369571
20130130	0.9664624383	0.9786847149	0.9923907948
20130131	0.9637039359	0.9739523788	0.9953428418
20130201	0.9606737109	0.9717483689	0.9970938364
20130202	0.9571976645	0.9725099133	0.9980885754
20130203	0.9530910797	0.9752554946	0.9986442693
20130204	0.948229215	0.9785064136	0.9989722972
20130205	0.9426411808	0.9811109833	0.9991726472
20130206	0.9366059719	0.9825155943	0.9991973999
20130207	0.9307121149	0.9827396157	0.998799165
20130208	0.9258299857	0.9822957554	0.9975009183
20130209	0.9229322128	0.9819741153	0.9946297329
