# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20120401	2012.2500	0.09470927952	-0.260370468	-0.8758081805	289.9887639
20120402	2012.2527	-0.01908588615	-0.2874138161	-1.105309384	266.2008174
20120403	2012.2555	-0.1341933715	-0.3208160401	-1.316779635	247.3010465
20120404	2012.2582	-0.2476965594	-0.3664700193	-1.496579136	235.9452958
20120405	2012.2609	-0.3564745685	-0.4289467391	-1.635747187	230.271852
20120406	2012.2637	-0.4572543899	-0.5108837973	-1.731157564	228.1706233
20120407	2012.2664	-0.5466365677	-0.61246936	-1.785935256	228.2506892
20120408	2012.2691	-0.6211462908	-0.7310941604	-1.809131328	229.6483757
20120409	2012.2719	-0.6773611567	-0.8612549316	-1.814715709	231.8156008
20120410	2012.2746	-0.7121433865	-0.9947822353	-1.819990363	234.4019323
20120411	2012.2773	-0.722970993	-1.121430455	-1.843561616	237.1906737
20120412	2012.2801	-0.7083274417	-1.229812124	-1.903053229	240.0596087
20120413	2012.2828	-0.6680797102	-1.30859307	-2.012796344	242.9541967
20120414	2012.2855	-0.603761463	-1.347804703	-2.181776062	245.8695692
20120415	2012.2883	-0.5186893896	-1.34009341	-2.412110488	248.8408391
20120416	2012.2910	-0.4178733669	-1.281726804	-2.698277282	251.942802
20120417	2012.2937	-0.3077237433	-1.173211793	-3.027207097	255.3028608
20120418	2012.2964	-0.1955991454	-1.019438494	-3.379257303	259.1386866
20120419	2012.2992	-0.08926429339	-0.8293328829	-3.729977062	263.8566852
20120420	2012.3019	0.003667488551	-0.615068134	-4.052486047	270.3416355
20120421	2012.3046	0.0762468598	-0.3909421137	-4.320222064	281.0360653
20120422	2012.3074	0.1226232897	-0.1720698892	-4.509770681	305.4750606
20120423	2012.3101	0.1383995662	0.02694189251	-4.603468966	11.01585287
20120424	2012.3128	0.1209230208	0.1931822822	-4.591470255	57.95537039
20120425	2012.3156	0.06952799395	0.3163651719	-4.472976419	77.60507915
20120426	2012.3183	-0.01427844944	0.3894349824	-4.256413691	92.09978209
20120427	2012.3210	-0.1267218201	0.4088418467	-3.958463775	107.2209874
20120428	2012.3238	-0.26180441	0.3745241048	-3.602045222	124.954788
