# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20120401	2012.2500	0	0.5052905704	-2.24718434	90
20120402	2012.2527	-0.3003394335	-0.3397001987	-2.69646415	228.5191089
20120403	2012.2555	-0.4994522251	-0.2924476217	-3.074768544	210.3505402
20120404	2012.2582	-0.7844008107	-0.2390946481	-3.381227942	196.9518417
20120405	2012.2609	-0.9530921347	-0.1861827216	-3.623203341	191.0533051
20120406	2012.2637	-1.172263828	-0.1407662986	-3.8093715	186.8473333
20120407	2012.2664	-1.333800847	-0.1029806827	-3.923348567	184.4149589
20120408	2012.2691	-1.453582817	-0.05676567454	-4.019146116	182.2363925
20120409	2012.2719	-1.574127478	0.2693636621	-4.081854801	170.2896339
20120410	2012.2746	-1.658877974	0.1216894689	-4.12657335	175.8044974
20120411	2012.2773	-1.741778562	-0.05378762121	-4.153156074	181.7687809
20120412	2012.2801	-1.71808839	-0.2597329325	-4.179608355	188.5966254
20120413	2012.2828	-1.730975867	-0.4473476798	-4.035415839	194.490285
20120414	2012.2855	-1.586991435	-0.6658938491	-4.127333484	202.7626831
20120415	2012.2883	-1.502044127	-0.7648833144	-4.001178518	206.9864801
20120416	2012.2910	-1.258022986	-0.7767197663	-4.322024994	211.691722
20120417	2012.2937	-1.09475194	-0.8049904216	-5.301885004	216.327701
20120418	2012.2964	-0.7886160589	-0.7434472394	-5.979698785	223.3112752
20120419	2012.2992	-0.5753187124	-0.6449516741	-6.447322702	228.2659588
20120420	2012.3019	-0.2429636498	-0.4712550253	-6.472395647	242.7258513
20120421	2012.3046	-0.01337842654	-0.2828365566	-6.38061206	267.291876
20120422	2012.3074	0.3018374939	0.3280353945	-6.131903999	47.381694
20120423	2012.3101	0.5065439744	0.3330691799	-5.804786048	33.32622409
20120424	2012.3128	0.762702324	0.6163036598	-5.449765798	38.94003742
20120425	2012.3156	0.9072090595	0.4817770055	-4.940951369	27.97071577
20120426	2012.3183	1.07426549	0.6443722943	-4.633177423	30.95642245
20120427	2012.3210	1.146002158	0.3897093128	-3.922552334	18.78110657
20120428	2012.3238	1.229868948	0.4334201176	-3.76930421	19.41305026
20120429	2012.3265	1.244705196	0.07701499871	-3.040380677	3.540610407
20120430	2012.3292	1.262193934	0.005038483966	-2.766256661	0.2287147207
20120501	2012.3320	1.236943215	-0.4472589923	-2.291271144	340.1208155
20120502	2012.3347	1.204192566	-0.6052940734	-2.12393631	333.3133568
20120503	2012.3374	1.154820349	-1.09688774	-1.896785089	316.4737976
20120504	2012.3402	1.195577057	-1.260679189	-2.102633861	313.4817527
20120505	2012.3429	1.12512776	-1.699675354	-2.366468946	303.5032156
20120506	2012.3456	1.039894523	-1.78234396	-1.84385605	300.2610871
20120507	2012.3484	0.9110012316	-2.08133135	-1.928838124	293.639053
20120508	2012.3511	0.7686071214	-2.00455495	-1.792624688	290.9783376
20120509	2012.3538	0.6260427257	-2.100251151	-1.60351187	286.5982629
20120510	2012.3565	0.4838498553	-1.838480312	-1.354222509	284.7447067
20120511	2012.3593	0.3513588535	-1.742026079	-1.037062549	281.4033116
20120512	2012.3620	0.2394605164	-1.327944366	-0.6511840988	280.2219655
20120513	2012.3648	0.1507055676	-1.075381076	-0.2086318627	277.9775644
20120514	2012.3675	0.08092717751	-0.5513344631	0.1987546873	278.3504828
20120515	2012.3702	0.04122613509	-0.19074822	0.6159011041	282.1956697
20120516	2012.3730	0.03385784856	0.3782523158	1.15548712	84.88501331
20120517	2012.3757	0.05285125195	0.7658089127	1.810106505	86.05207025
20120518	2012.3784	0.08759478688	1.299950238	2.444922375	86.14505531
20120519	2012.3811	0.1371688389	1.657214922	2.31645446	85.268374
20120520	2012.3839	0.2241927356	2.115009624	2.687127071	83.94919602
20120521	2012.3866	0.3096361136	2.400599713	2.919428728	82.65040703
20120522	2012.3893	0.3727180969	2.740721408	2.857928537	82.25570027
20120523	2012.3921	0.368100919	2.913315866	2.818546945	82.79877007
20120524	2012.3948	0.3310928588	3.104132938	2.42289064	83.9117393
20120525	2012.3975	0.2644676606	3.1472362	1.867323559	85.19662216
20120526	2012.4003	0.1792125739	3.198816684	1.102159441	86.79337635
20120527	2012.4030	0.07932513664	3.127803428	0.3454838719	88.54721642
20120528	2012.4057	-0.02910411463	3.062890426	-0.530272688	90.54441802
20120529	2012.4085	-0.1392931419	2.895792079	-1.277419825	92.75391398
20120530	2012.4112	-0.251078471	2.734233847	-2.038509233	95.24662694
20120531	2012.4139	-0.3707153341	2.483050071	-2.631482522	98.49144587
20120601	2012.4167	-0.4848699364	2.232599685	-3.117573329	102.2530641
20120602	2012.4194	-0.6178442983	1.925535274	-3.456901738	107.7898178
20120603	2012.4221	-0.735921445	1.661393096	-3.627443588	113.8911603
20120604	2012.4249	-0.8856552014	1.620150151	-3.677268909	118.6632252
20120605	2012.4276	-1.00759778	1.343729987	-3.538853009	126.8644473
20120606	2012.4303	-1.157193558	1.029682894	-3.274157828	138.3369788
20120607	2012.4331	-1.236473088	0.7101774342	-2.87654607	150.1287769
20120608	2012.4358	-1.317921431	0.3790776045	-2.382515205	163.953022
20120609	2012.4385	-1.237376726	0.05731855856	-1.813538183	177.3478041
20120610	2012.4413	-1.129793626	-0.2474072506	-1.56481056	192.3519069
20120611	2012.4440	-0.95826627	-0.5230570161	-1.193568517	208.6273375
20120612	2012.4467	-0.9040633854	-0.7618210879	-0.6924675611	220.1196115
20120613	2012.4495	-0.8422474787	-0.9625172945	-0.2355957629	228.8125629
