# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20120613	2012.4495	0.5692172465	-1.041544674	1.174565684	298.6571586
20120614	2012.4522	0.5564458684	-1.08927588	1.359906787	297.0597702
20120615	2012.4549	0.5126190134	-1.058065096	1.622342567	295.849595
20120616	2012.4577	0.4356600075	-1.053722166	1.751037447	292.4625819
20120617	2012.4604	0.3316948946	-0.9855444549	1.667993782	288.6011772
20120618	2012.4631	0.1984390279	-0.9463290859	1.395811625	281.8429569
20120619	2012.4658	0.04152203781	-0.8579484817	1.386645003	272.7707756
20120620	2012.4686	-0.1547360846	-0.8010530024	1.34962286	259.0670652
20120621	2012.4713	-0.4932659835	-0.708680113	1.481910977	235.160742
20120622	2012.4740	-0.7607616062	-0.6495662764	1.571162431	220.4919202
20120623	2012.4768	-0.924646297	-0.5678422941	1.694277966	211.5548508
20120624	2012.4795	-1.057793006	-0.5159119694	1.752628492	205.9996433
20120625	2012.4822	-1.145743401	-0.4489758802	1.800548353	201.3984373
20120626	2012.4850	-1.177726903	-0.4101489553	1.789645857	199.2009135
20120627	2012.4877	-1.119521636	-0.3619831423	1.759391845	197.9179568
20120628	2012.4904	-0.9058725639	-0.3417213766	1.672918874	200.6679287
20120629	2012.4932	-0.6932852399	-0.3186419824	1.557864499	204.6840633
20120630	2012.4959	-0.497140183	-0.3233598367	1.399592327	213.0415845
20120701	2012.4986	-0.3079931492	-0.2412130361	1.217726929	218.0672172
20120702	2012.5014	-0.2145275799	-0.2546865084	1.01924698	229.8918893
20120703	2012.5041	-0.1246041303	-0.2678646925	0.8132481289	245.0532985
20120704	2012.5068	-0.05504297165	-0.3396674243	0.607521031	260.7952574
20120705	2012.5096	0.0004501774974	-0.4265974882	0.4107094947	270.0604628
20120706	2012.5123	0.02201565767	-0.5309489272	0.2287578957	272.3743943
20120707	2012.5150	0.003376163745	-0.6338824231	0.07468837606	270.305164
20120708	2012.5178	-0.03246138293	-0.7329804967	-0.0487558153	267.4642085
20120709	2012.5205	-0.1144240267	-0.8173378796	-0.1304415993	262.0306149
20120710	2012.5232	-0.2013487845	-0.8830778777	-0.164501783	257.1556837
20120711	2012.5260	-0.3226289464	-0.923239509	-0.1480658301	250.7378719
20120712	2012.5287	-0.4402991013	-0.9384338253	-0.08900304206	244.8647334
20120713	2012.5314	-0.5790960119	-0.9307561678	0.007550380097	238.1110348
20120714	2012.5342	-0.7070711864	-0.9012204334	0.1302525958	231.8833068
20120715	2012.5369	-0.8428169378	-0.8516257983	0.2807814564	225.2978596
20120716	2012.5396	-0.9602322397	-0.7832424673	0.4400677014	219.2034457
20120717	2012.5423	-1.073391116	-0.6971547682	0.6159535828	213.0032448
20120718	2012.5451	-1.160740045	-0.5954710641	0.7645855452	207.1582699
20120719	2012.5478	-1.229789135	-0.4791149553	0.8985210331	201.2854477
20120720	2012.5505	-1.269644714	-0.3548762629	0.9621753611	195.6161201
20120721	2012.5533	-1.268264101	-0.2243257827	0.9839808684	190.0305183
20120722	2012.5560	-1.241923878	-0.09885184419	0.8876422542	184.5509052
20120723	2012.5587	-1.17011113	0.02259162098	0.7269468361	178.8939138
20120724	2012.5615	-1.085938335	0.1226326276	0.4334708401	173.5570096
