# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20120401	2012.2500	-0.1132762401	-0.1525503751	-0.7514781442	233.4042769
20120402	2012.2527	-0.4297585095	0.0004807589502	-0.4100600595	179.9359048
20120403	2012.2555	-0.735341627	0.1376996009	-0.09110506956	169.3936648
20120404	2012.2582	-1.019223108	0.24497332	0.1818661377	166.485145
20120405	2012.2609	-1.2717431	0.3106266513	0.3876679801	166.2741003
20120406	2012.2637	-1.484845815	0.3265091912	0.5088242263	167.598356
20120407	2012.2664	-1.652368404	0.2888102339	0.5328038071	170.0856731
20120408	2012.2691	-1.770180205	0.1985252994	0.4529734041	173.6010301
20120409	2012.2719	-1.836218278	0.0614955154	0.2691573057	178.0818636
20120410	2012.2746	-1.850467952	-0.1120214709	-0.01224448778	183.4642774
20120411	2012.2773	-1.814923707	-0.3082378686	-0.3785853204	189.638866
20120412	2012.2801	-1.733539111	-0.5111105592	-0.8117325673	196.4274396
20120413	2012.2828	-1.612141784	-0.7038815854	-1.289218698	203.586693
20120414	2012.2855	-1.458265126	-0.870719183	-1.785696377	210.841109
20120415	2012.2883	-1.280847268	-0.9982716354	-2.274566791	217.9322742
20120416	2012.2910	-1.089773231	-1.076950357	-2.729635005	224.6609221
20120417	2012.2937	-0.8952796662	-1.101791762	-3.126666125	230.9038276
20120418	2012.2964	-0.7072854688	-1.072805284	-3.444750064	236.6036957
20120419	2012.2992	-0.5347366661	-0.9947869747	-3.667403245	241.7402425
20120420	2012.3019	-0.3850500759	-0.876651578	-3.783342936	246.2875654
20120421	2012.3046	-0.263712559	-0.7303989462	-3.786894342	250.147743
20120422	2012.3074	-0.1740563783	-0.5698732492	-3.678049299	253.0157572
20120423	2012.3101	-0.117200924	-0.409487694	-3.462257	254.0281611
20120424	2012.3128	-0.09213628957	-0.2630686449	-3.150038104	250.6978737
20120425	2012.3156	-0.09592536039	-0.142922944	-2.756454229	236.131737
20120426	2012.3183	-0.1240094752	-0.05916252851	-2.300377425	205.5049091
20120427	2012.3210	-0.1706077605	-0.0192533723	-1.803463039	186.4386839
20120428	2012.3238	-0.2291964275	-0.02771858567	-1.288778502	186.895755
20120429	2012.3265	-0.293041966	-0.08593412165	-0.7791568109	196.3436968
20120430	2012.3292	-0.3557460069	-0.191998713	-0.2954590916	208.35606
20120501	2012.3320	-0.4117459915	-0.3407052076	0.1450137853	219.6065507
20120502	2012.3347	-0.4567098268	-0.5236612933	0.5297436751	228.9067752
20120503	2012.3374	-0.4877690907	-0.7296003557	0.8517157203	236.2355762
20120504	2012.3402	-0.5035573857	-0.9449036928	1.109595922	241.9459866
20120505	2012.3429	-0.5040549357	-1.154338643	1.307392194	246.4109717
20120506	2012.3456	-0.4902774534	-1.342002459	1.453650625	249.9310957
20120507	2012.3484	-0.4638758349	-1.492436592	1.560238858	252.7338261
20120508	2012.3511	-0.4267251261	-1.591834331	1.64077572	254.9934717
