# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20120401	2012.2500	-0.5783227699	1.281283606	1.735361674	114.2926092
20120402	2012.2527	0.1127322476	1.44330136	0.5635172989	85.53385385
20120403	2012.2555	0.4408695735	1.551904534	0.7404748182	74.14105723
20120404	2012.2582	0.6495819918	1.221753494	0.6309546239	62.00131122
20120405	2012.2609	0.8649593638	1.058226454	0.9694028694	50.73857008
20120406	2012.2637	0.9697876755	0.9135722939	1.276995055	43.29031723
20120407	2012.2664	1.034279362	0.6896568414	1.516662602	33.6953316
20120408	2012.2691	1.003612963	0.4343007678	1.682311993	23.39993542
20120409	2012.2719	0.9527227265	0.1734951011	1.771667409	10.32072585
20120410	2012.2746	0.8536222589	-0.1014275786	1.79263754	353.2238731
20120411	2012.2773	0.7432763966	-0.363490594	1.755597431	333.9395978
20120412	2012.2801	0.6211109945	-0.5361645002	1.671248716	319.1981038
20120413	2012.2828	0.509758089	-0.6701509925	1.549124366	307.2588525
20120414	2012.2855	0.4108308935	-0.5920892432	1.242022445	304.7554853
20120415	2012.2883	0.3484958121	-0.6485004141	0.9939374492	298.2530144
20120416	2012.2910	0.3067488593	-0.5947192318	0.3517308754	297.2841266
20120417	2012.2937	0.2961390627	-0.5138239373	0.1245981402	299.9567164
20120418	2012.2964	0.3498628334	-0.3655534835	-0.3520726538	313.7435792
20120419	2012.2992	0.4469424504	-0.2090567048	-0.3800709886	334.9322233
20120420	2012.3019	0.6405273918	-0.01953828264	-0.3092326494	358.2528239
20120421	2012.3046	0.8694030795	0.1952636578	-0.1579826445	12.65829952
20120422	2012.3074	1.048229094	0.4231502725	0.04626100059	21.98299857
20120423	2012.3101	1.225981839	0.5835560022	0.2789048049	25.45401562
20120424	2012.3128	1.353557288	0.6739211192	0.5280178104	26.46820278
20120425	2012.3156	1.460167722	0.6810338706	0.7704383826	25.00472097
20120426	2012.3183	1.558398269	0.6249165598	0.8527519969	21.85074906
