# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20120401	2012.2500	-1.412368319	-0.6300677683	-0.7440534808	204.0419974
20120402	2012.2527	-1.279386857	-0.5841903241	-0.5132381726	204.5422649
20120403	2012.2555	-1.151937974	-0.5825389642	-1.178982916	206.8258795
20120404	2012.2582	-1.065199582	-0.5054465967	-1.909281154	205.3847519
20120405	2012.2609	-0.8762194347	-0.410463166	-2.443093397	205.1006429
20120406	2012.2637	-0.6570850613	-0.3575298156	-2.937983943	208.5512733
20120407	2012.2664	-0.4631621622	-0.1239634154	-3.236146455	194.983781
20120408	2012.2691	-0.2933211885	-0.1058349683	-3.457584286	199.8402532
20120409	2012.2719	-0.143285021	-0.04317723991	-3.52029831	196.7695569
20120410	2012.2746	-0.006787864392	-0.07340461292	-3.471278428	264.716775
20120411	2012.2773	0.05681665884	-0.1075602575	-3.337481934	297.8444014
20120412	2012.2801	0.11214956	-0.1498067138	-3.107147854	306.8195688
20120413	2012.2828	0.1700205	-0.1746489407	-2.849893364	314.230642
20120414	2012.2855	0.1413464815	-0.2294318396	-2.538273388	301.6360505
20120415	2012.2883	0.181066451	-0.2294500281	-2.234938111	308.278115
20120416	2012.2910	0.1706256055	-0.2073087571	-1.93682896	309.4561102
20120417	2012.2937	0.2891211457	-0.2160112585	-1.703655507	323.2354658
20120418	2012.2964	0.419713297	-0.07342606582	-1.538207287	350.0769018
20120419	2012.2992	0.5698442789	-0.0916266105	-1.392463446	350.8654625
20120420	2012.3019	0.7140035418	0.1300662842	-1.316360211	10.32406736
20120421	2012.3046	0.8596385944	0.1040343578	-1.302766362	6.900437323
20120422	2012.3074	0.9854132361	0.3136580629	-1.33312238	17.6563272
20120423	2012.3101	1.108753834	0.2874150211	-1.382156871	14.53253388
20120424	2012.3128	1.199926489	0.4372853876	-1.437501543	20.02309657
20120425	2012.3156	1.280546397	0.3625595164	-1.484435956	15.80834332
20120426	2012.3183	1.324988461	0.4054764762	-1.511220539	17.01529719
20120427	2012.3210	1.316029292	0.2899308245	-1.492054206	12.42421013
20120428	2012.3238	1.312784745	0.2369675612	-1.395067936	10.2321392
20120429	2012.3265	1.211025022	0.1002719033	-1.199059167	4.733247838
20120430	2012.3292	1.143866514	-0.02470696285	-0.8976600116	358.7626313
20120501	2012.3320	1.021801353	-0.1699087074	-0.5042958788	350.5590395
20120502	2012.3347	0.9133160665	-0.3324166816	-0.03911379717	340.0001762
20120503	2012.3374	0.7895941344	-0.4863347723	0.490563912	328.3698352
20120504	2012.3402	0.659808908	-0.6473364407	1.059384852	315.546686
20120505	2012.3429	0.5747298966	-0.7893662565	1.66455636	306.0579988
20120506	2012.3456	0.4794158765	-0.9194691817	2.276526684	297.5377638
20120507	2012.3484	0.3963991694	-1.008433887	2.900408029	291.4589928
20120508	2012.3511	0.3601039893	-0.7923246333	3.493873626	294.4413435
20120509	2012.3538	0.3421384133	-0.8712941458	4.063595359	291.4388651
20120510	2012.3565	0.2415774596	-0.7681574871	4.547564631	287.4578139
20120511	2012.3593	0.1169823263	-0.7257169063	4.946237966	279.1570538
20120512	2012.3620	0.05684010798	-0.5098737562	5.214199118	276.3610003
20120513	2012.3648	0.0393899696	-0.3362281433	5.345576618	276.6818863
20120514	2012.3675	0.04355267641	-0.02096966392	5.305113287	334.2901992
20120515	2012.3702	0.0982204917	0.2400272612	5.082232766	67.74534893
20120516	2012.3730	0.1674251711	0.6076941811	4.693591981	74.59664311
20120517	2012.3757	0.2483494063	0.9056743856	4.170534007	74.66557768
20120518	2012.3784	0.3624342368	1.280581186	3.542989852	74.1972541
20120519	2012.3811	0.4499726303	1.57934283	2.839781128	74.09714815
20120520	2012.3839	0.5812249337	1.913604991	2.08658478	73.10473442
20120521	2012.3866	0.6520342948	2.160590263	1.319455115	73.20695984
20120522	2012.3893	0.7657233374	2.411367743	0.5566386319	72.38289436
20120523	2012.3921	0.7915350386	2.448487151	-0.1703783058	72.08526923
20120524	2012.3948	0.8529365212	2.560046766	-0.8455072262	71.57335843
20120525	2012.3975	0.7894420419	2.567374159	-1.463576946	72.90785721
20120526	2012.4003	0.7705665144	2.571981832	-2.007293011	73.32176857
20120527	2012.4030	0.634554529	2.472922817	-2.46513153	75.60834995
