# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20120401	2012.2500	-0.1995651639	-0.1663364491	-0.4263705702	219.8110174
20120402	2012.2527	0.02826341682	0.001948772583	-0.2359820476	3.944321527
20120403	2012.2555	0.2437018597	0.1528609691	-0.05950882426	32.09782026
20120404	2012.2582	0.4353418669	0.2718195253	0.09131934495	31.97990414
20120405	2012.2609	0.5941381515	0.3474795168	0.2071578056	30.3210739
20120406	2012.2637	0.7142881155	0.3728578308	0.2817812322	27.56452329
20120407	2012.2664	0.7937972005	0.3460435109	0.3124938542	23.55404365
20120408	2012.2691	0.8346441181	0.2704241802	0.3001849475	17.95229237
20120409	2012.2719	0.8425002056	0.1543916446	0.2490273727	10.38446746
20120410	2012.2746	0.826013817	0.01052830354	0.1658443562	0.7302477061
20120411	2012.2773	0.7957336306	-0.1456746679	0.05920072609	349.6257602
20120412	2012.2801	0.7628047644	-0.2974588677	-0.06168793839	338.6964976
20120413	2012.2828	0.7376178431	-0.4286322677	-0.1880956624	329.8389814
20120414	2012.2855	0.7286090626	-0.5253799406	-0.3128137926	324.2056642
20120415	2012.2883	0.7413862597	-0.577820221	-0.4308987439	322.0679293
20120416	2012.2910	0.7782917168	-0.5810994854	-0.5400034523	323.2537106
20120417	2012.2937	0.8384240606	-0.5358810437	-0.640224814	327.4152082
20120418	2012.2964	0.918056999	-0.4481691868	-0.7334911905	333.9796922
20120419	2012.2992	1.011335348	-0.3285020866	-0.822601706	342.0051598
20120420	2012.3019	1.111108357	-0.1906317315	-0.9100870503	350.2646063
20120421	2012.3046	1.209773117	-0.04987343833	-0.9970834469	357.6392926
20120422	2012.3074	1.300034985	0.07865369229	-1.08240849	3.462243826
20120423	2012.3101	1.37553014	0.1816633748	-1.162005775	7.523393961
20120424	2012.3128	1.431282213	0.2490074008	-1.228874795	9.869255562
20120425	2012.3156	1.463978137	0.2745037493	-1.273518209	10.61995202
20120426	2012.3183	1.472058854	0.2562341124	-1.284841378	9.87426469
20120427	2012.3210	1.455636716	0.196353339	-1.25136584	7.682354686
20120428	2012.3238	1.416270108	0.1005221492	-1.162590058	4.059855869
20120429	2012.3265	1.356639575	-0.02289916814	-1.010334419	359.0329774
20120430	2012.3292	1.280174718	-0.163766762	-0.7899179786	352.7100135
20120501	2012.3320	1.190679747	-0.311073621	-0.5010274309	345.3583349
20120502	2012.3347	1.092002928	-0.4537942108	-0.1481660948	337.4341179
20120503	2012.3374	0.9877918357	-0.5815954412	0.2593860628	329.5111293
20120504	2012.3402	0.8813661944	-0.68537916	0.7081158352	322.1301965
20120505	2012.3429	0.7757177962	-0.7576488919	1.181273767	315.6751314
20120506	2012.3456	0.6736160948	-0.7927207134	1.660211664	310.3562898
20120507	2012.3484	0.5777690915	-0.7868153763	2.125899564	306.2903376
20120508	2012.3511	0.4909741977	-0.7380711212	2.560424353	303.6323507
20120509	2012.3538	0.4161992474	-0.6465048517	2.948244522	302.7721454
20120510	2012.3565	0.3565547632	-0.5139281427	3.276986488	304.7522673
20120511	2012.3593	0.3151418218	-0.3438050524	3.537653101	312.5092871
20120512	2012.3620	0.2947774766	-0.1410348122	3.724267367	334.4314491
20120513	2012.3648	0.2976164761	0.08834138269	3.833136342	16.53244785
20120514	2012.3675	0.3247118117	0.3374846745	3.862020397	46.10502004
20120515	2012.3702	0.3755840709	0.5991113678	3.809490495	57.91632161
20120516	2012.3730	0.4478862495	0.8658135427	3.674660718	62.6474273
20120517	2012.3757	0.5372451165	1.130327593	3.457341847	64.57824204
20120518	2012.3784	0.6373339636	1.385756073	3.158527924	65.30145438
20120519	2012.3811	0.7401945892	1.625756305	2.78104051	65.5205837
20120520	2012.3839	0.8367877656	1.844692488	2.330133491	65.60004787
20120521	2012.3866	0.9177176784	2.037726942	1.81390695	65.75494099
20120522	2012.3893	0.9740507992	2.200828967	1.243475952	66.12660463
20120523	2012.3921	0.9981343249	2.330710137	0.632941623	66.81680993
20120524	2012.3948	0.9843159355	2.424729082	-0.0007474592329	67.90536451
20120525	2012.3975	0.9294793966	2.480823956	-0.6380028114	69.46075417
20120526	2012.4003	0.8333386536	2.497521688	-1.256923185	71.54788652
20120527	2012.4030	0.6984696558	2.474046629	-1.833854926	74.23463389
20120528	2012.4057	0.5300968697	2.410516321	-2.344293302	77.59749501
20120529	2012.4085	0.3356841091	2.308178313	-2.764166706	81.72534493
20120530	2012.4112	0.124401164	2.169618124	-3.071456991	86.71837826
20120531	2012.4139	-0.09345673824	1.998861746	-3.248031022	92.67691348
