# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20120614	2012.4522	0.6248730551	-1.382801291	0.956748788	294.3176997
20120615	2012.4549	0.5956857155	-1.439955498	1.085315994	292.4740685
20120616	2012.4577	0.5514513908	-1.494594472	1.221054561	290.2522398
20120617	2012.4604	0.4913157432	-1.546257156	1.371849492	287.6274032
20120618	2012.4631	0.414567135	-1.593267377	1.541727817	284.5849143
20120619	2012.4658	0.3210030523	-1.633026023	1.730377021	281.1208131
20120620	2012.4686	0.211314939	-1.662484869	1.933088797	277.2439003
20120621	2012.4713	0.08741575763	-1.678706254	2.141110284	272.9808873
20120622	2012.4740	-0.04736724129	-1.679403603	2.342351835	268.3844124
20120623	2012.4768	-0.1882937664	-1.663372837	2.522384222	263.5416119
20120624	2012.4795	-0.3294286201	-1.630753498	2.665658902	258.5793718
20120625	2012.4822	-0.4640565555	-1.583092761	2.756884945	253.6624037
20120626	2012.4850	-0.5852379586	-1.523219307	2.782475831	248.9826642
20120627	2012.4877	-0.6864296486	-1.454961727	2.73194218	244.7427475
20120628	2012.4904	-0.7620912648	-1.38276269	2.599084072	241.1392279
20120629	2012.4932	-0.8082056398	-1.311245325	2.382856587	238.3517756
20120630	2012.4959	-0.8226580265	-1.244785822	2.087840905	236.5399544
20120701	2012.4986	-0.8054409452	-1.187139466	1.724320106	235.8442044
20120702	2012.5014	-0.7586733464	-1.14115511	1.30799998	236.3828761
20120703	2012.5041	-0.6864400291	-1.108595394	0.8594144937	238.2342921
20120704	2012.5068	-0.5944701747	-1.090062564	0.4030243109	241.3939725
20120705	2012.5096	-0.4896854903	-1.085018603	-0.03401627462	245.7096154
20120706	2012.5123	-0.3796584838	-1.091883027	-0.4234582511	250.8269333
20120707	2012.5150	-0.2720266443	-1.108187444	-0.7379299908	256.2083042
20120708	2012.5178	-0.1739091216	-1.130761945	-0.9532213133	261.2565233
20120709	2012.5205	-0.09137319856	-1.155927676	-1.050715929	265.4803097
20120710	2012.5232	-0.02899946442	-1.179674679	-1.019701121	268.5918047
20120711	2012.5260	0.01040827528	-1.197814767	-0.8592094727	270.4978526
20120712	2012.5287	0.02593522903	-1.206114738	-0.5790408385	271.2318481
20120713	2012.5314	0.01847952626	-1.200430472	-0.1996985659	270.8819463
20120714	2012.5342	-0.009495615027	-1.176867529	0.2488478268	269.5377161
20120715	2012.5369	-0.05434053773	-1.131982574	0.7294403992	267.2516404
20120716	2012.5396	-0.111672218	-1.063018052	1.200736366	264.0029577
20120717	2012.5423	-0.1768411979	-0.9681434658	1.620538005	259.6484648
20120718	2012.5451	-0.2453569157	-0.8466701458	1.949064043	253.838917
20120719	2012.5478	-0.3132261928	-0.6992109033	2.15186191	245.8690053
20120720	2012.5505	-0.3771719402	-0.5277640678	2.202178149	234.4481195
20120721	2012.5533	-0.4347139693	-0.3357087398	2.082719917	217.6771869
20120722	2012.5560	-0.4841139784	-0.1277041005	1.786822011	194.7773928
20120723	2012.5587	-0.5242122511	0.09050978802	1.319063804	170.2039684
