# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20120401	2012.2500	-0.5613177006	0.1920996229	0.3861067689	161.107527
20120402	2012.2527	-0.8065274975	0.1973460271	1.503856225	166.25067
20120403	2012.2555	-0.8471486524	0.103233734	1.399863045	173.0521792
20120404	2012.2582	-0.8329608735	0.05893967782	1.246932832	175.9525403
20120405	2012.2609	-0.813081393	0.02049639289	1.078483658	178.5559771
20120406	2012.2637	-0.7713832713	-0.00403986348	1.29426205	180.3000649
20120407	2012.2664	-0.7169838253	-0.02774339016	1.265185015	182.2159308
20120408	2012.2691	-0.6552519519	-0.06048564752	1.437825049	185.2739698
20120409	2012.2719	-0.5872128468	-0.1107790379	1.552029935	190.6834201
20120410	2012.2746	-0.5135046074	-0.1488380703	1.358267267	196.1641034
20120411	2012.2773	-0.4370333987	-0.1916314823	1.009788632	203.6766083
20120412	2012.2801	-0.3541631556	-0.2212726468	0.5481419878	211.996154
20120413	2012.2828	-0.267022544	-0.2415586662	0.01570246196	222.1336821
20120414	2012.2855	-0.1755090678	-0.2462319133	-0.5697857361	234.5195061
20120415	2012.2883	-0.08134265321	-0.2317750184	-1.149926175	250.6612109
20120416	2012.2910	0.01455938438	-0.1948145947	-1.685353862	274.2740299
20120417	2012.2937	0.1099622324	-0.1328054038	-2.145688126	309.6245923
20120418	2012.2964	0.2015016322	-0.05465639316	-2.516858842	344.8239374
20120419	2012.2992	0.2869052988	0.02876823007	-2.817509852	5.725956036
20120420	2012.3019	0.3642930724	0.1071759566	-3.024631068	16.39401833
20120421	2012.3046	0.4297796532	0.1701928854	-3.164567751	21.60358218
20120422	2012.3074	0.4814210498	0.2069731614	-3.214207782	23.26389895
20120423	2012.3101	0.5163125286	0.2113554143	-3.20065804	22.26201292
20120424	2012.3128	0.533165004	0.1899628632	-3.099063156	19.61061838
20120425	2012.3156	0.5329636226	0.1533441976	-2.947826089	16.05157584
20120426	2012.3183	0.5192370623	0.1105017057	-2.730420295	12.01419513
20120427	2012.3210	0.4930003195	0.07381048538	-2.481442772	8.514902109
20120428	2012.3238	0.4579376287	0.04610553817	-2.183247847	5.749212695
20120429	2012.3265	0.4153150873	0.009520810049	-1.86460632	1.313235955
20120430	2012.3292	0.3679685494	-0.1437061018	-1.511355142	338.6674116
20120501	2012.3320	0.3624708663	-0.3599049498	-1.150670413	315.2035167
20120502	2012.3347	0.3404294451	-0.8027957204	-0.7675574392	292.9796098
20120503	2012.3374	0.3262392456	-0.9682446246	-0.3923334161	288.6206709
20120504	2012.3402	0.2682549925	-1.137709501	-0.006341561402	283.2671746
20120505	2012.3429	0.1961955657	-1.282924865	0.3623596289	278.694784
20120506	2012.3456	0.1170402437	-1.408600333	0.7269544989	274.7497811
20120507	2012.3484	0.03668775454	-1.495544015	1.069871171	271.4052625
20120508	2012.3511	-0.03993364387	-1.53864068	1.386682905	268.5132879
20120509	2012.3538	-0.1080028495	-1.52907186	1.667871827	265.9597404
20120510	2012.3565	-0.1631310824	-1.452737997	1.899582243	263.5929733
20120511	2012.3593	-0.1703279203	-1.315588534	2.078530588	262.6230088
20120512	2012.3620	-0.1830546071	-1.110091278	2.189747512	260.6361648
20120513	2012.3648	-0.1755827999	-0.8674739196	2.227977202	258.557522
20120514	2012.3675	-0.1507176152	-0.5765764604	2.185275676	255.3506253
20120515	2012.3702	-0.1123810252	-0.2719943181	2.066132809	247.5508504
20120516	2012.3730	-0.06443557893	0.0565715898	1.880363503	138.7182976
20120517	2012.3757	-0.0120383926	0.3797743737	1.638466615	91.81559961
20120518	2012.3784	0.04635911776	0.701251331	1.339239383	86.2177293
20120519	2012.3811	0.1132761878	0.9980025671	1.003038136	83.52447571
20120520	2012.3839	0.1730207827	1.271483149	0.6330388443	82.25090607
20120521	2012.3866	0.221495927	1.512421772	0.2310456829	81.66819624
20120522	2012.3893	0.2561486481	1.725431539	-0.1835056291	81.55583747
20120523	2012.3921	0.276855294	1.904858154	-0.6045094576	81.73043972
20120524	2012.3948	0.2826488304	2.054734333	-1.027226682	82.16756118
20120525	2012.3975	0.2726446862	2.168845162	-1.416059369	82.83495482
20120526	2012.4003	0.2460771031	2.253866631	-1.781979584	83.76912788
20120527	2012.4030	0.2017586067	2.300393508	-2.083922711	84.9876351
20120528	2012.4057	0.1391223944	2.318064394	-2.318161502	86.56542069
20120529	2012.4085	0.05841948736	2.291297242	-2.471397429	88.5394889
20120530	2012.4112	-0.03825117117	2.23440363	-2.506004319	90.9807613
20120531	2012.4139	-0.1461104753	2.130858611	-2.468723688	93.92256453
20120601	2012.4167	-0.2601847131	2.000465819	-2.272637936	97.410409
20120602	2012.4194	-0.3750614918	1.837905325	-2.050846062	101.5339854
20120603	2012.4221	-0.486055938	1.662498115	-1.709985427	106.2970622
20120604	2012.4249	-0.5869170305	1.468956401	-1.360038565	111.7790279
20120605	2012.4276	-0.6734773307	1.276682742	-0.9620610862	117.8126013
20120606	2012.4303	-0.7234210415	1.084063672	-0.5596943685	123.7161093
20120607	2012.4331	-0.7509353114	0.9091519376	-0.1636477817	129.5558003
20120608	2012.4358	-0.6819737775	0.7422738589	0.4300446969	132.5756477
20120609	2012.4385	-0.6591744956	0.5826065808	1.28914438	138.5283766
20120610	2012.4413	-0.6548423931	0.4251546643	1.558120078	147.0064598
20120611	2012.4440	-0.6393998939	0.2664075754	1.719677758	157.3808258
20120612	2012.4467	-0.6137802958	0.1029215086	1.70089013	170.4809397
20120613	2012.4495	-0.5811694428	-0.06847100423	1.597375064	186.7193788
20120614	2012.4522	-0.5387385466	-0.2493593496	1.446587613	204.837428
20120615	2012.4549	-0.4943092683	-0.4256416929	1.282468352	220.7312075
20120616	2012.4577	-0.4397129281	-0.5976171272	1.116831384	233.6552207
20120617	2012.4604	-0.2041803611	-0.7568482292	1.003591388	254.9023261
20120618	2012.4631	-0.1517530934	-0.9034145107	0.9098614133	260.4646314
20120619	2012.4658	-0.03231370997	-1.031969632	0.885812503	268.206503
20120620	2012.4686	-0.04309815699	-1.142841978	0.8914087021	267.84032
20120621	2012.4713	-0.06580444084	-1.231858758	0.9575670877	266.9422334
20120622	2012.4740	-0.09889022923	-1.297364132	1.060051277	265.6411177
20120623	2012.4768	-0.1362095918	-1.33542021	1.216198784	264.1761113
20120624	2012.4795	-0.1647391119	-1.356118776	1.413818539	263.0737388
20120625	2012.4822	-0.1841483034	-1.354777779	1.660830331	262.2595031
20120626	2012.4850	-0.1831203033	-1.343086941	1.95166831	262.2360031
20120627	2012.4877	-0.02924722567	-1.323830595	2.287291481	268.7343773
20120628	2012.4904	0.01454842791	-1.29554086	2.645966849	270.6433826
20120629	2012.4932	0.1067828812	-1.261189737	2.994166588	274.8395978
20120630	2012.4959	0.1746563418	-1.219389389	3.277163932	278.1511845
20120701	2012.4986	0.245893233	-1.170510953	3.475151078	281.8638078
20120702	2012.5014	0.3281635569	-1.11307507	3.326236689	286.4268915
20120703	2012.5041	0.4047708282	-1.049496691	3.325905686	291.0906744
20120704	2012.5068	0.4848630002	-0.9777619381	3.229754458	296.3763829
20120705	2012.5096	0.5962997064	-0.8940188216	3.027674391	303.7028065
20120706	2012.5123	0.747524773	-0.7994446709	2.730957275	313.0777417
20120707	2012.5150	0.9700309844	-0.6930657943	2.353639409	324.4550279
20120708	2012.5178	1.050154055	-0.5749405129	1.918094431	331.3000856
20120709	2012.5205	1.068949979	-0.4469549826	1.411006136	337.3089636
20120710	2012.5232	1.009590137	-0.3115331545	0.8019073788	342.8511401
20120711	2012.5260	0.9129820377	-0.1711685162	0.1931974796	349.3812914
20120712	2012.5287	0.7936982346	-0.03123288496	-0.5449788026	357.7465117
20120713	2012.5314	0.6619923929	0.1089384325	-1.137687061	9.344922635
20120714	2012.5342	0.5259880947	0.2406162731	-1.212084763	24.58199766
20120715	2012.5369	0.3942366477	0.3660183662	-1.490413166	42.87433617
20120716	2012.5396	0.2891117378	0.4785542992	-2.031662541	58.86232728
20120717	2012.5423	0.229594934	0.5766087328	-2.855548451	68.28846749
20120718	2012.5451	0.2055788979	0.6573615107	-3.645393954	72.63379328
20120719	2012.5478	0.3682932446	0.7167783614	-2.852672853	62.80510926
20120720	2012.5505	0.3738075978	0.7556556038	-3.887619984	63.67932528
20120721	2012.5533	0.423176857	0.7724632006	-4.686804787	61.28484463
20120722	2012.5560	0.3498289057	0.7710085089	-5.385048191	65.59482724
20120723	2012.5587	0.2701399295	0.7484238113	-6.069409729	70.15319906
20120724	2012.5615	0.1852637542	0.7079619404	-6.742847682	75.33533509
20120725	2012.5642	0.09557261501	0.6482208654	-7.297430409	81.61283007
20120726	2012.5669	0.03792553451	0.7414120798	-7.648521887	87.07169495
20120727	2012.5697	-0.05028947733	0.9023413801	-7.77750452	93.18992031
20120728	2012.5724	-0.1240789876	1.044624134	-7.107483211	96.77377559
20120729	2012.5751	-0.08007534741	0.9223610461	-6.633742989	94.96172822
20120730	2012.5779	-0.1804612122	0.6740590016	-5.873394684	104.9879166
20120731	2012.5806	-0.3009785562	0.3749594416	-4.904341776	128.7538836
20120801	2012.5833	-0.5014190994	0.02477064196	-3.741065637	177.1718262
20120802	2012.5861	-0.7220157384	-0.3201918243	-2.517866103	203.9158171
20120803	2012.5888	-0.9317627674	-0.6771305615	-1.260578105	216.0066517
20120804	2012.5915	-1.116740623	-0.9894368632	-0.03177851901	221.5410773
20120805	2012.5943	-1.272449478	-1.280672792	1.14690968	225.1845425
20120806	2012.5970	-1.396488877	-1.501995867	2.1127739	227.0846884
20120807	2012.5997	-1.48228551	-1.683653965	2.954901749	228.6393752
20120808	2012.6025	-1.526538994	-1.788286747	3.531733882	229.5148642
20120809	2012.6052	-1.523854505	-1.844639633	4.352365611	230.4399302
20120810	2012.6080	-1.473100387	-1.833010285	4.428785027	231.2128688
20120811	2012.6107	-1.380823892	-1.767942961	4.317090312	232.0089469
20120812	2012.6134	-1.256042064	-1.644876549	3.932409349	232.6343313
20120813	2012.6162	-1.103499729	-1.467404883	3.421877425	233.0565534
20120814	2012.6189	-0.931883782	-1.237105318	2.839569144	233.0101023
20120815	2012.6216	-0.7466750076	-0.9519683283	2.239838945	231.8911867
20120816	2012.6243	-0.5553882362	-0.6154505885	1.691830983	227.9366172
20120817	2012.6270	-0.3642237219	-0.244375947	1.229525574	213.8596403
20120818	2012.6298	0.03743236441	0.06074296598	0.8213412131	58.35688196
20120819	2012.6325	0.1780678824	0.2963568711	0.490615141	59.00018333
20120820	2012.6352	0.2971177475	0.5225449792	0.2670955448	60.3775498
20120821	2012.6380	0.4032161814	0.6889369475	0.1369374497	59.66071446
20120822	2012.6407	0.4984117683	0.7872372591	0.1625620154	57.66148306
20120823	2012.6434	0.5852352637	0.7956697051	0.5300528458	53.66457447
20120824	2012.6462	0.6647592795	0.7357255477	1.553849556	47.90084745
20120825	2012.6489	0.7383277576	0.7837812356	2.080580845	46.71046801
20120826	2012.6516	0.8027936755	0.6015744675	1.565699258	36.84610209
20120827	2012.6544	0.8534759276	0.341089409	1.018056959	21.7839899
20120828	2012.6571	0.8858620282	0.07778925883	0.3011253515	5.018380878
20120829	2012.6598	0.895189282	-0.1636680517	-0.01053490552	349.6390089
20120830	2012.6626	0.8789787211	-0.3812516418	-0.2393789738	336.5515062
20120831	2012.6653	0.8432484677	-0.563609527	-0.4070159753	326.2420661
20120901	2012.6680	0.7954379407	-0.7107177284	-0.504877203	318.2194553
20120902	2012.6708	0.7444216844	-0.8113861394	-0.5504188159	312.5354193
20120903	2012.6735	0.6978985264	-0.8613620251	-0.5436107142	309.0153154
20120904	2012.6762	0.6630133553	-0.860330676	-0.4885633613	307.6196239
20120905	2012.6790	0.6376187977	-0.8121597887	-0.3994666123	308.1351158
20120906	2012.6817	0.6206555788	-0.7195012163	-0.7148135222	310.7816866
20120907	2012.6844	0.6101722352	-0.5864967623	-0.9582015464	316.1334193
20120908	2012.6872	0.6059776806	-0.411622892	-0.851482566	325.8128804
20120909	2012.6899	0.6077767856	-0.1968865426	-0.6007023966	342.0505027
20120910	2012.6926	0.6158609186	0.04738048792	-0.2248822618	4.399313092
20120911	2012.6954	0.6273638129	0.3071561651	0.1940088731	26.08628478
20120912	2012.6981	0.6185012044	0.5625398394	0.604045335	42.28717839
20120913	2012.7008	0.5624839303	0.5157918687	1.006103611	42.52049725
20120914	2012.7036	0.3910189534	0.5222625262	1.319734664	53.1777319
20120915	2012.7063	0.3223592054	0.4977629	1.583806398	57.07226141
20120916	2012.7090	0.2595019715	0.4357582434	1.697169435	59.22543107
20120917	2012.7117	0.201850936	0.3328691865	1.739929201	58.76749553
20120918	2012.7145	0.1444460109	0.1938851725	1.662167491	53.31359334
20120919	2012.7172	0.09560361394	0.0248435594	1.51694716	14.56670485
20120920	2012.7199	0.01052568486	-0.1670809449	1.29486392	273.6047283
20120921	2012.7227	-0.04493559752	-0.3756609443	1.008645262	263.1788359
20120922	2012.7254	-0.1063782845	-0.5941465452	0.6784546196	259.8490992
20120923	2012.7281	-0.1284949489	-0.8159299327	-0.3504703783	261.0504017
20120924	2012.7309	-0.1757702708	-1.033604974	-1.049218217	260.3488609
20120925	2012.7336	-0.2293215073	-1.23829211	-1.645466905	259.5081582
20120926	2012.7363	-0.2820750141	-1.419988141	-1.586980951	258.7646797
20120927	2012.7391	-0.332497601	-1.570962675	-1.298695388	258.049589
20120928	2012.7418	-0.3817788872	-1.680248504	-0.9460548697	257.1988394
20120929	2012.7445	-0.4316118004	-1.741066615	-0.5955894265	256.0770128
20120930	2012.7473	-0.4461082622	-1.741622355	-0.2860966951	255.6328543
20121001	2012.7500	-0.4815813167	-1.679189848	-0.01339865185	253.9974344
20121002	2012.7527	-0.5042283832	-1.554608994	0.2081454747	252.0298308
20121003	2012.7555	-0.5626092995	-1.380087536	0.3700207084	247.8211428
20121004	2012.7582	-0.5957667343	-1.164370044	0.4458732537	242.9027891
20121005	2012.7609	-0.626226666	-0.9184882532	0.4443496148	235.7137756
20121006	2012.7637	-0.6532001142	-0.651694245	0.3907053939	224.9338798
20121007	2012.7664	-0.6753572291	-0.372620672	0.2199185854	208.8872183
20121008	2012.7691	-0.6872525277	-0.09063525628	0.02320332664	187.5128447
20121009	2012.7719	-0.6997014352	0.1898055081	-0.1775518966	164.8228158
20121010	2012.7746	-0.6988541429	0.4615835981	-0.270219819	146.555784
20121011	2012.7773	-0.6920098776	0.7247689901	-0.3380434743	133.6754288
20121012	2012.7801	-0.6840823412	0.9709748822	0.07242442844	125.1658998
20121013	2012.7828	-0.6733404828	1.20204226	0.002858720313	119.2559676
20121014	2012.7855	-0.6675513822	1.407885863	0.06243428388	115.3680455
20121015	2012.7883	-0.6717914166	1.591948744	0.004059020131	112.8794102
20121016	2012.7910	-0.6792629642	1.742637808	-0.08296180539	111.2953442
20121017	2012.7937	-0.6908499246	1.86478108	-0.1999710808	110.3282774
20121018	2012.7964	-0.6868040981	1.946952417	-0.3389358186	109.4307293
20121019	2012.7992	-0.6950746087	1.997997438	-0.4945643938	109.1820516
20121020	2012.8019	-0.6615405585	2.00790484	-0.646755336	108.235402
20121021	2012.8047	-0.6450891094	1.986429068	-0.7332159887	107.9911078
20121022	2012.8074	-0.5728253311	1.923562092	-0.5635666948	106.5832179
20121023	2012.8101	-0.5020198129	1.828961328	-0.6761554837	105.3487381
20121024	2012.8129	-0.3756106879	1.693359269	-0.173009188	102.5065137
20121025	2012.8156	-0.2415065574	1.528687831	-0.3562547397	98.97755581
20121026	2012.8183	-0.07909198765	1.332796553	-0.4869981114	93.39611382
