# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20120401	2012.2500	-0.3206393691	-0.06664257861	-0.1744684355	191.7413489
20120402	2012.2527	-0.1418826522	-0.0358644133	-0.2752836918	194.1857984
20120403	2012.2555	0.02559768294	-0.01660473695	-0.3772810003	327.0292814
20120404	2012.2582	0.1722306419	-0.01732785679	-0.4796627794	354.2548929
20120405	2012.2609	0.2908668398	-0.04428943082	-0.5815432402	351.3422436
20120406	2012.2637	0.3774988891	-0.100709317	-0.6817231893	345.0624974
20120407	2012.2664	0.4316190016	-0.1861855211	-0.7784307928	336.6663021
20120408	2012.2691	0.456162012	-0.2964242851	-0.8691370778	326.9832872
20120409	2012.2719	0.457028574	-0.4233518201	-0.9505438785	317.1906389
20120410	2012.2746	0.4422340541	-0.5556493052	-1.018789826	308.5158258
20120411	2012.2773	0.4207765576	-0.6797132265	-1.069853595	301.7595839
20120412	2012.2801	0.4013625973	-0.7809900536	-1.100079938	297.1993169
20120413	2012.2828	0.3911692496	-0.8455722682	-1.106728921	294.8256807
20120414	2012.2855	0.3948414363	-0.8618826584	-1.088451144	294.6132295
20120415	2012.2883	0.4138995854	-0.8222332163	-1.045609611	296.7199823
20120416	2012.2910	0.4466584114	-0.7240397998	-0.9803929904	301.670336
20120417	2012.2937	0.4886514887	-0.5705081353	-0.8966953118	310.5807077
20120418	2012.2964	0.5334556184	-0.3706731107	-0.7997749265	325.2063883
20120419	2012.2992	0.573745342	-0.1387586949	-0.6957418322	346.4042371
20120420	2012.3019	0.6023940497	0.1070835705	-0.590943835	10.07979539
20120421	2012.3046	0.613468386	0.3465151941	-0.4913281834	29.45976153
20120422	2012.3074	0.6030180679	0.5590181739	-0.401858006	42.83156121
20120423	2012.3101	0.5696171422	0.7259122715	-0.326065102	51.8790267
20120424	2012.3128	0.5146433965	0.8321226074	-0.2658080892	58.26442598
20120425	2012.3156	0.4422875813	0.8674882849	-0.2212622855	62.98530845
20120426	2012.3183	0.3592792477	0.8274955268	-0.1911021236	66.53063928
20120427	2012.3210	0.27432042	0.7134241665	-0.1727840368	68.96763065
20120428	2012.3238	0.1972425372	0.5319800686	-0.1628351479	69.65670352
20120429	2012.3265	0.1379453215	0.2945289224	-0.1571041758	64.90352685
20120430	2012.3292	0.1052262515	0.01605390671	-0.1509984892	8.674474865
20120501	2012.3320	0.1056486154	-0.2860489842	-0.1397631526	290.2710786
