# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20130101	2013.0014	0	-0.4773602052	0	270
20130102	2013.0041	0.6788146053	1.141450202	0	59.26026685
20130103	2013.0068	1.464020955	2.33595594	3.820899794	57.92326532
20130104	2013.0096	1.333936998	1.25727906	1.906012644	43.30546912
20130105	2013.0123	1.010977347	1.819827545	2.133672609	60.94630908
20130106	2013.0151	0.9092411264	1.650477093	5.250298924	61.14980968
20130107	2013.0178	0.7888610084	1.375896685	2.816863148	60.17248988
20130108	2013.0205	0.5756506735	1.457413101	2.570600317	68.44691533
20130109	2013.0233	0.5426225775	1.677416403	2.137287251	72.07427454
20130110	2013.0260	0.3453326972	1.544717742	1.620260714	77.39832649
20130111	2013.0288	0.183105818	1.13836512	-1.304638367	80.86225399
20130112	2013.0315	0.02038750832	1.523850017	-1.818743562	89.23348855
20130113	2013.0342	-0.1388018577	0.8450402671	1.187258474	99.32781081
20130114	2013.0370	-0.5174462842	0.5771324389	-1.539241049	131.8788162
20130115	2013.0397	-0.7615653737	0.3246677303	-1.937866211	156.9106583
20130116	2013.0425	-0.9679050269	0.1073166139	-2.290296596	173.6731634
20130117	2013.0452	-1.127243753	0.1115670472	-0.7767425177	174.3476552
20130118	2013.0479	-0.9145891927	1.113700079	-1.911955925	129.3934142
20130119	2013.0507	-0.9420198233	-1.473063688	-2.982263458	237.4012066
20130120	2013.0534	-1.688582782	-0.2004726323	-3.056025823	186.7706016
20130121	2013.0562	-1.211732523	-0.1651663354	-3.052744007	187.7619203
20130122	2013.0589	-1.002623294	-0.1063868972	-5.176844692	186.0569079
20130123	2013.0616	-0.7635519776	0.1835351805	-4.026452472	166.48421
20130124	2013.0644	-0.7076822003	0.02498897626	-2.679962283	177.9776682
20130125	2013.0671	-0.6512807147	0.1757953217	-1.388130483	164.8945634
20130126	2013.0699	-0.1602833147	0.1994801377	-1.136315012	128.782056
20130127	2013.0726	-0.1415943513	0.1410202149	0.8365545267	135.1163972
20130128	2013.0753	0.6929697736	0.1804331434	-0.2308080274	14.59442796
20130129	2013.0781	0.15021586	0.1672461978	0.1852173279	48.07070418
20130130	2013.0808	-0.3433684207	0.1350385188	0.4136452798	158.5314824
20130131	2013.0836	0.3417392279	0.08450422335	0.5199817133	13.8893063
20130201	2013.0863	0.409280292	0.01633742829	0.4945965658	2.285888193
20130202	2013.0890	0.4584551902	-0.06876774945	-1.554985171	351.4692991
20130203	2013.0918	0.4913286225	-0.1676866636	-2.186372042	341.1556233
20130204	2013.0945	0.5061352894	-1.050065537	-1.999335981	295.7342306
20130205	2013.0973	0.5000052271	-0.3721254717	-1.808136732	323.3417855
20130206	2013.1000	0.4700764706	-0.4731846425	-2.732099523	314.8112034
20130207	2013.1027	-0.1517612011	-0.572077955	-0.3056607072	255.14275
20130208	2013.1055	0.8538167939	-0.6677611325	-1.198020986	321.9714113
20130209	2013.1082	0.1962499884	-0.7591898979	-2.049997967	284.4936426
20130210	2013.1110	0.172264524	-0.3712993052	-0.7458319208	294.8889696
20130211	2013.1137	-0.05139581519	-0.3697389736	-0.773678795	262.0862727
20130212	2013.1164	-0.1792912433	-0.4279667313	-0.2728054117	247.2693701
20130213	2013.1192	0	-0.3728742263	-0.8131044276	270
20130214	2013.1219	0	-0.6620641877	0.7622432664	270
20130215	2013.1247	-0.05712550105	-0.8113482102	1.371887824	265.9725583
20130216	2013.1274	-0.1159898681	-0.9602204289	3.150179156	263.1123248
20130217	2013.1301	-0.1727410484	-1.210390448	2.248126978	261.877871
20130218	2013.1329	-0.2220116867	-1.168911371	2.703040077	259.2458874
20130219	2013.1356	-0.258187464	-1.247764559	2.699001611	258.3093415
20130220	2013.1384	-0.2756540618	-1.157238849	2.731935932	256.6018329
20130221	2013.1411	-1.122732316	-1.191206396	2.622152259	226.6950022
20130222	2013.1438	-0.2331964506	0.01862594517	2.38021765	175.4333469
20130223	2013.1466	-0.1695748607	-1.409330676	3.364127812	263.1389848
20130224	2013.1493	-0.08131818237	0.03001209043	1.628749589	159.7424161
20130225	2013.1521	0.02782058043	0.7306769355	1.362122235	87.81951208
20130226	2013.1548	0.1540884237	1.257780027	0.9006627767	83.01559712
20130227	2013.1575	0.2939284557	1.331270379	5.52347272	77.54952668
20130228	2013.1603	0.4441688923	1.543060703	1.900296698	73.94157468
20130301	2013.1630	-0.3621538604	1.655672624	1.930189349	102.3382773
20130302	2013.1658	0.5978424206	2.877918995	1.956911233	78.26461066
20130303	2013.1685	0.8932313509	0.6713734743	0.9087341302	36.92937568
20130304	2013.1712	1.014015854	1.788109649	1.250198425	60.44294007
20130305	2013.1740	1.105863971	1.757071871	1.63864261	57.81455446
20130306	2013.1767	1.160084763	1.69271096	2.055574937	55.57554819
20130307	2013.1795	1.167987294	0.6210142448	4.446228343	27.99940281
20130308	2013.1822	1.121989728	1.478697846	2.77964134	52.80990919
20130309	2013.1849	1.019342824	0.8445047896	3.064203592	39.64105698
20130310	2013.1877	0.8616549381	0.2814241786	5.590975583	18.08749909
20130311	2013.1904	0.655131366	0.05764339627	4.273548777	5.028365075
20130312	2013.1932	0.4984010683	-0.2708066383	3.612737427	331.4825178
20130313	2013.1959	0.2013675132	-0.5292543818	4.731997844	290.8305169
20130314	2013.1986	-0.2443332282	-0.6090828174	4.983249919	248.1418391
20130315	2013.2014	-1.209504137	-0.6705507776	5.249743771	209.004047
20130316	2013.2041	-0.3029677157	-0.2486625052	4.901633855	219.3776359
20130317	2013.2068	-0.9572135545	0.04415394241	4.639257445	177.3589566
20130318	2013.2096	-2.206334505	1.08989456	4.194096913	153.7113521
20130319	2013.2123	-1.368065562	-0.4403952042	3.421930225	197.8439325
20130320	2013.2151	-1.494092357	0.8014046439	1.339364583	151.7916802
20130321	2013.2178	-1.553211122	-0.6428934369	0.5436832973	202.485273
20130322	2013.2205	-2.752686467	-0.6970016197	1.625036939	194.2090932
20130323	2013.2233	-1.765820609	-0.7140628118	-0.7669263263	202.0174308
20130324	2013.2260	-1.338616804	-0.6923773229	0.03821193818	207.3495152
20130325	2013.2288	-1.174634916	-0.5027068372	0.7403658316	203.1694032
20130326	2013.2315	-0.9871761507	1.048231888	0.5295646591	133.2818249
20130327	2013.2342	-1.242133235	-1.097205618	0.3695005004	221.4549207
20130328	2013.2370	-0.6011597186	-0.441857991	0.247561376	216.3162328
20130329	2013.2397	-0.8159165056	-0.4068568771	0.1511298197	206.5031446
20130330	2013.2425	-0.6048817965	-0.4105322606	0.2468670744	214.1646725
20130331	2013.2452	-0.3730882598	-0.8171504302	-0.1248842732	245.4598738
20130401	2013.2479	-0.5746318274	-0.5573658464	-0.1032750995	224.1261544
20130402	2013.2507	0.11795654	-0.6844311084	-0.9854062517	279.7784378
20130403	2013.2534	0.4015044196	-0.8338310758	0.4980558192	295.7116383
20130404	2013.2562	0.2868983865	-0.995201333	0.3689355297	286.0813063
20130405	2013.2589	0.3766689609	-1.158020841	0.2512945874	288.0181311
20130406	2013.2616	0.5861872051	1.419842927	-0.9201989026	67.56654297
20130407	2013.2644	1.008092312	-0.2510671927	-5.00408322	346.0149007
20130408	2013.2671	1.188775368	-1.76177734	-2.443558761	304.0098684
20130409	2013.2699	1.22791543	-0.3975462208	-2.673566081	342.0602765
20130410	2013.2726	-0.07886636443	-0.5734885442	-2.785754973	262.1697773
20130411	2013.2753	0.7706263028	-0.7631043207	-2.83936384	315.2809974
20130412	2013.2781	1.647191772	-0.9465899178	-2.826794904	330.1153562
20130413	2013.2808	1.111980017	-1.119170089	-2.740690925	314.8153601
20130414	2013.2836	-0.205398296	-1.279826684	-2.575034986	260.8823985
20130415	2013.2863	-0.3016393316	-1.548827073	-2.329041005	258.9794034
20130416	2013.2890	-0.2669735053	-1.453303207	-1.884710619	259.5907531
20130417	2013.2918	-0.4351328207	-1.680073509	-1.738592934	255.4796634
20130418	2013.2945	-0.9183087377	-1.733225266	-0.9677126795	242.0841701
20130419	2013.2973	-1.198914056	-2.77372984	-0.8564656343	246.6241192
20130420	2013.3000	-1.413186301	-1.864173871	-0.1241374192	232.8350911
20130421	2013.3027	-1.539874721	-1.804154915	-2.381221166	229.5187196
20130422	2013.3055	-0.8966880945	-2.087381731	1.025647362	246.752824
20130423	2013.3082	-0.879189023	-2.290265803	1.367323361	248.9991638
20130424	2013.3110	-0.8284346967	-1.366031669	1.643478643	238.765136
20130425	2013.3137	-1.044907703	-1.062435274	1.711283402	225.4765398
20130426	2013.3164	-0.6474997551	-0.9847420462	1.725073416	236.673786
20130427	2013.3192	-0.5275652644	-0.7709295137	1.641074073	235.6152425
20130428	2013.3219	-0.09848942993	0.3501954998	1.465029264	105.7081747
20130429	2013.3247	0.2138227386	0.2633226565	1.200306926	50.92277973
20130430	2013.3274	0.8821597787	1.617664264	0.8426887189	61.39506962
20130501	2013.3301	-0.06261173651	2.214295217	0.3971427107	91.6196723
20130502	2013.3329	0.8428824376	2.563425599	-0.3361779923	71.79856821
20130503	2013.3356	0.9321158971	3.519426785	-0.6648701413	75.16586889
20130504	2013.3384	1.062117585	2.120395718	1.153835811	63.39346512
20130505	2013.3411	1.013465161	1.642942177	-1.725388625	58.33122806
20130506	2013.3438	0.9246955774	2.290205006	-0.9025188253	68.01306257
20130507	2013.3466	0.7017753196	3.447142704	-2.676672507	78.49287841
20130508	2013.3493	0.4676272733	3.381536584	-3.063810408	82.12659458
20130509	2013.3521	0.4607911083	4.55237741	-3.447953264	84.22021313
20130510	2013.3548	0.3019217077	2.807463218	-3.405095538	83.86185751
20130511	2013.3575	0.18690006	2.260056699	-2.941521388	85.27256418
20130512	2013.3603	0.5531527391	0.4711485045	-2.895390078	40.4227364
20130513	2013.3630	0.1114205341	0.4251455031	-2.760937692	75.31441306
20130514	2013.3658	0.1189955031	-0.1866206982	-2.551548317	302.5229259
20130515	2013.3685	0.2268075596	-1.752034982	-1.939907516	277.3761343
20130516	2013.3712	0.1710913729	-0.8394088117	-1.850423549	281.52043
20130517	2013.3740	0.8676835314	-1.065408853	-1.854767451	309.1598421
