# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20120401	2012.2500	-0.1244944985	0.8012664155	3.020820557	98.83155508
20120402	2012.2527	-0.1244785259	1.325490863	1.822128007	95.3649843
20120403	2012.2555	-0.1195708833	1.213663747	1.427991734	95.6266569
20120404	2012.2582	0.1061787303	1.070395455	0.4867825334	84.33503171
20120405	2012.2609	-0.2415621972	0.9050262754	0.1019361521	104.9445293
20120406	2012.2637	-0.2524400214	0.7303325053	0.2128559129	109.0677501
20120407	2012.2664	-0.2564357303	0.5465260045	0.4592050847	115.1364619
20120408	2012.2691	-0.225320008	0.3584340014	0.5113914605	122.1544304
20120409	2012.2719	-0.1726843479	0.1729577812	0.5319932971	134.954674
20120410	2012.2746	-0.2923147838	-0.002949643072	0.4449982801	180.5781314
20120411	2012.2773	-0.2526583262	-0.1646217012	0.3369107994	213.0865998
20120412	2012.2801	-0.2698298908	-0.3056468665	0.1640597998	228.561426
20120413	2012.2828	-0.2624058775	-0.4208478329	-0.02044436916	238.0557496
20120414	2012.2855	-0.258465368	-0.504465014	-0.2357567253	242.8714228
20120415	2012.2883	-0.253727835	-0.550862088	-0.4651907528	245.2691376
20120416	2012.2910	-0.2300788274	-0.5549595745	-0.71238168	247.4817569
20120417	2012.2937	-0.183050604	-0.3138279814	-1.276783362	239.745704
20120418	2012.2964	-0.1274019027	-0.2063581711	-1.768581779	238.3095481
20120419	2012.2992	-0.04973191598	-0.03900840596	-2.195885224	218.1097036
20120420	2012.3019	0.03453667152	0.1200983167	-2.586373108	73.95635289
20120421	2012.3046	0.09343615124	0.3008666403	-2.950212212	72.7474683
20120422	2012.3074	0.2018030258	0.4985707652	-3.269609359	67.96371646
20120423	2012.3101	0.2432587083	0.6434463122	-3.520164364	69.29060288
20120424	2012.3128	0.3003067975	0.8093224101	-3.709898912	69.64214783
20120425	2012.3156	0.2875829763	0.924404615	-3.815289161	72.71904248
20120426	2012.3183	0.5029079043	0.9953368757	-3.843865784	63.19417263
20120427	2012.3210	0.3183779524	1.037284061	-3.790809704	72.93695924
20120428	2012.3238	0.1676643881	0.9865182634	-3.647671754	80.3544224
20120429	2012.3265	-0.1430932856	0.9185799907	-3.402849101	98.85418093
20120430	2012.3292	-0.2175169292	0.7177225985	-3.109441339	106.8602437
20120501	2012.3320	-0.4369280148	0.5359611766	-2.739324119	129.1877194
20120502	2012.3347	-0.5226780037	0.1772868664	-2.375371652	161.2636057
20120503	2012.3374	-0.7286195459	-0.06909355398	-1.970096224	185.4170471
20120504	2012.3402	-0.7964312094	-0.5048136117	-1.630676683	212.3683454
20120505	2012.3429	-1.026402591	-0.7275294198	-1.274937114	215.3295814
20120506	2012.3456	-1.159457552	-1.154104894	-1.163163181	224.8674407
20120507	2012.3484	-1.285925763	-1.320649665	-0.9723440536	225.7632295
20120508	2012.3511	-1.237681623	-1.642642441	-1.032768397	233.0030756
20120509	2012.3538	-1.243578884	-1.718601942	-0.7371217481	234.1105334
20120510	2012.3565	-1.072518163	-1.898912391	-0.4814243359	240.5419541
20120511	2012.3593	-0.9250884013	-1.857816659	-0.1703118262	243.5292728
20120512	2012.3620	-0.6338355525	-1.871368904	0.08062806979	251.2886798
20120513	2012.3648	-0.3815304262	-1.684381948	0.3857008771	257.2372608
20120514	2012.3675	-0.07844958398	-1.502997999	0.6129077142	267.0121352
20120515	2012.3702	0.05718259731	-1.143457821	1.135630904	272.8628904
20120516	2012.3730	0.0497400749	-0.7802158359	1.258664545	273.647766
20120517	2012.3757	0.1391040413	-0.3101408571	1.340470213	294.1571367
20120518	2012.3784	0.2680718353	0.1397996909	1.312984735	27.5420794
20120519	2012.3811	0.5461049081	0.6179384447	1.253396933	48.53126528
20120520	2012.3839	0.6305474735	1.037456759	1.093331602	58.70952175
20120521	2012.3866	0.6576509901	1.408819056	0.9009702689	64.97635757
20120522	2012.3893	0.6991150087	1.696836716	0.6266453599	67.60781122
