# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20120401	2012.2500	0.2778495345	-0.1412086745	0.8645306037	333.0594145
20120402	2012.2527	-0.03549372195	0.2362377358	1.153325207	98.54453717
20120403	2012.2555	-0.3395287653	0.5842081305	1.419872396	120.1642012
20120404	2012.2582	-0.6247772412	0.8757127744	1.648298185	125.5059574
20120405	2012.2609	-0.8827675703	1.088535338	1.823564606	129.0409542
20120406	2012.2637	-1.106380008	1.207058893	1.932251758	132.508109
20120407	2012.2664	-1.290004626	1.22352854	1.963763852	136.5149637
20120408	2012.2691	-1.429541878	1.138639606	1.911812061	141.4624453
20120409	2012.2719	-1.522310654	0.9613976657	1.775858672	147.7260156
20120410	2012.2746	-1.566941104	0.7082607442	1.562098384	155.6769294
20120411	2012.2773	-1.563319026	0.4016324187	1.283567522	165.5917374
20120412	2012.2801	-1.512615518	0.06782292748	0.9591420695	177.4326811
20120413	2012.2828	-1.417386221	-0.26535635	0.6114695617	190.6038949
20120414	2012.2855	-1.281677336	-0.5711456607	0.2641691683	204.0188806
20120415	2012.2883	-1.111053482	-0.8262739855	-0.06118610842	216.6376341
20120416	2012.2910	-0.9124765005	-1.013011651	-0.3477696253	227.9888597
20120417	2012.2937	-0.694006735	-1.120613259	-0.5854518038	238.2296625
20120418	2012.2964	-0.4643496535	-1.146006012	-0.7717349177	247.9427234
20120419	2012.2992	-0.2323116739	-1.093670976	-0.9115871224	258.0077829
20120420	2012.3019	-0.006247026259	-0.9747534191	-1.016262713	269.6328063
20120421	2012.3046	0.2064303821	-0.805521877	-1.10133762	284.3738066
20120422	2012.3074	0.3996220032	-0.6053769188	-1.184289227	303.4296392
20120423	2012.3101	0.5687864488	-0.3946813067	-1.282000815	325.2431927
20120424	2012.3128	0.7110445258	-0.1927167049	-1.408557304	344.8352612
20120425	2012.3156	0.8251490148	-0.01603840799	-1.573607902	358.8864831
20120426	2012.3183	0.9113248699	0.1226050305	-1.781430825	7.662276732
20120427	2012.3210	0.9709970333	0.2147596885	-2.030703396	12.47158458
20120428	2012.3238	1.006439214	0.2562519091	-2.31489094	14.28469825
20120429	2012.3265	1.020387838	0.2468205206	-2.623115856	13.59802255
20120430	2012.3292	1.015664566	0.1895475605	-2.941344554	10.57117071
20120501	2012.3320	0.994843661	0.09021641241	-3.253728221	5.181638163
20120502	2012.3347	0.959998722	-0.04330183875	-3.543941611	357.417359
20120503	2012.3374	0.9125693038	-0.2015665478	-3.796378697	347.5446031
20120504	2012.3402	0.8533884273	-0.3739686448	-3.997098904	336.336188
20120505	2012.3429	0.7828923132	-0.5490461685	-4.134476917	324.9578348
20120506	2012.3456	0.701491937	-0.7147855416	-4.199572847	314.4622204
20120507	2012.3484	0.6100337413	-0.8589875905	-4.186289299	305.3815164
20120508	2012.3511	0.5102338854	-0.9697503557	-4.091411233	297.7510894
20120509	2012.3538	0.4049588098	-1.036072005	-3.914623461	291.3485262
20120510	2012.3565	0.2982545504	-1.048525691	-3.658565879	285.878474
20120511	2012.3593	0.1950854412	-0.9999253599	-3.328946279	281.0397288
20120512	2012.3620	0.1008060063	-0.8859017798	-2.934714494	276.4917157
20120513	2012.3648	0.0204442489	-0.7053348952	-2.488289822	271.6602628
20120514	2012.3675	-0.04208178372	-0.4606180442	-2.005777054	264.7799834
20120515	2012.3702	-0.08466370698	-0.1577417161	-1.507005043	241.7764934
20120516	2012.3730	-0.1074675184	0.1938217152	-1.015148614	119.006871
