# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20130101	2013.0014	7.336864058	0	4.760926991	0
20130102	2013.0041	7.071421525	-0.9137509584	5.11640737	352.6371847
20130103	2013.0068	-2.503378999	-4.310661148	4.58126373	239.8544948
20130104	2013.0096	-1.896710786	-3.441266488	6.160767718	241.1379185
20130105	2013.0123	-1.656068075	-2.377969148	4.62499638	235.1458297
20130106	2013.0151	-1.245705603	-1.607467395	3.561178702	232.2261335
20130107	2013.0178	-2.20079986	-1.293773675	1.43441834	210.4497892
20130108	2013.0205	-2.064876693	-0.662831713	-0.7573519191	197.7967885
20130109	2013.0233	-2.371443608	-0.8945656245	0.9597417467	200.6676831
20130110	2013.0260	-2.689324127	-0.2541955372	0.8744658806	185.3995684
20130111	2013.0288	-2.964154984	0.1321685383	1.564535102	177.4469328
20130112	2013.0315	-3.31837321	0.152290841	1.464329124	177.3723558
20130113	2013.0342	-3.4502452	0.3500733859	1.706571373	174.2064061
20130114	2013.0370	-3.660193044	0.7881766487	1.834115679	167.8476407
20130115	2013.0397	-4.609281182	-0.7201719516	1.966262954	188.8803166
20130116	2013.0425	-3.44657802	-1.742066263	2.084209	206.8142284
20130117	2013.0452	-4.149719722	-1.276811365	1.799732141	197.1024077
20130118	2013.0479	-4.263566883	-0.1751796129	1.995429537	182.3528211
20130119	2013.0507	-3.335400325	-1.799775335	-0.06987914759	208.3512103
20130120	2013.0534	-5.141505809	-0.659897307	0.1918576433	187.3137617
20130121	2013.0562	-4.445614199	-0.9581894603	-1.548372663	192.1632252
20130122	2013.0589	-3.450498951	-0.9953634558	2.067508167	196.0912336
20130123	2013.0616	-4.427496182	-0.2455169025	0.2650525989	183.1739587
20130124	2013.0644	-4.37465189	0.3166675309	1.758401575	175.8597569
20130125	2013.0671	-4.291755002	-0.2509847694	1.146926669	183.3468844
20130126	2013.0699	-3.675175575	0.4815552539	2.25413508	172.5351077
20130127	2013.0726	-3.569320465	-0.03485577968	2.857514779	180.5594974
20130128	2013.0753	-3.477493859	0.785094097	3.246406359	167.2779402
20130129	2013.0781	-3.396123223	0.9179533047	2.448865127	164.8747009
20130130	2013.0808	-3.221680777	0.6369100481	3.66748015	168.8171132
20130131	2013.0836	-3.573216771	1.491504237	3.931042684	157.3437482
20130201	2013.0863	-3.260674337	1.181960075	1.285568968	160.0749532
20130202	2013.0890	-2.987783348	1.213714259	1.146192968	157.8917487
20130203	2013.0918	-2.33381367	0.7781257613	0.9706729515	161.5609002
20130204	2013.0945	-2.353600319	0.6247014843	1.023638207	165.135088
20130205	2013.0973	-2.419076859	1.190181874	0.6413727469	153.8028891
20130206	2013.1000	-2.515656376	1.098061414	0.4551438808	156.4191631
20130207	2013.1027	-2.69669014	0.7263512495	0.265418757	164.9251867
20130208	2013.1055	-2.614374581	0.7601020293	0.07549323871	163.788764
20130209	2013.1082	-2.847278803	0.6540151191	-0.1113320184	167.0636539
20130210	2013.1110	-2.147896153	1.116918503	-0.2911134806	152.5253058
20130211	2013.1137	-2.149886484	1.036562359	-0.4573526542	154.2590766
20130212	2013.1164	-2.185891844	0.9548483232	-1.668126779	156.4031771
20130213	2013.1192	-1.984646696	0.8833653773	-0.9224100223	156.0061745
20130214	2013.1220	-2.3441583	0.8312359882	-0.9376241871	160.4755488
20130215	2013.1247	-2.458524725	1.321927969	-0.909583975	151.7334561
20130216	2013.1274	-2.812686609	1.021186303	-0.8311487235	160.0458439
20130217	2013.1301	-2.707062898	0.9990611693	-0.8525729928	159.7430525
20130218	2013.1329	-2.838316877	0.8384409577	-1.163472911	163.5428196
20130219	2013.1356	-2.924188832	1.120457192	-1.025692093	159.0347389
20130220	2013.1384	-2.966371416	1.291554864	-0.2631580066	156.4717437
20130221	2013.1411	-3.102183484	1.360663473	0.2735711016	156.3170343
20130222	2013.1438	-2.968872694	1.688355824	0.585458256	150.3737238
20130223	2013.1466	-2.593133614	0.312482236	0.3665337922	173.1287772
20130224	2013.1493	-2.555403592	2.042544506	0.1253470428	141.3645131
20130225	2013.1521	-2.391617544	2.199332135	-0.2313929896	137.3983506
20130226	2013.1548	-1.02705076	2.341264334	-0.06843563814	113.6857909
20130227	2013.1575	-0.7615828105	2.461723933	0.2420617905	107.1904834
20130228	2013.1603	-0.6186173678	6.37027724	0.922716918	95.54659904
20130301	2013.1630	-1.167393259	6.034721941	0.6999045617	100.948412
20130302	2013.1658	-0.1210088678	6.032888405	1.888163394	91.14909598
20130303	2013.1685	0.525610405	6.160334731	1.345168279	85.12323614
20130304	2013.1712	1.118931736	5.879525989	1.682377559	79.22489909
20130305	2013.1740	2.716663479	5.655893309	2.016020857	64.34389049
20130306	2013.1767	1.924553218	5.255122018	2.481318133	69.88604333
20130307	2013.1795	2.173807265	3.740406247	2.605163464	59.8361837
20130308	2013.1822	2.432154149	4.246740622	2.073141576	60.19976773
20130309	2013.1849	1.933819835	3.692436039	3.203056312	62.35783992
20130310	2013.1877	1.820320198	3.140259214	3.45076121	59.9003332
20130311	2013.1904	0.7750116199	2.616862909	4.15954365	73.50278763
20130312	2013.1932	1.602539992	2.915033007	6.537907876	61.20019569
20130313	2013.1959	1.4086257	2.517220957	6.667960377	60.76881681
20130314	2013.1986	2.236532028	-0.2181906677	6.595952427	354.4279945
20130315	2013.2014	1.675741387	0.729177668	5.858117377	23.51565734
20130316	2013.2041	1.600804743	-0.1323544332	5.990172806	355.2735391
20130317	2013.2068	1.966598457	-0.6938352422	6.008231712	340.5666581
20130318	2013.2096	1.063625289	-1.661656577	5.914443566	302.623281
20130319	2013.2123	1.795191534	-2.272037061	5.71095784	308.313118
20130320	2013.2151	1.853541527	-2.842149396	5.399924006	303.1108587
20130321	2013.2178	1.396029064	-2.87113099	1.95519728	295.9303956
20130322	2013.2205	1.875983369	-2.120240785	2.732969142	311.5023158
20130323	2013.2232	1.914238192	-2.854329241	2.26932716	303.847536
20130324	2013.2260	4.045537044	-3.815716733	2.408227245	316.6745401
20130325	2013.2287	4.214229473	-4.124709429	1.931813367	315.6150571
20130326	2013.2315	4.512297511	-3.969865158	1.791820569	318.6590693
20130327	2013.2342	3.113132121	-4.151893965	1.263353405	306.8629343
20130328	2013.2370	4.851370248	-4.398341973	1.199507157	317.8039665
20130329	2013.2397	3.768529306	-4.727857056	1.010309241	308.5580115
20130330	2013.2425	4.19133077	-5.202022968	-1.979590692	308.8587996
20130331	2013.2452	4.666830187	-5.483298793	0.859176866	310.4010734
20130401	2013.2479	6.127478513	-5.128919108	0.6786952589	320.0694605
20130402	2013.2507	4.837892041	-6.204404612	-1.23876631	307.9453674
20130403	2013.2534	6.43290891	-7.26370538	-1.139807147	311.5288589
20130404	2013.2562	6.892448365	-8.032000212	-0.8365641872	310.6336699
20130405	2013.2589	7.711842223	-8.438125897	-1.223078354	312.4250741
20130406	2013.2616	5.642154203	-8.774250977	-1.6288634	302.7424535
20130407	2013.2644	6.639033222	-8.230487988	-1.793004418	308.891004
20130408	2013.2671	6.811493073	-8.73602532	-4.560512693	307.9436001
20130409	2013.2699	7.276085633	-9.144888247	-2.198684063	308.5073404
20130410	2013.2726	7.535081441	-11.24568076	-2.250892561	303.8237566
20130411	2013.2753	7.631399537	-11.07796338	-2.231623942	304.5622218
20130412	2013.2781	7.531874006	-11.21712673	-2.157047552	303.8798587
20130413	2013.2808	7.20333893	-12.51801809	-2.043332739	299.9177432
