# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20130101	2013.0014	1.260380606	-0.2757614584	-1.972679848	347.6586047
20130102	2013.0041	4.136294375	-1.016640911	2.287973346	346.1912532
20130103	2013.0068	1.583179799	-1.769571478	-0.525855289	311.817994
20130104	2013.0096	1.675042728	-1.551866817	-0.3747936635	317.1860034
20130105	2013.0123	1.191220552	-1.349818214	-1.257423311	311.4285454
20130106	2013.0151	1.36521619	-1.165837426	-2.201508153	319.5040614
20130107	2013.0178	1.475551456	-1.002336211	-3.119033151	325.8118889
20130108	2013.0205	1.524479841	-0.8617263269	-3.683841282	330.5222935
20130109	2013.0233	1.515456472	-0.7464195317	-4.551218893	333.7780128
20130110	2013.0260	1.585747056	-0.6588275832	-5.771539593	337.4386658
20130111	2013.0288	1.161445766	-0.0103410608	-4.721785933	359.4898742
20130112	2013.0315	1.908808907	-0.5685847946	-5.337129032	343.4125672
20130113	2013.0342	1.853858825	-0.559668748	-4.905093735	343.2012528
20130114	2013.0370	0.9726720993	-0.5698305466	-5.785906544	329.6365076
20130115	2013.0397	0.7224486114	-0.5952599903	-6.052404976	320.5132566
20130116	2013.0425	1.682232723	-0.604067744	-5.498489931	340.2474512
20130117	2013.0452	-0.4428760081	-0.9465062019	-5.40726724	244.9248204
20130118	2013.0479	-0.780561414	-1.13925076	-5.188610035	235.5828789
20130119	2013.0507	-0.08483368665	-1.041275796	-4.844915695	265.3423476
20130120	2013.0534	-0.1496515241	-1.082775608	-4.78310637	262.1309447
20130121	2013.0562	-0.2644906674	-1.138322102	-4.034557005	256.9193482
20130122	2013.0589	-0.3526288064	-1.129063185	-3.053180441	252.6553811
20130123	2013.0616	-0.4121675973	-1.096688975	-2.643574697	249.4023204
20130124	2013.0644	0.8486989286	-1.403127871	-2.251209468	301.1681556
20130125	2013.0671	0.2369717037	-1.21724035	-1.940133481	281.0165156
20130126	2013.0699	0.2140960141	-1.237972736	-1.527108807	279.8117289
20130127	2013.0726	0.2872829652	-0.6515377474	-1.212863652	293.7941529
20130128	2013.0753	0.8672151784	-0.4166837255	0.1225305653	334.3364221
20130129	2013.0781	0.2458002554	-0.2328140235	-0.1875191018	316.5542239
20130130	2013.0808	0.2712868502	-0.0825198859	-0.5799783447	343.0813166
20130131	2013.0836	0.4405433392	0.1344259952	1.1934185	16.96887783
20130201	2013.0863	1.518923289	0.03663422742	-0.7529949575	1.381623271
20130202	2013.0890	1.163052929	0.5642227084	-0.9603171256	25.87904972
20130203	2013.0918	1.490572622	0.004661004091	-1.180453998	0.1791626844
20130204	2013.0945	1.765478493	-0.06502052323	-1.003521806	357.8908162
20130205	2013.0973	1.971469704	-0.1536553472	-1.721376137	355.5434054
20130206	2013.1000	2.092245416	-0.406778891	-2.375166751	348.997689
20130207	2013.1027	1.582289219	-0.3205127031	-2.162158015	348.5489554
20130208	2013.1055	1.567725095	-0.4762597239	0.1725659427	343.1017257
20130209	2013.1082	1.500319145	-0.8120388124	1.954710256	331.5757959
20130210	2013.1110	1.385104447	-0.5018444351	1.426812584	340.0837769
20130211	2013.1137	1.227611557	-0.8451522446	1.565315665	325.4544352
20130212	2013.1164	1.033371035	-0.9432573624	1.700074601	317.6102835
20130213	2013.1192	0.1609037607	-1.275764341	2.53808921	277.1883845
20130214	2013.1219	0.5567698843	-1.231919502	1.876145891	294.3207388
20130215	2013.1247	0.1774459476	-1.176693723	3.877142301	278.5756138
20130216	2013.1274	0.170521937	-0.3098198018	2.666621852	298.8279774
20130217	2013.1301	-0.2574084992	-0.8376884385	2.731457229	252.9186292
20130218	2013.1329	-0.6430982199	-1.030962542	2.913827885	238.0447339
20130219	2013.1356	-0.8030254007	-0.9853323221	0.9025941703	230.8206802
20130220	2013.1384	-1.006261898	-0.9146200489	2.963779972	222.2685917
20130221	2013.1411	-1.150457894	-0.8020279682	2.896112326	214.8818199
20130222	2013.1438	-1.219754884	-0.6307583263	3.063604796	207.34434
20130223	2013.1466	-1.198283762	-0.3221739911	3.093369274	195.048831
20130224	2013.1493	-1.076041952	0.1159342656	1.225841283	173.8505939
20130225	2013.1521	-0.8678283418	0.3605913466	1.733559054	157.4366272
20130226	2013.1548	0.4417656887	0.8971579101	2.339222785	63.78410119
20130227	2013.1575	-0.01517827881	1.030330513	2.52596377	90.84398977
20130228	2013.1603	-0.1057830493	1.70172966	2.703878164	93.55704771
20130301	2013.1630	0.324283906	1.874467718	-2.652930863	80.18494919
