# YYYYMMDD	YYYY.DECM	N_filt(mm)	E_filt(mm)	U_filt(mm)	Azimuth(deg)
20130317	2013.2068	1.320265951	-1.783951692	0.5314978114	306.5043817
20130318	2013.2096	1.454793888	-1.626199323	0.3678710528	311.8157363
20130319	2013.2123	1.544582714	-1.497969537	0.1969045004	315.8777267
20130320	2013.2151	0.7438579187	-1.39390947	0.03059033859	298.0865509
20130321	2013.2178	1.297622966	-1.308666259	-0.1190499255	314.7572294
20130322	2013.2205	1.229939025	-1.236887039	-0.2439718314	314.8386222
20130323	2013.2233	1.619022019	-1.155572208	-0.3520362782	324.4827634
20130324	2013.2260	1.750128511	-2.120557671	-0.4550929412	309.5333759
20130325	2013.2288	2.187460141	-1.048845719	-0.5650100235	334.3831642
20130326	2013.2315	2.431669374	-1.094609593	-1.273674024	335.7652329
20130327	2013.2342	2.887236523	-0.6383428467	-2.479771725	347.5329554
20130328	2013.2370	2.923985127	-0.4872059224	-1.057729743	350.5400597
20130329	2013.2397	3.17524994	-0.2899986596	-0.9641247639	354.7815982
20130330	2013.2425	3.423031303	-0.5256796984	-1.437130456	351.2692168
20130331	2013.2452	3.674211752	-0.35622454	-2.660097244	354.4623305
20130401	2013.2479	3.930820729	-0.6011623324	-1.862264864	351.3048107
20130402	2013.2507	3.83545805	-0.820095254	-2.062461543	347.9307914
20130403	2013.2534	4.353578978	-0.7159869991	0.2163222661	350.6607705
20130404	2013.2562	4.256137626	-0.5113605549	-0.9487189781	353.1489452
20130405	2013.2589	5.224036818	-0.2087589188	-2.371524145	357.711608
20130406	2013.2616	6.345572656	0.9568623502	-1.068881777	8.575146853
20130407	2013.2644	7.231634093	0.8878974211	-2.619187961	6.999722167
20130408	2013.2671	7.656908294	0.1418778056	-3.021448023	1.061534109
20130409	2013.2699	8.431731711	1.677620325	-1.343378292	11.25290622
20130410	2013.2726	7.443864483	1.933839996	-0.9557652404	14.56293414
20130411	2013.2753	9.709860246	2.490230136	-0.4598255268	14.38428685
20130412	2013.2781	10.18681905	3.096510466	-0.4660599044	16.90781716
20130413	2013.2808	9.479830673	3.133994096	-0.932566963	18.29367918
20130414	2013.2836	8.953118608	3.451939718	0.1966099836	21.08450646
20130415	2013.2863	7.052214589	1.934290346	0.6369370669	15.33795911
20130416	2013.2890	5.933075229	0.4201356626	1.049156657	4.050493951
20130417	2013.2918	4.609967737	1.120544377	2.586036589	13.6619295
20130418	2013.2945	0.7833289774	0.3413329252	1.895125416	23.54500008
20130419	2013.2973	3.378209831	0.1311732446	2.325417234	2.223633208
20130420	2013.3000	-2.254117729	-0.3118931177	1.623249954	187.8777649
20130421	2013.3027	-1.405317862	-0.78589929	4.374342682	209.215335
20130422	2013.3055	-3.102297636	-1.239154055	3.755634561	201.7733027
20130423	2013.3082	-4.471537479	-1.600182041	3.8497647	199.6902301
20130424	2013.3110	-5.653389873	-2.084427976	7.50156652	200.2391369
20130425	2013.3137	-6.61041772	-2.050535937	3.829868581	197.2337664
20130426	2013.3164	-7.935817876	-2.569798826	3.708801622	197.943136
20130427	2013.3192	-8.60957114	-2.454672168	3.512829606	195.9133645
20130428	2013.3219	-7.058790153	-3.408314538	3.246205608	205.7734268
20130429	2013.3247	-9.110754888	-1.893514409	2.396324063	191.740805
20130430	2013.3274	-6.424399591	-1.384594255	2.535959599	192.1624198
20130501	2013.3301	-5.791908258	0.2777472977	2.111184231	177.2545204
20130502	2013.3329	-5.660877616	-0.6015644635	1.65253838	186.0658854
20130503	2013.3356	-5.081397781	-0.5022755491	1.16945698	185.6451177
20130504	2013.3384	-5.468228071	-1.160020197	0.5817801337	191.9770652
20130505	2013.3411	-4.83375689	-0.2813032057	0.4333466451	183.3306036
20130506	2013.3438	-4.301307215	0.4243002688	-1.105784732	174.366313
20130507	2013.3466	-3.586571757	0.5301502516	-1.615968173	171.591692
20130508	2013.3493	-3.332103729	0.549567294	-1.998534054	170.634462
20130509	2013.3521	-2.876941462	1.097432682	-2.307762644	159.1202418
20130510	2013.3548	-2.587442005	0.2477295075	-2.605301201	174.5309994
20130511	2013.3575	-2.265538185	0.2790636634	-2.782848192	172.9778134
20130512	2013.3603	-3.198694125	-0.4968999911	-2.762421043	188.8300152
20130513	2013.3630	-3.223751188	0.3629900074	-2.581768352	173.5756322
20130514	2013.3658	-1.789094574	0.2502996927	-2.37112087	172.0358407
20130515	2013.3685	-2.25353174	0.1827428308	-2.191460566	175.3639293
20130516	2013.3712	-1.428561841	-0.1322498154	-1.985465101	185.2891097
20130517	2013.3740	-1.460573895	-0.01459383518	2.341851113	180.5724718
20130518	2013.3767	-1.199880942	-0.1671702398	-1.536957401	187.9315271
20130519	2013.3795	-0.9237007111	-0.2694523632	-1.315689525	196.2624716
20130520	2013.3822	-0.7077890604	-0.3413836521	-1.110575206	205.749129
20130521	2013.3849	-0.5308535392	0.3622374024	-6.525409106	145.6916283
20130522	2013.3877	-0.4204461437	-0.4004778486	-0.7663625568	223.6066025
20130523	2013.3904	-0.07702919859	-0.2887523229	0.3823413918	255.0632886
20130524	2013.3932	-0.3230005637	-0.1905794538	5.461897684	210.541805
20130525	2013.3959	-0.2450672144	-0.8455735808	-1.392132612	253.8371621
20130526	2013.3986	-0.2380362432	0.08271678872	0.1973850977	160.8378337
20130527	2013.4014	-0.2311418196	0.2425623868	0.08471989695	133.6189197
20130528	2013.4041	-0.2107883451	0.4073766269	0.3310518181	117.358341
20130529	2013.4068	-0.1619213769	0.6613092711	-1.737260466	103.7581765
20130530	2013.4096	0.08704935347	0.6420436376	-5.034265746	82.27882361
20130531	2013.4123	0.06600235605	0.4687961247	0.7597358767	81.98593501
20130601	2013.4151	0.4983305468	0.05465911247	-0.8258830108	6.259434403
20130602	2013.4178	1.95137505	1.034192568	-0.4182983255	27.92275971
20130603	2013.4205	1.599686433	1.053764359	0.04314575867	33.37416785
20130604	2013.4233	1.439503787	1.072207571	3.012366741	36.68040874
20130605	2013.4260	1.292382264	1.96872683	-1.369202714	56.71686845
20130606	2013.4288	1.174592822	1.744903246	1.399760991	56.0532784
20130607	2013.4315	0.8311692653	0.9756787449	2.076352175	49.57271254
20130608	2013.4342	1.349370139	1.09414734	2.478180857	39.03713821
20130609	2013.4370	1.945148333	0.81858127	2.777985874	22.82293088
20130610	2013.4397	1.897552748	0.7183739929	2.951685375	20.73562317
20130611	2013.4425	1.572305778	0.4414474428	2.997655629	15.6828497
20130612	2013.4452	1.612594526	0.2413586193	2.974289314	8.512328655
20130613	2013.4479	1.912083984	0.05691926975	5.990931318	1.705087831
20130614	2013.4507	1.927880677	-0.1097070056	2.455987537	356.7430678
20130615	2013.4534	1.915697803	-0.3136667942	2.114034678	350.701187
20130616	2013.4562	2.318245119	-0.4036809695	1.615696473	350.1220091
20130617	2013.4589	2.513929646	-0.4370945617	0.8698794222	350.1366397
20130618	2013.4616	2.464025192	-0.5969288097	0.5284930083	346.3820238
20130619	2013.4644	2.350318322	-0.4437790528	0.1027422701	349.3074899
20130620	2013.4671	2.13038056	-0.858708525	-0.716878419	338.046744
20130621	2013.4699	1.857781979	-1.113409814	1.630323317	329.064811
20130622	2013.4726	1.786941401	-0.7108233461	1.181432789	338.3079447
20130623	2013.4753	1.877658811	-0.7546811143	3.213578227	338.103491
20130624	2013.4781	1.711938599	-0.7701319079	0.7787975375	335.7789476
20130625	2013.4808	1.683985537	-1.47028836	0.8382267047	318.8757779
20130626	2013.4836	1.756348586	-0.8158826264	0.576937691	335.0835563
20130627	2013.4863	1.58757137	-0.6384844878	1.33010775	338.0911492
20130628	2013.4890	1.573123972	-0.4454260556	-0.815914866	344.1906649
20130629	2013.4918	1.512516874	-0.4655215243	-0.2650037797	342.8927131
