#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2010.8507     1.67     6.92     2.9509     4.5593
2010.8534     -0.68     6.30     3.0044     4.4810
2010.8562     0.88     6.84     3.1679     4.7907
2010.8589     1.17     8.66     3.1532     4.7559
2010.8616     0.17     5.99     3.0755     4.5788
2010.8644     0.12     7.92     3.0204     4.6536
2010.8671     -0.19     4.13     3.2241     4.8488
2010.8699     0.04     5.37     3.2227     4.7756
2010.8726     -0.07     2.92     3.4459     5.1431
2010.8753     -2.08     3.84     3.3071     4.9708
2010.8781     2.84     6.47     3.1531     4.7543
2010.8808     -0.65     5.79     3.4185     4.9611
2010.8836     1.66     4.98     3.0841     4.6632
2010.8863     0.76     11.17     3.5218     5.3436
2010.8890     2.72     6.72     3.2970     4.9468
2010.8918     1.63     4.39     3.1483     4.6715
2010.8945     2.97     -0.54     3.1615     4.8440
2010.8973     2.19     3.93     3.2247     4.8535
2010.9000     1.34     3.99     2.9427     4.4745
2010.9027     0.85     4.76     3.0839     4.6634
2010.9055     -0.81     6.85     3.2387     4.9474
2010.9082     -1.36     0.67     3.0894     4.6680
2010.9110     -1.19     2.99     3.0835     4.6587
2010.9137     -1.50     4.70     3.1642     4.8412
2010.9164     1.59     5.38     3.3056     5.0388
2010.9192     2.70     2.22     3.0120     4.5672
2010.9219     1.93     6.23     2.7256     4.1027
2010.9247     0.31     2.22     2.8751     4.3808
2010.9274     1.13     2.78     2.8589     4.2084
2010.9301     1.20     6.33     2.8091     4.2907
2010.9329     0.96     4.39     2.9593     4.6460
2010.9356     1.13     4.61     2.8744     4.3780
2010.9384     0.87     8.64     3.0156     4.5680
2010.9411     2.21     4.98     3.3100     5.1173
2010.9438     2.76     2.40     3.6618     5.5873
2010.9466     1.57     7.20     3.5989     5.5766
2010.9493     2.18     6.51     3.2888     4.8574
2010.9521     -3.47     1.87     3.5862     5.3350
2010.9548     1.29     4.28     3.6608     5.5153
2010.9575     0.63     4.41     2.6449     3.9217
2010.9603     -2.05     -1.60     3.0177     4.5009
2010.9630     1.63     5.13     2.8663     4.2913
2010.9658     0.95     4.13     2.9331     4.3056
2010.9685     5.06     8.33     3.0043     4.4795
2010.9712     1.72     1.95     3.0164     4.5730
2010.9740     -0.05     8.28     3.2409     5.0265
2010.9767     0.91     9.10     3.1455     4.6730
2010.9795     -1.15     -0.27     3.0948     4.5952
2010.9822     2.93     4.87     3.2245     4.8520
2010.9849     2.09     4.91     2.5742     3.8274
2010.9877     0.21     0.29     2.7151     4.0191
2010.9904     0.25     -1.95     2.8637     4.2922
2010.9932     2.34     3.64     2.8027     4.2864
