#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2010.8507     4.37     7.96     4.4084     5.3864
2010.8534     4.56     7.36     4.3094     5.3343
2010.8562     3.15     7.13     4.1270     5.1753
2010.8589     4.39     6.78     4.0292     4.9963
2010.8616     4.68     5.53     4.6190     5.6924
2010.8644     3.81     7.22     3.9538     4.8887
2010.8671     6.32     7.88     4.3915     5.3452
2010.8699     4.82     6.38     4.1726     5.1343
2010.8726     4.96     5.91     4.2215     5.2251
2010.8753     8.50     9.63     4.2053     5.1824
2010.8781     5.03     7.60     4.2229     5.2246
2010.8808     4.84     5.21     4.2229     5.2246
2010.8836     8.07     8.39     4.2988     5.2962
2010.8863     7.52     10.33     4.6709     5.7182
2010.8890     4.99     7.71     4.1983     5.2119
2010.8918     6.17     7.47     4.0003     4.9462
2010.8945     4.80     8.31     4.3156     5.2741
2010.8973     4.37     6.17     3.9066     4.8320
2010.9000     3.03     8.07     3.8619     4.7787
2010.9027     5.37     8.61     4.0430     5.0004
2010.9055     5.54     7.56     4.1301     5.1114
2010.9082     4.18     9.29     4.1504     5.1533
2010.9110     7.48     14.90     4.2611     5.2445
2010.9137     7.71     10.33     4.4720     5.4193
2010.9164     4.11     7.60     4.0564     5.0431
2010.9192     4.57     6.04     3.9397     4.9148
2010.9219     4.87     7.32     4.3631     5.3356
2010.9247     4.35     6.90     4.2487     5.3058
2010.9274     3.58     9.11     4.2201     5.2242
2010.9301     2.54     10.21     4.0761     5.0176
2010.9329     2.38     8.45     4.0276     4.9615
2010.9356     1.34     5.68     4.1514     5.0898
2010.9384     5.86     6.33     4.2386     5.1996
2010.9411     11.22     13.89     4.8035     5.8524
2010.9438     5.32     7.39     4.8452     6.0029
2010.9466     6.76     7.35     4.3465     5.3535
2010.9493     5.53     6.06     3.9967     4.9451
2010.9521     5.37     7.57     4.6591     5.6791
2010.9548     4.54     5.42     4.0240     5.0269
2010.9575     3.68     6.22     4.0868     5.0583
2010.9603     -3.42     5.44     4.2890     5.3567
2010.9630     7.70     7.36     3.9803     4.9681
2010.9658     5.33     7.39     4.1036     5.0977
2010.9685     6.07     7.98     3.8721     4.8820
2010.9712     4.83     5.36     3.8136     4.7847
2010.9740     8.22     7.77     3.9781     4.9670
2010.9767     10.33     8.27     4.1968     5.3097
2010.9795     7.15     7.06     3.9389     4.9148
2010.9822     5.23     8.05     3.7840     4.7697
2010.9849     6.73     6.28     3.8803     4.8189
2010.9877     4.34     5.86     3.9340     4.9131
2010.9904     4.29     6.41     4.0057     5.0475
2010.9932     4.72     6.75     3.7362     4.7147
2010.9959     5.76     8.18     3.8405     4.8650
2010.9986     1.66     8.47     4.0696     5.0802
2011.0014     3.98     9.58     3.7364     4.6546
2011.0041     5.94     8.92     4.2295     5.3266
2011.0096     4.83     6.55     3.4541     4.2383
2011.0123     4.98     10.38     3.6561     4.5128
2011.0151     9.55     9.14     3.6912     4.5583
2011.0178     10.60     9.38     3.7036     4.5309
2011.0205     8.98     10.01     3.6954     4.5337
2011.0233     6.09     6.22     3.6387     4.5038
2011.0534     4.53     6.90     3.4661     4.2785
2011.0562     8.05     6.60     3.5843     4.4389
2011.0589     7.35     6.48     3.8384     4.6708
2011.0616     6.32     7.59     3.6951     4.5328
2011.0644     4.72     8.39     3.8417     4.6721
2011.0671     3.35     7.14     3.6970     4.5336
2011.0699     7.53     12.86     3.8480     4.6407
2011.0726     9.31     8.95     3.6417     4.4685
2011.0753     4.96     8.43     3.7800     4.6401
2011.0781     5.11     7.66     3.5915     4.4079
2011.0808     6.70     8.04     3.6959     4.5335
2011.0836     5.09     7.49     3.6788     4.5179
2011.0863     4.53     7.19     3.6574     4.5135
2011.0890     6.97     9.15     3.4674     4.2792
2011.0918     5.83     9.27     3.6119     4.4276
2011.0945     4.17     7.65     4.0621     4.9493
2011.0973     4.31     7.17     3.7159     4.5373
2011.1000     7.33     9.14     3.5667     4.3315
2011.1027     3.91     6.10     3.7558     4.5036
2011.1055     8.26     9.89     3.9949     4.7904
2011.1082     7.23     9.06     4.0471     4.8954
2011.1110     4.22     6.20     4.0933     4.8808
2011.1137     8.53     10.55     3.9012     4.7040
2011.1164     3.59     7.63     3.9118     4.6853
2011.1192     3.93     5.83     3.8393     4.6714
2011.1219     7.62     6.11     4.1528     4.9127
2011.1247     21.56     12.66     4.2940     5.2077
2011.1274     12.40     14.09     4.3323     5.2182
2011.1301     8.19     9.83     4.3118     5.1565
2011.1329     11.70     12.94     4.0773     4.8957
2011.1356     8.87     10.82     4.0789     4.8966
2011.1384     6.05     4.10     3.8781     4.6300
2011.1411     4.89     9.12     4.0108     4.7286
2011.1438     6.54     5.68     3.9729     4.7703
2011.1466     5.99     5.10     4.0509     4.7501
2011.1493     7.48     7.33     4.0626     4.7909
2011.1521     7.48     7.78     4.2887     4.9758
2011.1548     6.44     11.11     5.4568     6.6610
2011.1575     14.57     12.42     4.1305     4.9009
2011.1603     6.24     6.93     3.7271     4.4168
2011.1630     2.44     8.05     4.9156     5.9457
2011.1658     7.13     7.94     4.6813     5.2247
2011.1685     17.84     15.78     3.8708     4.6033
2011.1712     13.20     13.70     4.1407     4.9912
2011.1740     12.84     11.18     4.7638     5.5764
2011.1767     5.84     7.06     4.2663     5.0132
2011.1795     3.30     10.08     4.9831     5.7303
2011.1822     10.32     10.05     4.4953     5.1973
2011.1849     4.67     13.69     4.5325     5.3142
2011.1877     6.36     13.86     4.0963     4.8449
2011.1932     5.62     14.61     4.2609     5.0557
2011.1959     6.26     6.35     4.8262     5.6165
2011.1986     -2.07     1.62     8.8815     8.7991
2011.2014     6.67     9.06     4.2759     5.0772
2011.2041     6.38     9.86     4.4085     5.1971
2011.2068     6.89     7.74     4.4278     5.2076
2011.2096     0.93     7.58     4.1381     4.9283
2011.2123     8.43     10.76     4.4952     5.3529
2011.2151     9.13     17.57     4.9603     5.7256
2011.2178     6.03     11.67     4.7418     5.5100
2011.2205     16.66     17.35     4.3157     5.1216
2011.2233     13.56     15.31     4.4533     5.2921
2011.2260     10.20     14.85     4.5980     5.4317
2011.2288     7.84     8.66     4.4383     5.1882
2011.2315     7.63     9.23     4.2401     5.1422
2011.2342     5.00     7.72     4.0009     4.7853
2011.2370     4.59     8.28     4.0247     4.8320
2011.2397     5.88     9.76     4.1979     4.9005
2011.2425     4.60     8.29     4.5845     5.3280
2011.2452     5.50     7.67     4.5230     5.3214
2011.2479     4.17     7.35     5.0119     5.7792
2011.2507     4.01     10.35     4.2609     5.0558
