#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2010.8918     -2.41     1.28     2.5488     2.0704
2010.8945     -3.23     1.89     2.6259     2.1337
2010.8973     -3.20     2.07     2.5837     2.1138
2010.9000     -3.66     1.12     2.4747     2.0097
2010.9027     -4.00     1.74     2.3377     1.8957
2010.9055     -2.93     1.29     2.5499     2.0711
2010.9082     -3.03     1.87     2.5914     2.0905
2010.9110     -4.12     1.72     2.5211     2.0314
2010.9137     -3.76     1.29     2.4980     1.9956
2010.9164     -4.65     1.43     2.6057     2.1002
2010.9192     -3.14     1.63     2.6170     2.1055
2010.9219     -4.12     2.13     2.3203     1.8607
2010.9247     -4.18     1.65     2.4082     1.9533
2010.9274     -3.49     2.36     2.3837     1.9156
2010.9301     -3.99     1.74     2.5047     1.9986
2010.9329     -4.08     2.21     2.5218     2.0318
2010.9356     -3.15     1.74     2.4648     1.9830
2010.9384     -3.90     1.89     2.6966     2.1709
2010.9411     -4.25     1.18     2.6903     2.1376
2010.9438     -4.26     1.91     2.5952     2.0924
2010.9466     -3.37     2.18     2.6781     2.1404
2010.9493     -2.73     2.10     2.4083     1.9534
2010.9521     -3.21     1.26     2.5283     2.0364
2010.9548     -2.95     1.31     2.4851     2.0160
2010.9575     -3.58     0.97     2.3449     1.8991
2010.9603     -3.67     2.57     2.4342     1.9925
2010.9630     -3.03     0.74     2.4656     1.9835
2010.9658     -4.32     1.64     2.4652     2.0117
2010.9685     -4.57     1.28     2.4227     1.9631
2010.9712     -4.26     2.32     2.2678     1.8359
2010.9740     -4.46     1.72     2.3449     1.8992
2010.9767     -4.70     1.56     2.3122     1.8568
2010.9795     -4.88     1.36     2.3321     1.8912
2010.9822     -4.03     1.46     2.4341     1.9924
2010.9849     -4.05     1.99     2.6446     2.1468
2010.9877     -4.25     1.49     2.4339     1.9923
2010.9904     -5.05     1.57     2.4347     1.9929
2010.9932     -5.68     1.03     2.4231     1.9635
2010.9959     -5.23     1.78     2.5637     2.0807
2011.0041     -3.65     0.61     2.4235     1.9636
