#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2010.8918     2.06     -10.94     2.5488     2.0704
2010.8945     1.26     -10.34     2.6259     2.1337
2010.8973     1.32     -10.17     2.5837     2.1138
2010.9000     0.89     -11.13     2.4747     2.0097
2010.9027     0.57     -10.52     2.3377     1.8957
2010.9055     1.66     -10.99     2.5499     2.0711
2010.9082     1.58     -10.42     2.5914     2.0905
2010.9110     0.51     -10.58     2.5211     2.0314
2010.9137     0.90     -11.02     2.4980     1.9956
2010.9164     0.03     -10.90     2.6057     2.1002
2010.9192     1.57     -10.71     2.6170     2.1055
2010.9219     0.61     -10.22     2.3203     1.8607
2010.9247     0.58     -10.71     2.4082     1.9533
2010.9274     1.29     -10.01     2.3837     1.9156
2010.9301     0.81     -10.64     2.5047     1.9986
2010.9329     0.74     -10.18     2.5218     2.0318
2010.9356     1.70     -10.66     2.4648     1.9830
2010.9384     0.97     -10.52     2.6966     2.1709
2010.9411     0.64     -11.24     2.6903     2.1376
2010.9438     0.66     -10.53     2.5952     2.0924
2010.9466     1.57     -10.27     2.6781     2.1404
2010.9493     2.23     -10.36     2.4083     1.9534
2010.9521     1.78     -11.21     2.5283     2.0364
2010.9548     2.06     -11.18     2.4851     2.0160
2010.9575     1.45     -11.52     2.3449     1.8991
2010.9603     1.39     -9.93     2.4342     1.9925
2010.9630     2.05     -11.78     2.4656     1.9835
2010.9658     0.78     -10.89     2.4652     2.0117
2010.9685     0.55     -11.26     2.4227     1.9631
2010.9712     0.89     -10.23     2.2678     1.8359
2010.9740     0.71     -10.84     2.3449     1.8992
2010.9767     0.49     -11.01     2.3122     1.8568
2010.9795     0.35     -11.22     2.3321     1.8912
2010.9822     1.21     -11.14     2.4341     1.9924
2010.9849     1.21     -10.62     2.6446     2.1468
2010.9877     1.04     -11.13     2.4339     1.9923
2010.9904     0.26     -11.06     2.4347     1.9929
2010.9932     -0.34     -11.61     2.4231     1.9635
2010.9959     0.13     -10.87     2.5637     2.0807
2011.0041     1.78     -12.08     2.4235     1.9636
2011.0068     -0.04     -10.75     2.2608     1.8326
2011.0096     1.48     -10.35     2.3309     1.8921
2011.0123     -0.55     -13.00     2.5454     2.0687
2011.0151     1.65     -12.40     2.3802     1.9154
2011.0178     0.09     -11.64     2.4497     1.9727
2011.0205     -0.76     -11.32     2.2602     1.8322
2011.0233     0.41     -10.08     2.3545     1.9282
2011.0260     -0.93     -10.49     2.2131     1.8103
2011.0288     0.95     -12.05     2.1484     1.7538
2011.0315     -0.48     -10.76     2.1682     1.7378
2011.0342     0.66     -11.05     2.2601     1.8321
2011.0370     0.30     -10.62     2.1916     1.7741
2011.0397     1.14     -11.13     2.2621     1.8331
2011.0425     -0.83     -11.56     2.2120     1.8096
2011.0452     -1.54     -10.71     2.1905     1.7734
2011.0479     -0.95     -10.86     2.3542     1.9278
2011.0507     0.60     -11.41     2.2606     1.8323
2011.0534     -1.16     -11.04     2.4997     1.9963
2011.0562     -0.22     -11.71     2.2677     1.8358
2011.0589     0.17     -11.03     2.3794     1.9135
2011.0616     -1.15     -10.31     2.2893     1.8200
2011.0644     -0.62     -10.54     2.3802     1.9141
2011.0671     -0.13     -10.93     2.3131     1.8571
2011.0699     -1.75     -12.51     2.4722     2.0101
2011.0726     0.69     -11.74     2.4297     1.9374
2011.0753     -0.12     -11.04     2.3129     1.8573
2011.0781     0.07     -11.97     2.3086     1.8549
2011.0808     -0.72     -8.91     2.3801     1.9139
2011.0836     -0.37     -10.97     2.1910     1.7737
2011.0863     1.40     -11.96     3.0977     2.5216
2011.0890     -0.55     -10.96     2.2392     1.7964
2011.0918     -0.56     -10.75     2.3198     1.8604
2011.0945     0.06     -10.92     2.4491     1.9723
2011.0973     -1.16     -10.78     2.2889     1.8199
2011.1000     -1.45     -11.42     2.4772     1.9615
2011.1027     -0.73     -11.35     2.3355     1.8422
2011.1055     -1.00     -11.39     2.4768     1.9597
2011.1082     -1.03     -11.05     2.4297     1.9374
2011.1110     0.50     -11.17     2.5479     2.0194
2011.1137     -0.41     -11.12     2.3638     1.8815
2011.1164     0.21     -10.37     2.4763     1.9596
2011.1192     -0.78     -11.71     2.2896     1.8205
2011.1219     -1.96     -10.78     2.5752     2.0073
2011.1247     -0.04     -10.72     2.5707     2.0550
2011.1274     -0.65     -11.16     2.5728     2.0574
2011.1301     -0.59     -12.02     2.6180     2.0789
2011.1329     -0.25     -10.79     2.4765     1.9599
2011.1356     -0.83     -11.36     2.4059     1.9015
2011.1384     0.22     -10.04     2.3570     1.8779
2011.1411     -2.10     -11.70     2.5458     2.0181
2011.1438     0.21     -11.26     2.7886     2.1847
2011.1466     -0.94     -12.41     2.4778     1.9605
2011.1493     -0.81     -10.52     2.6173     2.0785
2011.1521     0.37     -12.38     2.6253     2.0827
2011.1548     -0.04     -13.26     2.9840     2.4142
