#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.0041     -3.54     3.92     2.7986     3.9454
2011.0068     -3.20     4.25     2.3319     3.2789
2011.0096     -3.24     5.05     2.3309     3.2774
2011.0123     -3.75     4.00     2.4005     3.3765
2011.0151     -3.28     4.34     2.3740     3.3258
2011.0178     -4.02     5.08     2.3309     3.2770
2011.0205     -4.09     3.87     2.4724     3.4766
2011.0233     -3.85     4.70     2.3312     3.2776
2011.0260     -3.17     3.87     2.3312     3.2803
2011.0288     -3.43     4.75     2.3621     3.3369
2011.0315     -3.78     4.60     3.1511     4.4745
2011.0808     -4.72     4.35     2.4804     3.4853
2011.0836     -3.95     4.32     2.2595     3.1781
2011.0863     -4.95     3.32     2.2598     3.1787
2011.0890     -3.90     4.83     2.4613     3.4925
2011.0918     -4.08     2.60     2.3199     3.2937
2011.0945     -3.25     4.61     2.6428     3.7333
2011.0973     -3.68     4.77     2.1898     3.0789
2011.1000     -4.28     4.22     2.6025     3.6911
2011.1027     -3.36     5.28     2.2209     3.1385
2011.1055     -3.40     4.79     2.2512     3.1958
2011.1082     -3.34     4.89     2.3616     3.3361
2011.1110     -3.54     4.99     2.2507     3.1953
2011.1137     -2.81     5.98     2.3202     3.2943
2011.1164     -3.46     3.18     2.3202     3.2940
2011.1192     -4.14     4.43     2.2824     3.2551
2011.1219     -4.64     3.19     2.4616     3.4928
2011.1247     -2.43     4.01     2.4614     3.4929
2011.1274     -3.34     5.54     2.4660     3.4970
2011.1301     -3.28     5.43     2.3924     3.3969
2011.1329     -3.74     3.80     2.3917     3.3934
2011.1356     -3.78     3.09     2.3631     3.3386
2011.1384     -3.77     4.19     2.2905     3.2376
2011.1411     -3.51     4.83     2.2821     3.2549
2011.1438     -3.16     3.89     2.3202     3.2943
2011.1466     -3.20     5.55     2.4243     3.4579
2011.1493     -2.95     4.89     2.5640     3.6512
2011.1521     -1.55     4.15     2.6744     3.7936
2011.1548     -2.72     2.23     2.6568     3.7538
2011.1575     -2.96     4.87     2.5238     3.6108
2011.1603     -3.75     4.00     2.4655     3.5011
2011.1630     -2.54     5.12     2.7437     3.8896
2011.1658     -4.08     3.46     3.0222     4.2570
2011.1685     -3.54     2.84     2.4242     3.4577
2011.1712     -2.84     1.83     2.4369     3.4415
2011.1740     -3.15     4.77     2.4981     3.5578
2011.1767     -3.08     4.88     2.3513     3.3530
2011.1795     -3.11     5.26     2.4163     3.4753
2011.1822     -4.17     3.96     2.4243     3.4549
2011.1849     -3.10     5.07     2.3514     3.3534
2011.1877     -3.08     4.89     2.4955     3.5531
2011.1932     -3.65     3.96     2.5953     3.7105
