#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.2890     -1.69     -0.79     3.3473     5.0716
2011.2918     -3.49     -1.18     3.3546     4.9919
2011.2945     -5.57     1.58     2.5014     4.1413
2011.2973     -2.73     -0.63     3.1709     4.6516
2011.3000     -6.37     4.44     2.8614     4.4061
2011.3027     -8.21     8.38     2.9962     4.6647
2011.3055     -0.83     0.73     2.9921     4.4817
2011.3082     -2.32     0.59     3.1317     4.6503
2011.3110     -2.27     1.17     2.9031     4.4782
2011.3137     -0.95     4.30     3.0799     4.4844
2011.3164     -2.35     -1.12     3.4120     4.9929
2011.3192     -1.72     1.86     3.2139     4.9017
2011.3219     -2.27     4.39     2.5889     3.9849
2011.3247     -4.35     1.66     3.0781     4.4839
2011.3274     -2.29     1.16     2.8586     4.4768
2011.3301     -12.48     -0.13     3.4378     4.9972
2011.3329     -11.97     10.59     3.3931     5.1576
2011.3356     -10.69     4.43     3.4864     5.4087
2011.3384     -3.85     3.09     3.1336     4.6503
2011.3411     -4.95     4.56     3.0825     4.6489
2011.3438     -1.88     2.01     2.7668     4.0603
2011.3466     -3.22     2.48     2.8602     4.4769
2011.3493     -3.78     -3.33     3.3942     5.0723
2011.3521     0.94     6.80     3.4860     5.3341
2011.3548     -3.09     3.45     3.1735     4.8178
2011.3575     2.18     -4.29     4.8712     7.6525
2011.3630     -6.21     4.47     3.3959     5.4059
2011.3658     -0.74     3.97     3.0816     4.8148
2011.3685     -1.16     4.44     3.0838     4.8969
2011.3712     -3.02     3.28     2.5036     4.0522
2011.3740     -2.71     3.16     3.1329     4.9095
2011.3767     -4.86     1.92     2.9028     4.7290
2011.3795     -2.67     0.32     2.9920     4.8122
2011.3822     -12.09     1.28     3.0825     4.6487
2011.3849     -9.97     4.40     3.0844     4.7343
2011.3877     -5.10     3.57     2.7244     4.3095
2011.3904     -3.95     2.69     2.8607     4.5659
2011.3932     -5.11     10.39     3.0807     4.6486
2011.3959     -2.88     6.71     2.5910     4.3055
2011.3986     -2.59     1.67     2.9912     4.6456
2011.4014     -2.33     5.51     2.6374     4.1457
2011.4041     -5.62     4.79     4.0457     6.4519
2011.4068     -4.41     2.97     3.1312     4.5708
2011.4096     -4.42     1.64     2.6894     4.2429
2011.4123     -1.93     3.33     3.4852     5.2414
2011.4151     -3.85     3.66     3.1250     4.8989
2011.4178     -6.61     5.89     3.0384     4.8965
2011.4205     -4.70     4.23     3.0376     4.7329
2011.4233     -5.74     6.46     3.1245     4.8172
2011.4260     -5.09     5.47     3.3571     5.1603
2011.4288     -1.51     7.59     3.0816     4.8149
2011.4315     -3.91     7.25     3.5986     5.5097
2011.4342     -5.80     7.02     3.2651     4.9883
2011.4370     -2.63     4.49     3.3061     5.0695
2011.4397     -3.39     1.87     3.1268     4.8990
2011.4425     -2.82     9.00     3.2660     5.1581
2011.4452     -9.23     1.90     3.3486     5.3200
2011.4479     -6.08     4.30     3.2156     5.2328
2011.4507     -4.08     6.26     2.9041     4.8923
2011.4534     -2.26     5.90     2.9039     4.6431
2011.4562     -6.31     1.22     2.9929     4.6460
2011.4589     -2.75     7.31     3.3173     4.9900
2011.4616     -4.12     8.15     2.6802     4.2221
2011.4644     -5.14     10.00     3.3560     5.3301
2011.4671     -6.65     3.04     3.2271     4.9871
2011.4699     -4.29     2.24     3.3190     5.3289
2011.4726     -2.09     5.94     3.2260     5.1559
2011.4753     -1.43     4.76     2.8611     4.6423
2011.4781     -5.49     -5.04     3.3560     5.3301
2011.4808     -4.40     1.83     3.3177     5.0872
2011.4836     -2.41     2.46     2.7685     4.3919
2011.4863     -4.68     1.58     2.8141     4.6410
2011.4890     -3.07     -0.15     2.7272     4.4733
2011.4918     -3.61     2.01     2.9522     4.8110
2011.4945     0.09     2.25     3.1334     4.9850
2011.4973     -2.90     1.78     3.0806     4.9826
2011.5000     -4.34     3.74     2.6787     4.2222
2011.5027     -2.60     3.36     3.0032     4.7365
2011.5055     -4.58     4.06     2.5919     4.2196
2011.5082     -1.31     1.38     2.9028     4.7285
2011.5110     -2.46     5.67     3.3543     4.9912
2011.5137     -2.79     -1.03     3.5409     5.1659
2011.5164     0.11     0.93     2.7706     4.4748
2011.5192     -2.13     1.20     3.0412     4.8131
2011.5219     -4.10     0.38     3.7137     6.1677
2011.5247     -2.37     3.23     3.6352     5.9226
2011.5274     -2.34     -0.74     3.1334     4.9842
2011.5301     -4.45     -4.05     3.3051     5.2357
2011.5329     -3.93     0.61     2.5919     4.4689
2011.5356     -2.87     1.60     2.7685     4.3915
2011.5384     -3.23     2.09     2.7701     4.3914
2011.5411     -4.50     3.32     3.0842     4.9820
2011.5438     -3.08     2.69     2.7706     4.4737
2011.5466     -0.78     -3.62     2.8622     4.5657
2011.5493     -5.74     -8.88     3.4873     5.5774
2011.5521     -3.34     1.87     4.5792     6.4070
2011.5548     -0.49     1.18     3.3551     5.1600
2011.5575     -0.53     1.92     3.9486     6.1037
2011.5603     -2.05     1.97     3.1250     4.8997
2011.5630     -3.06     5.34     3.5395     5.3360
2011.5658     -3.84     1.20     2.9014     4.4784
2011.5685     -5.33     0.49     3.5439     5.7483
2011.5740     -3.48     3.55     2.7242     4.4730
2011.5767     -9.21     4.75     3.3485     5.6514
2011.5795     -3.61     -4.82     3.4836     5.5741
2011.5822     -3.39     -0.22     3.1717     4.8178
2011.5849     -6.30     -0.67     3.0807     4.6488
2011.5877     -4.70     4.79     2.9023     4.6425
2011.5904     -4.19     2.63     2.7690     4.4741
2011.5932     -3.24     2.08     3.1325     4.8165
2011.5959     -2.89     0.84     3.2660     5.1564
2011.5986     -1.33     3.45     3.1739     5.2318
2011.6014     -2.59     2.61     2.9920     4.8122
2011.6041     -1.57     -2.85     2.8156     4.6405
2011.6068     -4.76     5.16     3.7645     6.1694
2011.6096     -6.88     6.77     3.6633     6.0745
2011.6123     -7.18     1.41     3.5306     5.6568
2011.6151     -6.18     4.85     3.4475     5.3327
2011.6205     -5.25     2.59     3.0359     4.7326
2011.6233     -2.79     3.32     2.9938     4.8130
2011.6260     -1.21     -1.26     2.8132     4.4754
2011.6288     -4.84     -1.49     2.9500     4.7302
2011.6315     -3.53     10.54     3.6705     5.7530
2011.6342     -2.43     0.18     3.3580     5.3312
2011.6370     -4.39     -0.63     3.1730     5.0655
2011.6397     -1.64     3.57     3.4501     5.4077
2011.6425     -3.68     0.47     2.9028     4.7290
2011.6452     -1.72     -0.23     3.3560     5.3301
2011.6479     -3.75     3.49     3.0416     4.8137
2011.6507     -1.38     2.11     2.8132     4.4756
2011.6534     -2.00     -0.86     3.0412     4.8131
2011.6562     -1.36     1.74     3.1315     4.9844
2011.6589     -4.14     2.64     3.3939     5.4060
2011.6616     -3.00     7.06     3.3959     5.4061
2011.6644     -0.87     8.48     3.7128     5.9979
2011.6671     -5.92     5.09     3.7097     5.8295
2011.6699     -3.12     0.22     2.9023     4.6430
2011.6726     -5.01     1.50     3.0359     4.7330
2011.6753     -4.04     2.09     2.9048     4.8102
2011.6781     -2.06     -0.69     2.8603     4.8081
2011.6808     -3.87     2.13     2.9917     4.7314
2011.6836     -5.71     1.16     2.9505     4.8119
2011.6863     -5.99     5.27     2.9920     4.8122
2011.6890     -4.27     0.34     2.5925     4.3058
2011.6918     -1.23     -1.83     2.9514     4.9790
2011.6945     -5.71     0.40     2.6781     4.3088
2011.6973     -3.84     -2.41     2.9912     4.6458
2011.7000     -5.59     0.05     2.6382     4.3065
2011.7027     -4.64     -2.39     2.9920     4.8124
2011.7055     -2.88     -1.82     2.9505     4.8111
2011.7082     -3.55     0.88     2.9912     4.6460
2011.7110     -2.49     1.49     3.4480     4.9951
2011.7137     -5.61     1.37     2.7697     4.3116
2011.7164     -6.21     -1.98     3.0821     4.8976
2011.7192     -2.33     -1.13     3.0376     4.7329
2011.7219     -5.25     3.53     3.1717     4.8178
2011.7247     -8.94     -5.43     2.9475     4.5684
2011.7274     -7.42     2.49     4.0096     5.8663
2011.7301     -5.88     0.17     2.6866     4.2428
2011.7329     -3.98     3.81     3.2262     4.8195
2011.7356     -5.92     2.63     2.8137     4.5650
2011.7384     -6.28     0.08     2.5916     4.1435
2011.7411     -5.83     -0.95     2.9019     4.5672
2011.7438     -3.94     2.50     3.2147     5.0666
2011.7493     -4.09     1.33     2.9903     4.4812
2011.7521     -4.69     1.38     2.5530     4.1432
2011.7548     -5.70     1.35     2.5014     3.8890
2011.7575     -3.87     -0.52     2.5911     4.0547
2011.7603     -1.99     1.60     2.8123     4.3125
2011.7630     -3.28     2.83     3.0354     4.6472
2011.7658     -3.71     -0.11     2.7257     4.4728
2011.7685     -3.95     -1.49     2.7690     4.4748
2011.7712     -3.23     5.30     3.0816     4.8149
2011.7740     -5.30     2.57     3.0816     4.8149
2011.7795     -2.30     2.48     2.8586     4.4775
2011.7822     -4.08     2.08     3.2280     5.1563
2011.7849     -4.45     1.24     2.8146     4.7259
2011.7877     1.19     -2.06     3.0368     4.8970
2011.7904     -7.23     0.44     3.3075     5.3193
2011.7932     -5.30     1.81     2.7768     4.6585
2011.7959     -7.43     5.13     2.8586     4.4773
2011.7986     -6.74     2.07     2.5902     4.1441
2011.8014     -7.46     2.29     2.9903     4.4810
2011.8041     -9.77     0.45     2.9459     4.5690
2011.8068     -8.34     -3.40     3.0365     4.8241
2011.8096     -3.14     -1.12     2.9028     4.7287
2011.8123     -5.69     0.97     2.6786     4.4716
2011.8151     -9.73     4.44     2.8607     4.5657
2011.8178     -15.50     16.05     3.0841     4.9867
2011.8205     -5.12     -0.80     3.1282     5.1492
2011.8233     -3.36     -1.55     2.6807     4.3084
2011.8260     -4.01     -0.74     2.9483     4.7303
2011.8288     -8.02     5.38     2.6380     4.2413
2011.8315     -3.57     5.04     2.6792     4.3083
2011.8342     -5.19     -0.06     3.0816     4.8149
2011.8370     -4.72     -4.50     3.1725     4.9864
2011.8397     -6.04     3.92     2.9484     4.4788
2011.8425     -3.38     4.70     3.8818     5.8631
2011.8452     -8.03     0.26     2.7690     4.4748
2011.8479     -6.52     -3.38     3.3944     5.4870
2011.8507     -4.95     -1.33     2.9019     4.6430
2011.8534     -5.67     0.59     2.5902     4.1449
2011.8562     -5.49     -1.07     2.4155     3.9802
2011.8589     -5.25     1.63     2.6799     4.1469
2011.8616     -5.75     1.71     1.9187     3.2113
2011.8644     -2.22     8.17     2.9006     4.6425
2011.8671     -3.86     1.75     2.4661     3.9811
2011.8699     -7.56     2.83     2.4648     3.9809
2011.8726     -10.59     9.36     2.8242     4.2471
2011.8753     4.73     -12.08     2.9124     4.6619
2011.8781     -3.24     -7.02     2.6888     4.4002
2011.8808     -2.26     -0.36     3.0825     4.6487
2011.8836     -3.81     0.43     2.5896     4.0547
2011.8863     -3.56     1.25     2.6792     4.3077
2011.8890     -3.83     0.62     2.5911     4.0549
2011.8918     -5.24     -1.39     2.6778     4.0574
2011.8945     -5.34     0.29     2.6784     4.1468
2011.8973     -4.10     -0.39     2.3305     3.8207
2011.9000     -4.71     1.19     2.5028     3.8883
2011.9027     -5.04     1.87     2.3682     3.7987
2011.9055     -7.33     -0.53     2.7263     4.2237
2011.9082     -5.75     1.71     2.5463     4.2182
2011.9110     -3.68     -1.05     2.3286     3.7231
2011.9137     -4.59     0.45     2.5014     3.8890
2011.9164     -3.12     1.15     2.8581     4.3942
2011.9192     -6.76     1.49     2.3675     3.8850
2011.9301     -2.52     2.23     2.6801     4.4723
2011.9329     -8.24     9.88     2.8622     4.5657
2011.9356     -4.42     3.71     2.5518     4.3969
2011.9384     1.61     -10.87     2.8265     4.6595
2011.9411     16.23     -19.40     2.8622     4.5657
2011.9438     0.26     1.14     2.9139     4.9173
2011.9466     -6.58     2.47     2.4676     4.2363
2011.9493     -9.06     12.91     2.6902     4.4009
2011.9521     -7.54     6.24     2.4155     3.9802
2011.9548     -9.87     -1.85     2.8622     4.5664
2011.9575     14.68     -33.94     2.6590     4.3436
2011.9603     0.43     -5.64     2.8621     4.8187
2011.9630     -14.38     -2.46     2.4676     4.2372
2011.9658     -10.35     5.62     2.6397     4.5586
2011.9685     -4.85     -1.88     2.5454     4.0535
2011.9712     -4.19     -6.28     2.3283     3.8840
2011.9740     -1.56     -13.28     2.6018     4.0851
2011.9767     -12.39     13.88     2.7249     4.3095
2011.9795     -4.99     -1.34     2.7745     4.2450
2011.9822     -3.76     -3.91     2.6902     4.4007
2011.9849     0.45     1.56     2.5042     4.1423
2011.9877     6.33     -17.22     2.7715     4.6392
2011.9904     4.57     -10.22     2.7762     4.5638
2011.9932     -7.97     2.17     2.5916     4.1445
2011.9959     -9.17     3.42     2.5896     4.3055
2011.9986     -15.38     15.69     2.5925     4.3056
2012.0014     -5.65     -6.41     2.7754     4.4032
2012.0041     8.90     21.04     2.9492     4.8936
2012.0068     1.32     6.11     2.7733     4.5624
2012.0096     3.12     4.42     2.9124     4.6625
2012.0123     11.47     -5.48     2.8242     4.2474
2012.0150     15.83     -20.81     2.8264     4.6593
2012.0178     8.08     -14.00     2.6402     4.3992
2012.0205     -11.49     -7.13     2.9108     4.5666
2012.0232     -7.88     4.27     3.0484     4.6658
2012.0260     -0.20     2.17     2.7747     4.5631
2012.0287     1.32     18.23     2.9937     4.8115
2012.0314     -4.80     17.83     2.6396     4.3070
2012.0342     -0.81     11.70     3.0832     4.8253
2012.0369     -2.37     1.13     3.2204     4.9263
2012.0451     14.25     0.62     2.9124     4.6616
2012.0478     13.07     -1.72     2.8263     4.3482
2012.0505     5.68     -3.16     2.7739     4.4026
2012.0533     11.58     10.64     2.8250     4.4056
2012.0560     17.74     -2.78     2.9500     4.7297
2012.0587     -4.55     1.21     3.1725     4.9862
2012.0615     12.42     -9.63     2.9478     4.6435
2012.0642     -4.15     6.04     3.0816     4.8143
2012.0669     -3.58     -1.79     2.7745     4.1491
2012.0697     5.71     -15.09     2.6025     3.9853
2012.0724     3.45     -15.02     2.9450     4.3168
2012.0751     3.20     -9.20     2.6784     4.1468
2012.0779     3.93     -13.58     2.9014     4.4784
2012.0806     -3.86     -10.95     3.0363     4.4832
2012.0833     -4.62     -10.17     3.0396     4.4826
2012.0861     10.22     -12.58     2.6374     4.1455
2012.0888     -0.48     2.68     2.7240     4.1489
2012.0915     -2.01     4.80     3.2131     4.7376
2012.0943     -2.35     -7.96     2.7740     4.1505
2012.0970     10.65     -11.54     2.9101     4.5048
2012.0997     -1.38     0.77     3.0832     4.8265
2012.1025     -3.17     5.12     2.7731     4.2455
2012.1052     12.02     -11.42     2.7240     4.1483
2012.1079     1.94     11.55     2.9039     4.6431
2012.1107     4.80     17.48     3.4403     5.4869
2012.1134     -2.97     18.23     3.4370     5.2400
2012.1161     2.61     8.66     3.0359     4.7328
2012.1189     11.49     -1.32     3.1735     4.8186
2012.1216     13.35     -11.89     2.9622     4.5068
2012.1243     -5.27     -15.99     3.1706     4.5754
2012.1270     12.84     -15.22     2.8607     4.5659
2012.1298     14.83     20.83     3.0343     4.4118
2012.1325     11.16     -4.42     3.2173     4.6709
2012.1352     7.91     -5.89     2.9500     4.7302
2012.1380     -7.71     4.11     2.9973     4.5706
2012.1407     -2.94     -1.65     2.8628     4.6604
2012.1434     -7.91     8.81     3.3055     5.1556
2012.1462     -8.71     8.44     3.0798     4.8156
2012.1489     11.90     -9.18     3.1250     4.8989
2012.1516     13.10     -12.70     3.8405     5.3369
2012.1544     9.48     -4.79     3.1702     4.5758
2012.1571     -1.94     -4.08     3.2139     4.9025
2012.1598     1.52     4.82     3.0811     4.6494
2012.1626     -1.15     5.75     3.4467     5.1623
2012.1653     3.51     4.88     3.5233     5.0008
2012.1680     8.02     -1.32     3.3034     4.9046
2012.1708     -0.29     -0.50     3.0381     4.7336
2012.1735     -6.19     0.28     3.0376     4.7321
2012.1762     -7.21     2.14     2.9496     4.6452
2012.1790     8.50     -14.29     3.0180     4.7651
2012.1817     7.31     -23.26     3.3040     5.0871
2012.1844     8.44     -20.17     3.2179     4.7721
2012.1872     2.35     -16.78     3.3070     5.2350
2012.1899     0.62     -18.10     2.9483     4.7308
2012.1926     7.25     -14.37     3.3041     4.6561
2012.1954     3.70     -13.83     2.9500     4.7297
2012.1981     10.73     -15.50     3.5766     5.2444
2012.2008     4.76     -0.34     3.4797     5.3230
2012.2036     0.52     4.79     3.7637     5.5865
2012.2063     -4.27     3.74     3.5791     5.3364
2012.2090     -2.09     -0.52     2.7263     4.3087
2012.2117     -3.44     0.13     3.0807     4.6486
2012.2145     -5.19     -2.91     3.1705     4.6514
2012.2172     3.59     -4.57     3.0376     4.7336
2012.2199     -13.70     -2.13     4.0783     5.9368
2012.2227     -11.50     4.60     3.4801     4.9986
2012.2254     -3.16     -1.70     2.9103     4.5672
2012.2281     -9.96     -4.15     3.0477     4.5102
2012.2309     0.35     -9.45     4.3979     7.2233
2012.2336     -13.09     -4.27     4.3004     6.1860
2012.2363     -2.50     -4.59     4.0673     6.4226
2012.2391     -14.46     1.30     3.7089     5.6621
2012.2418     4.42     -15.94     3.7128     5.4183
2012.2445     -0.60     -14.97     3.7483     5.3327
2012.2473     -7.46     -1.51     3.2126     4.6530
2012.2500     -11.35     -4.08     3.4843     4.9955
2012.2527     -4.58     -1.07     3.3181     4.7467
2012.2555     -8.91     -2.40     3.1697     4.7363
2012.2582     -3.54     -1.41     3.7923     5.4988
2012.2609     -8.23     -0.74     3.4373     4.9100
2012.2637     -5.63     -0.92     3.6156     5.0799
2012.2664     -10.77     5.71     3.3483     4.9056
2012.2691     -7.25     5.92     3.2145     4.6532
2012.2719     -6.73     2.24     3.7084     5.5847
2012.2746     -8.35     2.27     3.6702     5.2475
2012.2773     -9.60     9.38     3.4796     4.9988
2012.2801     -7.97     0.83     3.7491     5.4974
2012.2828     -8.65     -4.62     3.1317     4.6688
2012.2855     3.80     -12.10     3.3061     5.1548
2012.2883     -8.86     3.48     3.7521     5.6635
2012.2910     -5.40     -16.97     4.4195     6.0182
2012.2937     -26.09     4.80     3.8839     5.5863
2012.2964     -19.06     -6.34     3.4817     5.3239
2012.2992     -0.74     -9.51     4.4470     6.5320
2012.3019     -2.98     -2.80     3.0358     4.4816
2012.3046     -2.98     1.17     3.1744     4.9863
2012.3074     7.94     -1.53     3.7071     5.5817
2012.3101     20.49     -14.30     4.1079     5.8449
2012.3128     -10.15     -5.52     3.4830     5.5741
2012.3156     -6.60     -4.74     3.5277     5.4896
2012.3183     -14.44     1.49     4.5610     6.5179
2012.3210     -5.15     -5.55     4.0169     6.0047
2012.3238     2.00     -3.98     3.9341     6.0052
2012.3265     -2.53     -0.62     3.9741     5.7536
2012.3292     -10.53     1.40     3.9843     6.0076
2012.3320     -8.71     -1.98     3.1736     5.1500
2012.3347     -8.06     4.03     4.9280     7.7068
2012.3374     -6.34     0.24     2.9483     4.7294
2012.3402     -5.21     2.77     3.1671     4.5762
2012.3429     -4.67     -1.09     3.4480     4.9945
2012.3456     -2.17     -1.11     3.2623     4.8209
2012.3484     -4.77     0.59     3.6710     5.3401
2012.3511     0.23     0.93     3.8521     5.7597
2012.3538     -3.93     -0.36     3.5770     5.3379
2012.3566     -1.71     2.97     3.7094     5.4169
2012.3593     -4.36     6.55     3.5280     5.1665
2012.3620     -1.80     2.38     3.0354     4.6472
2012.3648     -4.89     -3.23     3.5774     5.4119
2012.3675     -1.70     2.21     3.1722     4.8999
2012.3702     2.53     0.68     3.5799     5.4120
2012.3730     -2.06     3.08     3.3946     5.0733
2012.3757     -3.98     9.85     3.4864     5.4091
2012.3784     -3.44     0.50     3.7625     5.3434
2012.3811     -3.20     1.50     3.2143     4.9875
2012.3839     -8.39     4.15     3.4843     4.9955
2012.3866     -1.81     2.00     2.7268     4.3096
2012.3893     -5.79     4.15     3.5778     5.5081
2012.3921     -2.64     7.12     3.5387     5.1660
2012.3948     -6.17     1.99     3.7254     5.5127
2012.3975     -1.73     -1.96     3.5063     5.6787
2012.4003     -4.71     -2.24     4.0784     5.9376
2012.4030     -5.78     1.88     3.5800     5.5080
2012.4057     -7.46     -0.38     4.1053     6.2177
2012.4085     -4.18     1.67     3.4378     5.4075
2012.4112     -3.32     0.91     2.9031     4.4782
2012.4139     -2.23     1.34     2.8998     4.4781
2012.4167     -3.27     5.09     3.4475     5.3329
2012.4194     -7.82     -1.41     3.6727     5.7530
2012.4221     -2.42     4.13     3.3051     5.2357
2012.4249     -4.58     4.61     3.3959     5.4061
2012.4276     -4.26     5.81     3.4843     4.9949
2012.4303     -6.13     -1.61     3.6683     5.7540
2012.4331     -2.67     1.05     3.5791     5.3371
2012.4358     -4.37     7.49     3.1276     5.0640
2012.4385     -8.65     -1.78     3.3500     5.2371
2012.4413     -4.83     -0.37     2.8593     4.3146
2012.4440     -3.71     4.42     3.2620     4.8207
2012.4467     -5.16     3.53     2.9971     4.8225
2012.4495     -2.95     -1.66     3.3543     4.9912
2012.4522     -4.25     -1.95     3.2200     5.0847
2012.4549     -4.42     -2.37     2.8594     4.6425
2012.4577     -4.65     -2.23     2.4661     3.9811
2012.4604     -4.79     -1.50     2.8132     4.4754
2012.4631     -5.47     1.38     2.8607     4.5657
2012.4658     -4.34     5.79     3.2600     4.9040
2012.4686     -6.84     -4.79     3.2600     4.9040
2012.4713     -5.76     -2.85     2.9019     4.5676
2012.4740     -3.72     0.44     2.8132     4.4754
2012.4768     -3.33     -1.18     2.9019     4.6430
2012.4795     -0.87     4.66     2.7728     4.3110
