#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.2918     4.91     -3.84     3.3546     4.9919
2011.2945     2.84     -1.08     2.5014     4.1413
2011.2973     5.68     -3.29     3.1709     4.6516
2011.3000     2.05     1.78     2.8614     4.4061
2011.3027     0.21     5.73     2.9962     4.6647
2011.3055     7.60     -1.92     2.9921     4.4817
2011.3082     6.11     -2.06     3.1317     4.6503
2011.3110     6.17     -1.48     2.9031     4.4782
2011.3137     7.50     1.65     3.0799     4.4844
2011.3164     6.10     -3.77     3.4120     4.9929
2011.3192     6.74     -0.79     3.2139     4.9017
2011.3219     6.20     1.74     2.5889     3.9849
2011.3247     4.12     -0.99     3.0781     4.4839
2011.3274     6.19     -1.48     2.8586     4.4768
2011.3301     -4.00     -2.78     3.4378     4.9972
2011.3329     -3.47     7.95     3.3931     5.1576
2011.3356     -2.18     1.79     3.4864     5.4087
2011.3384     4.65     0.46     3.1336     4.6503
2011.3411     3.57     1.92     3.0825     4.6489
2011.3438     6.64     -0.62     2.7668     4.0603
2011.3466     5.31     -0.16     2.8602     4.4769
2011.3493     4.75     -5.96     3.3942     5.0723
2011.3521     9.48     4.17     3.4860     5.3341
2011.3548     5.46     0.82     3.1735     4.8178
2011.3575     10.73     -6.92     4.8712     7.6525
2011.3630     2.36     1.84     3.3959     5.4059
2011.3658     7.84     1.35     3.0816     4.8148
2011.3685     7.42     1.82     3.0838     4.8969
2011.3712     5.57     0.66     2.5036     4.0522
2011.3740     5.89     0.54     3.1329     4.9095
2011.3767     3.74     -0.69     2.9028     4.7290
2011.3795     5.94     -2.29     2.9920     4.8122
2011.3822     -3.48     -1.34     3.0825     4.6487
2011.3849     -1.35     1.78     3.0844     4.7343
2011.3877     3.53     0.96     2.7244     4.3095
2011.3904     4.69     0.08     2.8607     4.5659
2011.3932     3.53     7.78     3.0807     4.6486
2011.3959     5.76     4.11     2.5910     4.3055
2011.3986     6.06     -0.94     2.9912     4.6456
2011.4014     6.33     2.91     2.6374     4.1457
2011.4041     3.04     2.18     4.0457     6.4519
2011.4068     4.26     0.37     3.1312     4.5708
2011.4096     4.26     -0.96     2.6894     4.2429
2011.4123     6.76     0.73     3.4852     5.2414
2011.4151     4.84     1.06     3.1250     4.8989
2011.4178     2.08     3.30     3.0384     4.8965
2011.4205     4.00     1.64     3.0376     4.7329
2011.4233     2.97     3.87     3.1245     4.8172
2011.4260     3.63     2.88     3.3571     5.1603
2011.4288     7.22     5.00     3.0816     4.8149
2011.4315     4.83     4.66     3.5986     5.5097
2011.4342     2.94     4.43     3.2651     4.9883
2011.4370     6.11     1.91     3.3061     5.0695
2011.4397     5.36     -0.72     3.1268     4.8990
2011.4425     5.94     6.42     3.2660     5.1581
2011.4452     -0.47     -0.67     3.3486     5.3200
2011.4479     2.69     1.73     3.2156     5.2328
2011.4507     4.70     3.68     2.9041     4.8923
2011.4534     6.52     3.33     2.9039     4.6431
2011.4562     2.48     -1.35     2.9929     4.6460
2011.4589     6.05     4.74     3.3173     4.9900
2011.4616     4.69     5.58     2.6802     4.2221
2011.4644     3.67     7.44     3.3560     5.3301
2011.4671     2.17     0.47     3.2271     4.9871
2011.4699     4.54     -0.33     3.3190     5.3289
2011.4726     6.74     3.38     3.2260     5.1559
2011.4753     7.41     2.20     2.8611     4.6423
2011.4781     3.35     -7.60     3.3560     5.3301
2011.4808     4.45     -0.73     3.3177     5.0872
2011.4836     6.44     -0.10     2.7685     4.3919
2011.4863     4.19     -0.97     2.8141     4.6410
2011.4890     5.80     -2.70     2.7272     4.4733
2011.4918     5.27     -0.55     2.9522     4.8110
2011.4945     8.97     -0.30     3.1334     4.9850
2011.4973     5.99     -0.77     3.0806     4.9826
2011.5000     4.55     1.19     2.6787     4.2222
2011.5027     6.30     0.82     3.0032     4.7365
2011.5055     4.33     1.52     2.5919     4.2196
2011.5082     7.61     -1.17     2.9028     4.7285
2011.5110     6.46     3.12     3.3543     4.9912
2011.5137     6.14     -3.57     3.5409     5.1659
2011.5164     9.04     -1.61     2.7706     4.4748
2011.5192     6.81     -1.34     3.0412     4.8131
2011.5219     4.85     -2.15     3.7137     6.1677
2011.5247     6.59     0.69     3.6352     5.9226
2011.5274     6.63     -3.28     3.1334     4.9842
2011.5301     4.52     -6.58     3.3051     5.2357
2011.5329     5.05     -1.92     2.5919     4.4689
2011.5356     6.11     -0.93     2.7685     4.3915
2011.5384     5.76     -0.44     2.7701     4.3914
2011.5411     4.49     0.80     3.0842     4.9820
2011.5438     5.92     0.17     2.7706     4.4737
2011.5466     8.22     -6.15     2.8622     4.5657
2011.5493     3.27     -11.40     3.4873     5.5774
2011.5521     5.68     -0.65     4.5792     6.4070
2011.5548     8.53     -1.34     3.3551     5.1600
2011.5575     8.50     -0.59     3.9486     6.1037
2011.5603     6.99     -0.55     3.1250     4.8997
2011.5630     5.99     2.83     3.5395     5.3360
2011.5658     5.21     -1.32     2.9014     4.4784
2011.5685     3.73     -2.02     3.5439     5.7483
