#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.2644     10.58     -4.60     5.2643     5.0396
2011.2671     1.03     -2.06     5.4308     4.6281
2011.2699     1.42     -5.88     4.4618     4.3151
2011.2726     5.92     -5.17     5.4066     5.1421
2011.2753     2.66     -4.69     5.5306     5.1530
2011.2808     -5.53     -5.17     4.5878     4.6281
2011.2836     5.29     -7.05     5.3787     5.1697
2011.2863     -2.10     2.61     5.3498     5.1465
2011.2890     -0.82     -0.51     5.6325     5.3308
2011.2918     2.87     0.78     4.8696     4.9796
2011.2945     2.12     -1.81     4.7998     4.8281
2011.2973     -0.55     -4.04     5.3382     5.2771
2011.3000     3.23     -3.96     4.5100     4.5338
2011.3027     1.43     -1.05     5.1339     5.1678
2011.3055     -1.23     0.89     4.9244     4.7614
2011.3082     1.60     -1.14     4.1771     4.1185
2011.3110     2.43     -2.78     4.2996     4.2718
2011.3137     3.37     0.50     4.5099     4.3228
2011.3164     2.91     -2.46     4.3654     4.2823
2011.3192     1.90     -1.82     5.1703     4.7318
2011.3219     3.19     1.19     4.6463     4.6315
2011.3247     3.72     -6.47     5.0655     5.0821
2011.3274     0.74     -4.27     4.7266     4.8767
2011.3301     1.86     -3.93     9.0347     6.6404
2011.3329     4.69     -3.09     6.4273     6.0594
2011.3356     12.27     -4.89     6.5893     6.6243
2011.3384     3.77     -2.10     4.5148     4.4936
2011.3411     6.19     -2.14     5.0286     5.0972
2011.3438     3.15     -7.36     6.0447     5.7124
2011.3466     4.12     -5.27     5.3620     5.6666
2011.3493     1.24     -3.38     6.2179     5.8729
2011.3521     5.19     -3.88     5.2658     5.1879
2011.3548     1.22     -7.18     5.8261     5.8126
2011.3575     3.87     -6.13     5.9895     6.2277
2011.3603     6.29     -6.43     5.1374     5.1679
2011.3630     -1.19     -7.05     5.2321     5.4983
2011.3658     2.04     -3.62     4.6636     4.8683
2011.3685     7.17     -5.77     4.6707     5.0242
2011.3712     8.58     -11.29     6.0056     6.3917
2011.3740     3.60     -4.91     4.3910     4.3038
2011.3767     2.43     -4.08     4.4041     4.6835
2011.3795     2.58     -3.88     4.5939     4.8551
2011.3822     3.07     -1.87     5.1591     5.4124
2011.3849     11.25     -6.38     5.2859     5.7011
2011.3877     2.32     -8.38     5.9694     5.9876
2011.3904     1.64     -2.13     6.6176     6.3971
2011.3932     -3.45     -2.24     5.5115     5.9210
2011.3959     0.29     -3.97     4.1794     4.4080
2011.3986     7.34     -5.82     5.2588     5.5242
2011.4014     4.08     -1.29     4.6733     4.8776
2011.4041     4.39     -1.29     4.4834     4.6412
2011.4068     5.33     -4.15     4.5785     4.5467
2011.4096     3.62     -2.32     4.8262     5.0673
2011.4123     7.08     -4.72     5.7763     6.0417
2011.4151     5.63     -4.17     5.1182     5.3538
2011.4178     3.71     -0.30     4.8841     5.0626
2011.4205     0.73     -4.11     4.6781     4.9512
2011.4233     2.97     -1.86     5.3987     5.2087
2011.4260     3.43     -3.35     5.2981     5.6574
2011.4288     4.41     -3.48     4.8036     4.8965
2011.4315     4.24     -3.82     4.7268     4.8032
