#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2014.3384     0.10     0.61     3.2747     5.0752
2014.3411     0.22     -4.48     3.0856     4.5039
2014.3438     -0.12     -1.39     3.2587     4.8419
2014.3466     -0.45     -4.77     3.4112     5.0438
2014.3493     1.33     -1.07     3.0390     4.4983
2014.3521     -2.61     -1.95     3.1734     4.6212
2014.3548     1.25     -1.14     3.2513     4.9810
2014.3575     1.41     -0.13     3.2999     4.7916
2014.3603     -0.92     -1.64     3.2992     4.9987
2014.3630     0.51     -2.10     3.2162     4.8371
2014.3658     0.80     -0.86     3.7239     5.7757
2014.3685     0.74     -1.27     3.3324     4.8909
2014.3712     -1.31     -0.69     3.2590     4.8433
2014.3740     -2.16     -0.25     3.5806     5.3806
2014.3767     2.41     -2.89     3.9849     6.0281
2014.3795     1.41     -4.64     3.8297     5.7762
2014.3822     -0.01     1.14     3.4018     5.0334
2014.3849     -0.39     -3.80     3.4115     5.2512
2014.3877     -1.98     -3.78     3.2994     4.9988
2014.3904     -0.48     -3.29     3.5063     5.2766
2014.3932     -1.54     -3.76     3.5064     5.2760
2014.3959     -0.32     -0.88     3.6531     5.4710
2014.3986     -2.32     -2.94     3.9469     5.9208
2014.4014     -2.42     -0.72     3.4311     5.0821
2014.4041     -1.01     -3.11     3.8137     5.5374
2014.4068     1.48     -4.80     3.5307     5.0988
2014.4096     -1.85     -0.19     3.7770     5.5911
2014.4123     -2.86     -0.48     3.8356     5.6216
2014.4151     -4.33     -3.01     4.2713     6.4590
2014.4178     -2.87     -2.42     3.4490     5.1964
2014.4205     -3.00     3.24     3.4767     5.1403
2014.4233     0.25     3.87     3.8685     5.7604
2014.4260     -4.39     3.32     3.9449     5.8633
2014.4288     -1.28     2.06     3.5407     5.3614
2014.4315     -1.15     -1.36     3.4959     5.2129
2014.4342     -0.16     -0.46     3.2989     4.9971
2014.4370     2.35     2.04     3.1417     4.7381
2014.4397     -1.19     0.14     3.2462     4.9796
2014.4425     -0.66     2.20     3.0760     4.6506
2014.4452     0.70     1.35     3.5453     5.2319
2014.4479     0.71     3.84     3.5812     5.3823
2014.4507     -1.48     0.87     3.3953     5.1492
2014.4534     -0.54     -1.19     3.3954     5.1502
2014.4562     -2.07     3.18     3.4286     5.1136
2014.4589     -3.17     3.95     3.5073     5.2786
2014.4616     -3.37     5.29     4.0505     5.9569
2014.4644     -0.12     -2.52     3.7469     5.6085
2014.4671     -2.53     -0.74     3.4357     5.1816
2014.4699     -0.25     -2.47     3.1956     4.7539
2014.4726     -1.84     -3.29     3.6872     5.5285
2014.4753     -1.21     0.49     3.3692     5.0441
2014.4781     -0.13     -3.60     3.3956     4.9321
2014.4808     -1.53     -1.26     3.4186     5.1099
2014.4836     -0.94     1.49     3.5977     5.2405
2014.4863     -2.95     2.00     3.3192     4.8729
2014.4890     -0.04     -2.15     3.1962     4.7552
2014.4918     0.82     -0.34     3.0361     4.4862
2014.4945     -1.47     -1.68     3.3269     5.0815
2014.4973     -1.89     0.48     3.1028     4.5782
2014.5000     -2.61     0.87     3.6481     5.4170
2014.5027     -1.45     -2.85     3.4047     5.0436
2014.5055     -0.58     -0.26     3.9518     5.9223
2014.5082     -1.75     1.26     3.3634     4.8783
2014.5110     1.61     0.22     3.3524     4.9182
2014.5137     0.77     -0.50     3.2625     4.8459
2014.5164     1.02     -3.38     3.6509     5.5396
2014.5192     -4.40     -0.59     4.1457     6.3003
2014.5219     1.85     1.59     3.7776     5.6086
2014.5247     -2.09     -2.40     3.5978     5.4483
2014.5274     -2.33     0.73     3.3628     4.8768
2014.5301     -3.64     2.86     3.8578     5.7496
2014.5329     -0.11     -0.56     3.3837     4.9543
2014.5356     -2.77     -1.83     3.3667     5.0887
2014.5384     -0.45     -1.40     3.6924     5.4220
2014.5411     -3.31     2.05     3.8227     5.5983
2014.5438     -2.63     -1.60     3.8041     5.6251
2014.5466     -0.37     -2.74     3.8056     5.5672
2014.5493     -2.84     1.17     3.6819     5.3580
2014.5521     -0.60     -0.77     4.1570     5.9966
2014.5548     -3.50     -5.90     3.8916     5.6905
2014.5575     -3.19     -4.43     4.7983     7.0076
2014.5603     -1.14     -3.90     3.8976     5.9057
2014.5630     -1.35     -8.16     3.9103     5.7659
2014.5658     -1.02     -5.88     3.8320     5.6072
2014.5685     -6.54     -6.21     4.2754     6.3459
2014.5712     -2.69     -4.82     3.7099     5.7010
2014.5740     -4.39     -1.45     3.7921     5.6551
2014.5767     4.48     -11.13     4.3505     6.4076
2014.5795     -0.13     -9.51     4.1328     6.0665
2014.5822     -2.64     -8.60     3.5803     5.3758
2014.5849     -0.86     -2.91     3.6236     5.4859
2014.5877     0.99     -4.42     5.1677     7.6061
2014.5904     -1.56     -7.37     3.8356     5.6222
2014.5932     -3.02     1.03     3.6917     5.4201
2014.5959     -3.25     4.42     4.6549     6.7633
2014.5986     -3.91     -4.32     3.8266     5.6535
2014.6014     -2.15     -7.01     3.8855     5.8321
2014.6041     -1.85     -4.67     3.6256     5.2690
2014.6068     -1.78     -1.48     3.3119     4.8599
2014.6096     -2.11     -1.50     3.4490     5.1980
2014.6123     -1.88     -7.42     3.3919     4.9626
2014.6151     -2.85     -2.19     3.5515     5.4376
2014.6178     0.27     -3.48     3.5043     5.0678
2014.6205     -3.04     -3.67     3.1366     4.6876
2014.6233     -1.85     -1.58     3.2722     4.8095
2014.6260     -2.69     -3.72     3.3535     5.0156
2014.6288     -1.14     -0.81     3.4886     5.1450
2014.6315     -4.63     -2.82     3.6689     5.5017
2014.6342     0.39     -4.35     4.0720     6.2059
2014.6370     -0.47     -6.70     3.3336     5.1089
2014.6397     -1.40     -5.24     3.2717     4.8093
2014.6425     -1.37     -4.74     3.2401     4.7641
2014.6452     -1.71     -3.90     3.1890     4.7469
2014.6479     -0.71     -7.78     3.1768     4.6737
2014.6507     -0.64     -5.43     3.4036     5.1336
2014.6534     -1.83     -4.16     3.4963     5.2130
2014.6562     -4.71     -3.47     3.6670     5.5453
2014.6589     -2.76     -4.95     3.2924     4.8950
2014.6616     -2.98     -8.32     3.1924     4.7035
2014.6644     -2.88     -3.25     3.6105     5.3116
2014.6671     -1.14     -1.11     3.7518     5.6293
2014.6699     -1.64     -2.39     3.4180     5.1064
2014.6726     -2.49     -4.78     3.3116     4.8619
2014.6753     -1.91     -6.50     3.4771     5.1405
2014.6781     -1.28     -6.38     3.7693     5.5785
2014.6808     -1.74     -2.13     3.3694     5.0425
2014.6836     -3.40     -4.20     3.6138     5.5238
2014.6863     -0.16     -2.97     3.4945     5.2058
2014.6890     -1.34     -6.21     3.3290     4.8768
2014.6918     -1.83     -4.45     3.5273     5.3579
2014.6945     -4.09     -1.36     3.6833     5.4085
2014.6973     -0.04     -6.08     3.7528     5.5063
2014.7000     -2.41     -1.04     3.3516     4.9180
2014.7027     -1.04     -2.48     3.5077     5.2787
2014.7055     -0.26     -2.72     3.5130     5.2490
2014.7082     -0.78     -3.96     3.4882     5.2009
2014.7110     -0.41     -4.61     3.3372     4.9523
2014.7137     -1.93     -5.89     3.1531     4.5962
2014.7164     -2.51     -8.08     3.8124     5.5931
2014.7192     -1.88     -4.89     3.6650     5.3363
2014.7219     -1.14     -5.59     3.4118     5.0440
2014.7247     -1.49     -4.16     3.5889     5.3844
2014.7274     -1.35     -6.21     3.5058     5.2157
2014.7301     -3.24     -3.75     3.3854     4.9609
2014.7329     -2.65     -2.40     3.4019     5.0327
2014.7356     -3.97     0.32     3.1958     4.7551
2014.7384     -4.00     1.80     3.2815     4.7120
2014.7411     -2.07     -3.84     3.4970     5.1282
2014.7438     -1.21     -4.58     3.6275     5.3324
2014.7466     -2.47     -4.54     3.5400     5.2195
2014.7493     -2.32     -1.54     3.5156     5.2953
2014.7521     -2.51     -4.71     3.7323     5.5874
2014.7548     -3.25     -4.01     3.4151     5.0586
2014.7575     -2.71     -3.94     3.5434     5.2216
2014.7603     -0.95     -4.95     3.2225     4.6898
2014.7630     -2.53     -4.39     3.2620     4.8443
2014.7658     -2.23     -2.60     3.4267     5.0621
2014.7685     -1.14     -2.78     3.2517     4.7743
2014.7712     -1.28     -2.72     3.2262     4.6925
2014.7740     -3.42     -4.43     3.4889     5.1462
2014.7767     -2.53     -4.38     3.2840     4.7220
2014.7795     -2.41     -2.15     3.2547     4.7870
2014.7822     -2.91     -4.01     3.0635     4.4233
2014.7849     -3.46     -3.21     3.3328     4.8911
