#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2014.3575     3.25     6.35     3.2999     4.7916
2014.3603     0.92     4.84     3.2992     4.9987
2014.3630     2.35     4.37     3.2162     4.8371
2014.3658     2.65     5.61     3.7239     5.7757
2014.3685     2.59     5.20     3.3324     4.8909
2014.3712     0.55     5.78     3.2590     4.8433
2014.3740     -0.30     6.21     3.5806     5.3806
2014.3767     4.27     3.57     3.9849     6.0281
2014.3795     3.28     1.82     3.8297     5.7762
2014.3822     1.86     7.59     3.4018     5.0334
2014.3849     1.48     2.65     3.4115     5.2512
2014.3877     -0.11     2.67     3.2994     4.9988
2014.3904     1.39     3.15     3.5063     5.2766
2014.3932     0.34     2.68     3.5064     5.2760
2014.3959     1.56     5.55     3.6531     5.4710
2014.3986     -0.44     3.49     3.9469     5.9208
2014.4014     -0.54     5.71     3.4311     5.0821
2014.4041     0.88     3.32     3.8137     5.5374
2014.4068     3.37     1.62     3.5307     5.0988
2014.4096     0.05     6.23     3.7770     5.5911
2014.4123     -0.96     5.93     3.8356     5.6216
2014.4151     -2.43     3.40     4.2713     6.4590
2014.4178     -0.96     3.98     3.4490     5.1964
2014.4205     -1.09     9.64     3.4767     5.1403
2014.4233     2.16     10.27     3.8685     5.7604
2014.4260     -2.48     9.71     3.9449     5.8633
2014.4288     0.63     8.45     3.5407     5.3614
2014.4315     0.77     5.03     3.4959     5.2129
2014.4342     1.77     5.93     3.2989     4.9971
2014.4370     4.27     8.42     3.1417     4.7381
2014.4397     0.74     6.52     3.2462     4.9796
2014.4425     1.27     8.57     3.0760     4.6506
2014.4452     2.63     7.72     3.5453     5.2319
2014.4479     2.65     10.21     3.5812     5.3823
2014.4507     0.46     7.23     3.3953     5.1492
2014.4534     1.40     5.17     3.3954     5.1502
2014.4562     -0.13     9.54     3.4286     5.1136
2014.4589     -1.22     10.30     3.5073     5.2786
2014.4616     -1.42     11.64     4.0505     5.9569
2014.4644     1.84     3.83     3.7469     5.6085
2014.4671     -0.57     5.60     3.4357     5.1816
2014.4699     1.71     3.87     3.1956     4.7539
2014.4726     0.12     3.05     3.6872     5.5285
2014.4753     0.75     6.82     3.3692     5.0441
2014.4781     1.84     2.72     3.3956     4.9321
2014.4808     0.45     5.06     3.4186     5.1099
2014.4836     1.04     7.81     3.5977     5.2405
2014.4863     -0.97     8.31     3.3192     4.8729
2014.4890     1.94     4.16     3.1962     4.7552
2014.4918     2.80     5.96     3.0361     4.4862
2014.4945     0.52     4.62     3.3269     5.0815
2014.4973     0.10     6.78     3.1028     4.5782
2014.5000     -0.62     7.17     3.6481     5.4170
2014.5027     0.54     3.45     3.4047     5.0436
2014.5055     1.42     6.03     3.9518     5.9223
2014.5082     0.25     7.55     3.3634     4.8783
2014.5110     3.61     6.50     3.3524     4.9182
2014.5137     2.77     5.78     3.2625     4.8459
2014.5164     3.03     2.90     3.6509     5.5396
2014.5192     -2.38     5.68     4.1457     6.3003
2014.5219     3.87     7.85     3.7776     5.6086
2014.5247     -0.07     3.86     3.5978     5.4483
2014.5274     -0.31     6.99     3.3628     4.8768
2014.5301     -1.61     9.12     3.8578     5.7496
2014.5329     1.92     5.69     3.3837     4.9543
2014.5356     -0.74     4.42     3.3667     5.0887
2014.5384     1.58     4.85     3.6924     5.4220
2014.5411     -1.27     8.29     3.8227     5.5983
2014.5438     -0.59     4.64     3.8041     5.6251
2014.5466     1.68     3.50     3.8056     5.5672
2014.5493     -0.80     7.40     3.6819     5.3580
2014.5521     1.45     5.46     4.1570     5.9966
2014.5548     -1.45     0.33     3.8916     5.6905
2014.5575     -1.13     1.79     4.7983     7.0076
2014.5603     0.91     2.32     3.8976     5.9057
2014.5630     0.71     -1.94     3.9103     5.7659
2014.5658     1.04     0.33     3.8320     5.6072
2014.5685     -4.48     -0.00     4.2754     6.3459
2014.5712     -0.62     1.38     3.7099     5.7010
2014.5740     -2.32     4.75     3.7921     5.6551
2014.5767     6.56     -4.93     4.3505     6.4076
2014.5795     1.95     -3.32     4.1328     6.0665
2014.5822     -0.56     -2.41     3.5803     5.3758
2014.5849     1.22     3.27     3.6236     5.4859
2014.5877     3.08     1.76     5.1677     7.6061
2014.5904     0.54     -1.19     3.8356     5.6222
2014.5932     -0.92     7.21     3.6917     5.4201
2014.5959     -1.15     10.59     4.6549     6.7633
2014.5986     -1.81     1.85     3.8266     5.6535
2014.6014     -0.05     -0.85     3.8855     5.8321
2014.6041     0.25     1.49     3.6256     5.2690
2014.6068     0.33     4.67     3.3119     4.8599
2014.6096     0.00     4.65     3.4490     5.1980
2014.6123     0.24     -1.27     3.3919     4.9626
2014.6151     -0.73     3.96     3.5515     5.4376
2014.6178     2.39     2.66     3.5043     5.0678
2014.6205     -0.92     2.47     3.1366     4.6876
2014.6233     0.28     4.55     3.2722     4.8095
2014.6260     -0.56     2.41     3.3535     5.0156
2014.6288     0.99     5.32     3.4886     5.1450
2014.6315     -2.50     3.31     3.6689     5.5017
2014.6342     2.53     1.77     4.0720     6.2059
2014.6370     1.67     -0.58     3.3336     5.1089
2014.6397     0.75     0.87     3.2717     4.8093
2014.6425     0.77     1.37     3.2401     4.7641
2014.6452     0.44     2.21     3.1890     4.7469
2014.6479     1.44     -1.68     3.1768     4.6737
2014.6507     1.52     0.67     3.4036     5.1336
2014.6534     0.33     1.94     3.4963     5.2130
2014.6562     -2.55     2.62     3.6670     5.5453
2014.6589     -0.59     1.14     3.2924     4.8950
2014.6616     -0.81     -2.24     3.1924     4.7035
2014.6644     -0.70     2.83     3.6105     5.3116
2014.6671     1.04     4.96     3.7518     5.6293
2014.6699     0.54     3.69     3.4180     5.1064
2014.6726     -0.31     1.29     3.3116     4.8619
2014.6753     0.28     -0.43     3.4771     5.1405
2014.6781     0.91     -0.32     3.7693     5.5785
2014.6808     0.44     3.93     3.3694     5.0425
2014.6836     -1.21     1.86     3.6138     5.5238
2014.6863     2.03     3.08     3.4945     5.2058
2014.6890     0.85     -0.17     3.3290     4.8768
2014.6918     0.37     1.59     3.5273     5.3579
2014.6945     -1.89     4.68     3.6833     5.4085
2014.6973     2.16     -0.04     3.7528     5.5063
2014.7000     -0.20     5.00     3.3516     4.9180
2014.7027     1.17     3.55     3.5077     5.2787
2014.7055     1.95     3.30     3.5130     5.2490
2014.7082     1.44     2.07     3.4882     5.2009
2014.7110     1.81     1.41     3.3372     4.9523
2014.7137     0.30     0.13     3.1531     4.5962
2014.7164     -0.29     -2.07     3.8124     5.5931
2014.7192     0.35     1.12     3.6650     5.3363
2014.7219     1.09     0.42     3.4118     5.0440
2014.7247     0.75     1.84     3.5889     5.3844
2014.7274     0.89     -0.21     3.5058     5.2157
2014.7301     -1.00     2.24     3.3854     4.9609
2014.7329     -0.41     3.59     3.4019     5.0327
2014.7356     -1.72     6.30     3.1958     4.7551
2014.7384     -1.75     7.78     3.2815     4.7120
2014.7411     0.18     2.14     3.4970     5.1282
2014.7438     1.05     1.40     3.6275     5.3324
2014.7466     -0.21     1.43     3.5400     5.2195
2014.7493     -0.06     4.43     3.5156     5.2953
2014.7521     -0.25     1.25     3.7323     5.5874
2014.7548     -0.98     1.95     3.4151     5.0586
2014.7575     -0.44     2.02     3.5434     5.2216
2014.7603     1.33     1.00     3.2225     4.6898
2014.7630     -0.25     1.56     3.2620     4.8443
2014.7658     0.05     3.35     3.4267     5.0621
2014.7685     1.14     3.16     3.2517     4.7743
2014.7712     1.00     3.22     3.2262     4.6925
2014.7740     -1.13     1.50     3.4889     5.1462
2014.7767     -0.24     1.56     3.2840     4.7220
2014.7795     -0.12     3.78     3.2547     4.7870
2014.7822     -0.61     1.91     3.0635     4.4233
2014.7849     -1.16     2.72     3.3328     4.8911
2014.7877     -0.75     2.54     3.2169     4.6234
2014.7904     1.04     4.28     3.2520     4.7258
2014.7932     -0.79     2.95     3.0688     4.4341
2014.7959     0.22     0.15     3.4363     5.1850
2014.7986     -0.74     5.07     3.5042     5.0674
2014.8014     -0.54     2.05     3.5763     5.3704
2014.8041     -1.62     1.08     3.4704     5.1244
2014.8068     0.83     0.90     3.4535     4.9968
2014.8096     -1.40     0.84     3.3007     4.7933
2014.8123     -1.79     3.76     3.1182     4.6532
2014.8151     -1.59     3.28     3.2548     4.7860
2014.8178     0.89     0.20     3.3202     4.8747
2014.8205     -2.18     3.90     3.3179     4.8650
2014.8233     0.62     4.53     3.0954     4.5164
2014.8260     -1.31     3.43     2.9840     4.2641
2014.8288     -0.67     4.65     3.0791     4.4486
2014.8315     0.90     0.75     3.3759     4.8926
2014.8342     -0.69     -0.07     3.1871     4.6779
2014.8370     -0.14     3.08     2.9762     4.2546
2014.8397     -0.55     3.81     3.0491     4.3515
2014.8425     -0.78     2.99     2.9768     4.2538
2014.8452     -0.88     1.26     2.9973     4.2807
2014.8479     -0.37     3.93     3.2256     4.6937
2014.8507     0.54     3.07     2.8429     4.0746
2014.8534     -0.96     2.60     3.0034     4.3471
2014.8562     -1.19     1.20     2.7144     3.9563
2014.8589     -1.60     1.67     2.7852     4.0464
2014.8616     -1.12     4.14     2.7032     3.8874
2014.8644     -1.07     1.76     3.1524     4.5936
2014.8671     -0.15     3.14     2.7858     4.0478
2014.8699     -2.42     1.20     2.9763     4.2533
2014.8726     0.30     2.57     3.1526     4.5960
2014.8753     -0.15     3.43     2.8435     4.0757
2014.8781     -1.66     3.24     2.9453     4.3167
2014.8808     -0.98     1.00     2.8788     4.2266
2014.8836     -0.61     0.35     2.9259     4.2374
2014.8863     -0.59     1.44     2.9435     4.3134
2014.8890     -0.90     0.26     2.6280     3.7868
2014.8918     0.05     1.54     2.8026     4.1216
2014.8945     -0.16     0.94     3.2250     4.6910
2014.8973     -0.22     -0.03     2.7687     3.9763
2014.9000     -1.61     -1.33     2.9556     4.3290
2014.9027     -0.61     1.52     3.0119     4.4059
2014.9055     0.19     1.78     2.9937     4.3287
2014.9082     -0.03     2.06     2.8439     4.0758
2014.9110     0.09     0.63     2.9821     4.2561
2014.9137     -0.46     1.16     2.9620     4.3870
2014.9164     0.88     1.22     2.6954     3.8780
2014.9192     0.47     1.66     2.9637     4.3957
2014.9219     0.32     0.63     3.1891     4.7473
2014.9247     -0.71     0.96     3.1118     4.5861
2014.9274     0.11     2.29     2.8719     4.2186
2014.9301     -0.07     0.49     2.7854     4.0475
2014.9329     0.55     0.65     2.8354     4.0656
2014.9356     0.61     1.91     2.6561     3.8704
2014.9384     1.33     -1.84     2.8791     4.2267
2014.9411     0.49     1.66     2.8044     4.1267
2014.9438     -0.70     0.67     2.8707     4.2156
2014.9466     -0.86     0.24     2.8217     4.1996
2014.9493     0.36     1.70     2.7313     4.0298
2014.9521     0.89     -1.87     2.9079     4.3697
2014.9548     0.33     0.94     2.7855     4.0486
2014.9575     1.31     0.77     2.6448     3.8587
