20070701	341.600
20070702	327.134
20070703	311.371
20070704	294.575
20070705	275.860
20070706	254.559
20070707	231.146
20070708	205.459
20070709	179.673
20070710	155.636
20070711	132.952
20070712	112.605
20070713	94.003
20070714	76.602
20070715	62.075
20070716	51.032
20070717	41.358
20070718	32.013
20070719	23.405
20070720	14.772
20070721	8.121
20070722	4.984
20070723	4.028
20070724	5.488
20070725	8.051
20070726	10.234
20070727	12.766
20070728	15.221
20070729	17.602
20070730	20.175
20070731	21.987
20070801	22.577
20070802	24.084
20070803	27.789
20070804	33.294
20070805	41.415
20070806	50.679
20070807	59.923
20070808	70.531
20070809	82.536
20070810	94.475
20070811	105.702
20070812	115.883
20070813	124.181
20070814	131.687
20070815	139.020
20070816	145.027
20070817	149.553
20070818	152.883
20070819	154.867
20070820	155.593
20070821	155.187
20070822	152.782
20070823	147.813
20070824	140.468
20070825	130.462
20070826	120.002
20070827	110.851
20070828	102.536
20070829	95.991
20070830	90.407
20070831	85.065
20070901	81.590
20070902	80.457
20070903	79.566
20070904	77.873
20070905	75.620
20070906	71.965
20070907	68.758
20070908	67.363
20070909	66.398
20070910	65.990
20070911	65.708
20070912	64.747
20070913	63.681
20070914	62.477
20070915	60.730
20070916	58.373
20070917	55.128
20070918	50.709
20070919	46.348
20070920	42.871
20070921	39.950
20070922	38.020
20070923	36.382
20070924	34.432
20070925	32.948
20070926	31.997
20070927	31.062
20070928	30.021
20070929	28.743
20070930	26.956
20071001	25.204
20071002	23.815
20071003	22.418
20071004	21.054
20071005	19.705
20071006	18.244
20071007	16.820
20071008	15.483
20071009	14.068
20071010	12.517
20071011	10.852
20071012	9.024
20071013	7.209
20071014	5.541
20071015	3.950
20071016	2.485
20071017	1.090
20071018	-0.304
20071019	-1.594
20071020	-2.757
20071021	-3.923
20071022	-5.154
20071023	-6.449
20071024	-7.864
20071025	-9.302
20071026	-10.693
20071027	-12.126
20071028	-13.603
20071029	-15.023
20071030	-16.340
20071031	-17.532
20071101	-18.545
20071102	-19.453
20071103	-20.299
20071104	-21.004
20071105	-21.558
20071106	-22.001
20071107	-22.340
20071108	-22.581
20071109	-22.744
20071110	-22.761
20071111	-22.588
20071112	-22.257
20071113	-21.751
20071114	-21.241
20071115	-20.867
20071116	-20.597
20071117	-20.509
20071118	-20.554
20071119	-20.690
20071120	-21.044
20071121	-21.661
20071122	-22.389
20071123	-23.153
20071124	-23.983
20071125	-24.824
20071126	-25.825
20071127	-27.100
20071128	-28.551
20071129	-30.199
20071130	-31.852
20071201	-33.329
20071202	-34.686
20071203	-35.845
20071204	-36.837
20071205	-37.703
20071206	-38.297
20071207	-38.561
20071208	-38.718
20071209	-38.890
20071210	-39.031
20071211	-39.222
20071212	-39.272
20071213	-39.033
20071214	-38.648
20071215	-38.102
20071216	-37.465
20071217	-36.842
20071218	-36.171
20071219	-35.468
20071220	-34.762
20071221	-34.049
20071222	-33.381
20071223	-32.794
20071224	-32.126
20071225	-31.271
20071226	-30.269
20071227	-29.058
20071228	-27.740
20071229	-26.397
20071230	-24.926
20071231	-23.320
20080101	-21.680
20080102	-20.045
20080103	-18.436
20080104	-16.908
20080105	-15.380
20080106	-13.803
20080107	-12.254
20080108	-10.739
20080109	-9.240
20080110	-7.767
20080111	-6.310
20080112	-4.857
20080113	-3.461
20080114	-2.153
20080115	-0.920
20080116	0.223
20080117	1.193
20080118	1.931
20080119	2.414
20080120	2.588
20080121	2.475
20080122	2.079
20080123	1.328
20080124	0.188
20080125	-1.308
20080126	-3.160
20080127	-5.391
20080128	-8.003
20080129	-11.075
20080130	-14.669
20080131	-18.773
20080201	-23.419
20080202	-28.192
20080203	-32.766
20080204	-37.193
20080205	-41.282
20080206	-45.180
20080207	-49.009
20080208	-52.450
20080209	-55.399
20080210	-58.224
20080211	-61.098
20080212	-63.963
20080213	-66.955
20080214	-69.710
20080215	-71.956
20080216	-73.927
20080217	-75.579
20080218	-76.968
20080219	-78.221
20080220	-79.209
20080221	-79.912
20080222	-80.382
20080223	-80.607
20080224	-80.611
20080225	-80.421
20080226	-79.783
20080227	-78.517
20080228	-76.655
20080229	-74.089
20080301	-70.917
20080302	-67.222
20080303	-62.828
20080304	-57.694
20080305	-52.295
20080306	-46.940
20080307	-41.611
20080308	-36.540
20080309	-31.465
20080310	-26.201
20080311	-21.112
20080312	-16.275
20080313	-11.364
20080314	-6.254
20080315	-0.958
20080316	4.661
20080317	10.246
20080318	15.546
20080319	20.778
20080320	25.894
20080321	30.861
20080322	35.726
20080323	40.363
20080324	44.706
20080325	48.828
20080326	52.736
20080327	56.375
20080328	59.742
20080329	62.673
20080330	65.036
20080331	66.838
20080401	68.001
20080402	68.525
20080403	68.416
20080404	67.555
20080405	65.883
20080406	64.053
20080407	62.533
20080408	61.261
20080409	60.545
20080410	60.080
20080411	59.635
20080412	59.708
20080413	60.428
20080414	61.274
20080415	62.017
20080416	62.706
20080417	63.132
20080418	63.819
20080419	65.147
20080420	66.775
20080421	68.763
20080422	70.760
20080423	72.379
20080424	73.806
