YYYYMMDD	lon	lat	anglediff_mean(deg)
20130201	102.810000	29.740000	113.9178154
20130201	102.910000	29.740000	113.9178154
20130201	103.010000	29.740000	113.9178154
20130201	103.110000	29.740000	120
20130201	102.810000	29.840000	113.9178154
20130201	102.910000	29.840000	113.9178154
20130201	103.010000	29.840000	108.1864592
20130201	103.110000	29.840000	108.1864592
20130201	103.210000	29.840000	108.1864592
20130201	102.510000	29.940000	43.22691775
20130201	102.610000	29.940000	43.22691775
20130201	102.710000	29.940000	20.23015867
20130201	102.810000	29.940000	93.53699351
20130201	102.910000	29.940000	95.64840641
20130201	103.010000	29.940000	95.64840641
20130201	103.110000	29.940000	95.64840641
20130201	103.210000	29.940000	108.1864592
20130201	103.310000	29.940000	120
20130201	102.410000	30.040000	44.25368839
20130201	102.510000	30.040000	38.04540634
20130201	102.610000	30.040000	38.04540634
20130201	102.710000	30.040000	17.20318453
20130201	102.810000	30.040000	17.20318453
20130201	102.910000	30.040000	84.87960767
20130201	103.010000	30.040000	95.64840641
20130201	103.110000	30.040000	95.64840641
20130201	103.210000	30.040000	95.64840641
20130201	103.310000	30.040000	120
20130201	103.410000	30.040000	120
20130201	102.410000	30.140000	38.04540634
20130201	102.510000	30.140000	38.04540634
20130201	102.610000	30.140000	38.04540634
20130201	102.710000	30.140000	17.20318453
20130201	102.810000	30.140000	17.20318453
20130201	102.910000	30.140000	84.87960767
20130201	103.010000	30.140000	84.87960767
20130201	103.110000	30.140000	95.64840641
20130201	103.210000	30.140000	95.64840641
20130201	103.310000	30.140000	120
20130201	103.410000	30.140000	120
20130201	102.310000	30.240000	41.84994665
20130201	102.410000	30.240000	38.04540634
20130201	102.510000	30.240000	38.04540634
20130201	102.610000	30.240000	38.04540634
20130201	102.710000	30.240000	17.20318453
20130201	102.810000	30.240000	17.20318453
20130201	102.910000	30.240000	52.81507198
20130201	103.010000	30.240000	52.81507198
20130201	103.110000	30.240000	84.87960767
20130201	103.210000	30.240000	100.0808668
20130201	103.310000	30.240000	108
20130201	103.410000	30.240000	109.3247245
20130201	102.310000	30.340000	52.37595049
20130201	102.410000	30.340000	41.84994665
20130201	102.510000	30.340000	46.09842677
20130201	102.610000	30.340000	40.7483969
20130201	102.710000	30.340000	40.7483969
20130201	102.810000	30.340000	40.7483969
20130201	102.910000	30.340000	40.7483969
20130201	103.010000	30.340000	77.51425838
20130201	103.110000	30.340000	74.87948197
20130201	103.210000	30.340000	86.06725576
20130201	103.310000	30.340000	101.7227131
20130201	102.410000	30.440000	51.1561394
20130201	102.510000	30.440000	45.22868485
20130201	102.610000	30.440000	40.7483969
20130201	102.710000	30.440000	40.7483969
20130201	102.810000	30.440000	40.7483969
20130201	102.910000	30.440000	68.84614443
20130201	103.010000	30.440000	68.84614443
20130201	103.110000	30.440000	86.142783
20130201	103.210000	30.440000	86.06725576
20130201	103.310000	30.440000	101.7227131
20130201	102.410000	30.540000	56.88093476
20130201	102.510000	30.540000	56.88093476
20130201	102.610000	30.540000	92.18555686
20130201	102.710000	30.540000	76.13865365
20130201	102.810000	30.540000	80.03391822
20130201	102.910000	30.540000	80.03391822
20130201	103.010000	30.540000	80.03391822
20130201	103.110000	30.540000	80.03391822
20130201	103.210000	30.540000	96.23594148
20130201	102.310000	30.640000	56.88093476
20130201	102.410000	30.640000	93.8274572
20130201	102.510000	30.640000	77.55814562
20130201	102.610000	30.640000	77.55814562
20130201	102.710000	30.640000	92.18555686
20130201	102.810000	30.640000	97.45365237
20130201	102.910000	30.640000	97.45365237
20130201	103.010000	30.640000	97.45365237
20130201	103.110000	30.640000	96.23594148
20130201	102.310000	30.740000	90.70521903
20130201	102.410000	30.740000	93.8274572
20130201	102.510000	30.740000	93.8274572
20130201	102.610000	30.740000	93.8274572
20130201	102.710000	30.740000	93.8274572
20130201	102.810000	30.740000	97.45365237
20130201	102.910000	30.740000	97.45365237
20130201	103.010000	30.740000	106.6128277
20130201	103.110000	30.740000	106.6128277
20130201	102.210000	30.840000	84.86354056
20130201	102.310000	30.840000	90.70521903
20130201	102.410000	30.840000	116.7826767
20130201	102.510000	30.840000	93.8274572
20130201	102.610000	30.840000	93.8274572
20130201	102.710000	30.840000	93.8274572
20130201	102.810000	30.840000	99.42393279
20130201	102.910000	30.840000	106.6128277
20130201	103.010000	30.840000	120
20130201	103.110000	30.840000	120
20130201	102.210000	30.940000	84.86354056
20130201	102.310000	30.940000	90.70521903
20130201	102.410000	30.940000	116.7826767
20130201	102.510000	30.940000	116.7826767
20130201	102.610000	30.940000	116.7826767
20130201	102.710000	30.940000	116.7826767
20130201	102.810000	30.940000	116.7826767
20130201	102.910000	30.940000	120
20130201	103.010000	30.940000	120
20130201	103.110000	30.940000	120
20130201	102.210000	31.040000	84.86354056
20130201	102.310000	31.040000	84.86354056
20130201	102.410000	31.040000	116.7826767
20130201	102.510000	31.040000	116.7826767
20130201	102.610000	31.040000	116.7826767
20130201	102.710000	31.040000	116.7826767
20130201	102.810000	31.040000	116.7826767
20130201	103.010000	31.040000	120
20130201	102.210000	31.140000	84.86354056
20130201	102.310000	31.140000	84.86354056
20130201	102.610000	31.140000	116.7826767
20130201	102.710000	31.140000	116.7826767
20130201	102.810000	31.140000	116.7826767
20130202	102.810000	29.740000	97.58051069
20130202	102.910000	29.740000	97.58051069
20130202	103.010000	29.740000	97.58051069
20130202	103.110000	29.740000	120
20130202	102.810000	29.840000	97.58051069
20130202	102.910000	29.840000	97.58051069
20130202	103.010000	29.840000	109.6411308
20130202	103.110000	29.840000	109.6411308
20130202	103.210000	29.840000	109.6411308
20130202	102.510000	29.940000	41.87971969
20130202	102.610000	29.940000	41.87971969
20130202	102.710000	29.940000	29.83816217
20130202	102.810000	29.940000	86.79324527
20130202	102.910000	29.940000	99.25835
20130202	103.010000	29.940000	99.25835
20130202	103.110000	29.940000	99.25835
20130202	103.210000	29.940000	109.6411308
20130202	103.310000	29.940000	120
20130202	102.410000	30.040000	34.19922637
20130202	102.510000	30.040000	37.60505349
20130202	102.610000	30.040000	37.60505349
20130202	102.710000	30.040000	24.77163279
20130202	102.810000	30.040000	24.77163279
20130202	102.910000	30.040000	88.21555447
20130202	103.010000	30.040000	99.25835
20130202	103.110000	30.040000	99.25835
20130202	103.210000	30.040000	99.25835
20130202	103.310000	30.040000	120
20130202	103.410000	30.040000	120
20130202	102.410000	30.140000	37.60505349
20130202	102.510000	30.140000	37.60505349
20130202	102.610000	30.140000	37.60505349
20130202	102.710000	30.140000	24.77163279
20130202	102.810000	30.140000	24.77163279
20130202	102.910000	30.140000	88.21555447
20130202	103.010000	30.140000	88.21555447
20130202	103.110000	30.140000	99.25835
20130202	103.210000	30.140000	99.25835
20130202	103.310000	30.140000	120
20130202	103.410000	30.140000	120
20130202	102.310000	30.240000	35.90261413
20130202	102.410000	30.240000	37.60505349
20130202	102.510000	30.240000	37.60505349
20130202	102.610000	30.240000	37.60505349
20130202	102.710000	30.240000	24.77163279
20130202	102.810000	30.240000	24.77163279
20130202	102.910000	30.240000	67.15101397
20130202	103.010000	30.240000	67.15101397
20130202	103.110000	30.240000	88.21555447
20130202	103.210000	30.240000	98.86063026
20130202	103.310000	30.240000	104.9631462
20130202	103.410000	30.240000	99.65141761
20130202	102.310000	30.340000	43.77127103
20130202	102.410000	30.340000	35.90261413
20130202	102.510000	30.340000	42.41244719
20130202	102.610000	30.340000	40.22228828
20130202	102.710000	30.340000	40.22228828
20130202	102.810000	30.340000	40.22228828
20130202	102.910000	30.340000	40.22228828
20130202	103.010000	30.340000	82.42013389
20130202	103.110000	30.340000	82.33864957
20130202	103.210000	30.340000	93.3814451
20130202	103.310000	30.340000	107.8178709
20130202	102.410000	30.440000	41.57564249
20130202	102.510000	30.440000	39.17415761
20130202	102.610000	30.440000	40.22228828
20130202	102.710000	30.440000	40.22228828
20130202	102.810000	30.440000	40.22228828
20130202	102.910000	30.440000	68.18470913
20130202	103.010000	30.440000	68.18470913
20130202	103.110000	30.440000	91.44770618
20130202	103.210000	30.440000	93.3814451
20130202	103.310000	30.440000	107.8178709
20130202	102.410000	30.540000	48.133329
20130202	102.510000	30.540000	48.133329
20130202	102.610000	30.540000	72.29087858
20130202	102.710000	30.540000	62.4104139
20130202	102.810000	30.540000	78.88271586
20130202	102.910000	30.540000	78.88271586
20130202	103.010000	30.540000	78.88271586
20130202	103.110000	30.540000	78.88271586
20130202	103.210000	30.540000	92.88125603
20130202	102.310000	30.640000	48.133329
20130202	102.410000	30.640000	72.05743416
20130202	102.510000	30.640000	60.01957167
20130202	102.610000	30.640000	60.01957167
20130202	102.710000	30.640000	72.29087858
20130202	102.810000	30.640000	88.78135756
20130202	102.910000	30.640000	88.78135756
