YYYYMMDD	lon	lat	anglediff_mean(deg)
20130201	102.860000	29.740000	120
20130201	102.960000	29.740000	120
20130201	103.060000	29.740000	120
20130201	102.560000	29.840000	116.2604967
20130201	102.860000	29.840000	120
20130201	102.960000	29.840000	120
20130201	103.060000	29.840000	97.1612861
20130201	103.160000	29.840000	97.1612861
20130201	103.260000	29.840000	120
20130201	102.560000	29.940000	105.341108
20130201	102.660000	29.940000	65.10393528
20130201	102.760000	29.940000	65.10393528
20130201	102.860000	29.940000	99.56983861
20130201	102.960000	29.940000	89.49546711
20130201	103.060000	29.940000	89.49546711
20130201	103.160000	29.940000	97.1612861
20130201	103.260000	29.940000	97.1612861
20130201	103.360000	29.940000	120
20130201	102.460000	30.040000	105.341108
20130201	102.560000	30.040000	102.5629671
20130201	102.660000	30.040000	102.5629671
20130201	102.760000	30.040000	83.82568746
20130201	102.860000	30.040000	94.5155928
20130201	102.960000	30.040000	89.49546711
20130201	103.060000	30.040000	89.49546711
20130201	103.160000	30.040000	89.49546711
20130201	103.260000	30.040000	97.1612861
20130201	103.360000	30.040000	120
20130201	102.360000	30.140000	100.1280312
20130201	102.460000	30.140000	102.5629671
20130201	102.560000	30.140000	102.5629671
20130201	102.660000	30.140000	102.5629671
20130201	102.760000	30.140000	83.82568746
20130201	102.860000	30.140000	83.82568746
20130201	102.960000	30.140000	91.49456151
20130201	103.060000	30.140000	91.49456151
20130201	103.160000	30.140000	89.49546711
20130201	103.260000	30.140000	89.49546711
20130201	103.360000	30.140000	120
20130201	102.360000	30.240000	100.1280312
20130201	102.460000	30.240000	102.5629671
20130201	102.560000	30.240000	102.5629671
20130201	102.660000	30.240000	83.82568746
20130201	102.760000	30.240000	83.82568746
20130201	102.860000	30.240000	83.82568746
20130201	102.960000	30.240000	76.03951868
20130201	103.060000	30.240000	91.49456151
20130201	103.160000	30.240000	87.28613109
20130201	103.260000	30.240000	98.83991144
20130201	103.360000	30.240000	112.3665929
20130201	102.360000	30.340000	100.1280312
20130201	102.460000	30.340000	92.68646439
20130201	102.560000	30.340000	92.68646439
20130201	102.660000	30.340000	70.0278579
20130201	102.760000	30.340000	70.0278579
20130201	102.860000	30.340000	70.0278579
20130201	102.960000	30.340000	71.0032775
20130201	103.060000	30.340000	78.16361525
20130201	103.160000	30.340000	78.16361525
20130201	103.260000	30.340000	84.61704942
20130201	103.360000	30.340000	96.25208304
20130201	102.360000	30.440000	92.86457596
20130201	102.460000	30.440000	54.2680917
20130201	102.560000	30.440000	70.0278579
20130201	102.660000	30.440000	70.0278579
20130201	102.760000	30.440000	70.0278579
20130201	102.860000	30.440000	70.93419355
20130201	102.960000	30.440000	70.93419355
20130201	103.060000	30.440000	71.0032775
20130201	103.160000	30.440000	85.38396301
20130201	103.260000	30.440000	84.61704942
20130201	102.460000	30.540000	54.2680917
20130201	102.560000	30.540000	54.2680917
20130201	102.660000	30.540000	79.83027713
20130201	102.760000	30.540000	79.83027713
20130201	102.860000	30.540000	75.71901947
20130201	102.960000	30.540000	75.71901947
20130201	103.060000	30.540000	75.71901947
20130201	103.160000	30.540000	75.71901947
20130201	103.260000	30.540000	80.86009633
20130201	102.260000	30.640000	58.86492375
20130201	102.360000	30.640000	60.74561013
20130201	102.460000	30.640000	60.74561013
20130201	102.560000	30.640000	54.02329727
20130201	102.660000	30.640000	54.02329727
20130201	102.760000	30.640000	46.016557
20130201	102.860000	30.640000	46.016557
20130201	102.960000	30.640000	46.016557
20130201	103.060000	30.640000	48.48810571
20130201	103.160000	30.640000	48.48810571
20130201	102.260000	30.740000	47.79396667
20130201	102.360000	30.740000	60.74561013
20130201	102.460000	30.740000	60.74561013
20130201	102.560000	30.740000	60.74561013
20130201	102.660000	30.740000	60.74561013
20130201	102.760000	30.740000	50.84763376
20130201	102.860000	30.740000	46.016557
20130201	102.960000	30.740000	45.13708162
20130201	103.060000	30.740000	45.13708162
20130201	102.260000	30.840000	47.79396667
20130201	102.360000	30.840000	47.79396667
20130201	102.460000	30.840000	60.74561013
20130201	102.560000	30.840000	60.74561013
20130201	102.660000	30.840000	60.74561013
20130201	102.760000	30.840000	60.74561013
20130201	102.860000	30.840000	45.13708162
20130201	102.960000	30.840000	45.13708162
20130201	103.060000	30.840000	58.30795089
20130201	103.160000	30.840000	58.30795089
